"","bpns-A1BIS","bpns-B05BELWIND","bpns-BelwindReefballs","bpns-BIRKENFELS","bpns-buitenratel","bpns-C05AR1Belwind","bpns-C05AR2Belwind","bpns-C05AR3Belwind","bpns-C05BELWIND","bpns-D1","bpns-GARDENCITY","bpns-KB2","bpns-Kilmore","bpns-middelkerkebank","bpns-NHSE","bpns-nieuwpoortbank","bpns-NIEUWPOORTKUST8","s-8","s-4","s-1","s-9","s-5","s-6","s-7","s-3","s-2","s-2a","s-4a","s-4b","s-4c","ws-11","ws-12A","ws-13","ws-14","ws-15","ws-15A","ws-16","ws-18","ws-23","ws-25","ws-25A","ws-25B","ws-2C","ws-6","ws-4","ws-A1","ws-A3","ws-A5","ws-DL12","ws-DL7","ws-DL9","ws-GVWSP","ws-OG10","ws-OGDL","ws-PPB","ws-PPC","ws-PVTSS","ws-SP3","ws-STEEN","ws-TRAWL","ws-W6","ws-W7","ws-WN2","bpns-OH6","ak-41","ak-42","ak-44","ak-45","ak-46","ak-47","ak-48","s-10","s-9a","ws-FZ2","ws-HW6","ws-55","ws-53A","ws-53","s-12","ws-42A","s-11","bpns-OOSTDYCK","bpns-S4","bpns-S7","bpns-Trapegeer","bpns-VG2","s-8a","bpns-W1","bpns-WENDUINEBANKW","s-10a","s-Wetteren","s-Wichelen","gn-Lier","kn-Lier","bn-Lier","bn-Walem","du-Hamveer","s-Dendermonde","s-Vlassenbroek","ws-F42","VLVS1","VLVS2","VLVS3","VLVS4","VLVS5","VLVS11","VLVS12","VLVS13","VLVS14","VLVS15","VLVS6","VLVS7","VLVS8","VLVS9","VLVS10","bpns-Whitley","bpns-WK12","bpns-WK14","bpns-WKS","bpns-WZ","me-7-2","M-6","M-5","M-4","M-3","M-1","M-2","M-4A"
"ws-W6",36487.8304541234,57265.7016744942,57705.3164112628,74479.2973953751,79289.6711230644,56998.2738815059,56533.4484786428,56880.4480609499,56800.8762716312,65071.3537905054,83366.5651650388,55299.8654792494,67581.8474993685,56885.6994504452,70312.8519257876,70939.2713891954,65046.4935500879,91454.8514380361,124065.756932611,155783.291413915,86329.7520589197,105846.851330187,101048.015765337,99246.0513975328,128065.661144268,154688.407004921,137882.087583343,113934.496498744,110859.621623411,108332.382879938,17917.3993109575,24170.3953103532,18181.6757706836,25427.962485976,19124.1947287137,20069.7774135868,26711.003146951,28382.4487547324,24326.4751621467,25386.6447278954,25845.0798578154,27430.5634033356,18449.0159572534,19525.2926149869,19184.5956992042,20875.2997322326,21967.3330562759,23084.8398656715,6768.39404852345,6521.8349635963,6309.18162823384,3734.83851218042,7908.52483922913,6822.67951470874,22769.7040416596,23798.0098491131,18496.8992011149,5103.45338068649,2022.37539462931,2671.61716897024,0,965.947290293286,1348.25026308654,45348.8387784834,78346.9665837225,77917.1562724169,71174.5255890851,70505.3221752543,63568.0677290521,62695.7541669736,63224.0442671693,78886.5431949016,85941.9372402633,43854.8315039764,43657.521500521,42753.1689673093,42743.6273611053,42877.3850608088,66558.0477123321,43520.5248611367,67241.2254586398,67878.2505366462,28264.0972956635,20308.4051751235,74285.4891508589,45942.7812386657,91540.8135002972,11677.709495961,46036.0972444773,78728.1904369254,148063.113150705,142571.257985031,109109.286005714,107028.681410066,112846.483449586,108599.019852265,108056.303857206,121694.122579783,115389.461284241,43749.786229306,51352.5265266903,52575.0786107563,53230.7106580402,52329.8853634392,53039.9040136194,54854.4737144713,55892.3211281294,54669.6814376443,55252.4337977736,56579.1391991392,52562.2104584521,53590.6038723242,54023.565516892,54548.8794966641,55218.6730386447,67692.1466613565,26035.9119819098,15590.5589954758,74265.7050870968,21040.8335838121,101171.442619084,108367.586714623,112047.246222337,114352.290024242,114371.373236651,116574.523097147,114533.755754969,114352.290024242
"ws-W7",36226.7053276588,57768.7811085951,58208.3958453637,74982.3768294758,79028.5459965998,57501.3533156068,57036.5279127437,57383.5274950508,57303.955705732,64810.2286640407,83869.6445991394,55038.7403527848,67320.722372904,56624.5743239806,70815.9313598886,70678.1462627307,64785.3684236232,90951.7720039354,123562.67749851,155280.211979815,85826.672624819,105343.771896086,100544.936331236,98742.9719634322,127562.581710167,154185.32757082,137379.008149242,113431.417064643,110356.54218931,107829.303445838,17669.054730379,23667.3158762526,17678.596336583,24924.8830518754,18621.1152946131,19566.6979794862,26207.9237128504,27879.3693206317,23823.395728046,24883.5652937948,25342.0004237147,26927.4839692349,18710.141083718,19022.2131808863,18681.5162651036,20372.220298132,21464.2536221753,22581.7604315708,7634.80791000923,7388.24882508209,7175.59548971962,4601.2523736662,8774.93870071491,7689.09337619452,22266.624607559,23294.9304150124,17993.8197670142,5969.86724217227,1092.0333240434,3538.03103045603,965.947290293286,0,2214.66412457233,45087.7136520188,77843.8871496219,77414.0768383163,70671.4461549845,70002.2427411537,63064.9882949515,62192.674732873,62720.9648330687,78383.463760801,85438.8578061626,43351.7520698758,43154.4420664204,42250.0895332087,42240.5479270047,42374.3056267082,66054.9682782315,43017.4454270361,66738.1460245392,67617.1254101817,28614.3358176508,20047.2800486589,74024.3640243942,46445.8606727663,91037.7340661965,11416.5843694964,45774.9721180128,78225.1110028249,147560.033716604,142068.17855093,108606.206571613,106525.601975966,112343.404015485,108095.940418164,107553.224423106,121191.043145682,114886.38185014,43246.7067952054,50849.4470925897,52071.9991766557,52727.6312239396,51826.8059293386,52536.8245795188,54351.3942803707,55389.2416940288,54166.6020035437,54749.354363673,56076.0597650386,52059.1310243515,53087.5244382236,53520.4860827914,54045.8000625635,54715.5936045441,67431.0215348919,26538.9914160105,15329.4338690112,74004.5799606322,20779.7084573475,100668.363184983,107864.507280522,111544.166788236,113849.210590141,113868.29380255,116071.443663046,114030.676320868,113849.210590141
"ws-WN2",37551.2389595529,57412.0647072448,57851.6794440133,74625.6604281261,80353.079628494,57144.6369142565,56679.8115113934,57026.8110937005,56947.2393043818,66134.7622959349,83512.9281977898,56363.2739846789,68645.2560047981,57949.1079558748,70459.2149585382,72002.679894625,66109.9020555174,91308.4884052851,123919.39389986,155636.928381164,86183.3890261687,105700.488297436,100901.652732586,99099.6883647818,127919.298111517,154542.04397217,137735.724550592,113788.133465993,110713.25859066,108186.019847187,17771.0362782065,24024.0322776022,18035.3127379326,25281.599453225,18977.8316959627,19923.4143808358,26564.6401142,28236.0857219814,24180.1121293957,25240.2816951444,25698.7168250644,27284.2003705846,18302.6529245024,19378.9295822359,19038.2326664532,20728.9366994816,21820.9700235249,22938.4768329205,5420.14378543691,5173.58470050976,4960.9313651473,2386.58824909388,6560.27457614259,5474.4292516222,22623.3410089086,23651.6468163621,18350.5361683639,3755.20311759995,2872.95851367802,1323.3669058837,1348.25026308654,2214.66412457233,0,46412.2472839129,78200.6035509714,77770.7932396659,71028.162556334,70358.9591425032,63421.7046963011,62549.3911342225,63077.6812344183,78740.1801621506,85795.5742075124,43708.4684712254,43511.1584677699,42606.8059345582,42597.2643283543,42731.0220280578,66411.6846795811,43374.1618283856,67094.8624258887,68941.6590420757,29327.505801093,21371.8136805531,75348.8976562885,46089.1442714168,91394.4504675463,12741.1180013906,47099.5057499068,78581.8274041744,147916.750117953,142424.894952279,108962.922972963,106882.318377315,112700.120416835,108452.656819514,107909.940824455,121547.759547032,115243.09825149,43603.4231965549,51206.1634939393,52428.7155780052,53084.3476252892,52183.5223306881,52893.5409808684,54708.1106817203,55745.9580953784,54523.3184048932,55106.0707650225,56432.7761663881,52415.8474257011,53444.2408395731,53877.202484141,54402.516463913,55072.3100058937,68755.555166786,26182.2750146608,16653.9675009054,75329.1135925264,22104.2420892416,101025.079586333,108221.223681872,111900.883189586,114205.926991491,114225.0102039,116428.160064396,114387.392722218,114205.926991491
"bpns-OH6",14878.2904548615,51577.4942471242,54794.3161210473,56685.3152675814,33940.8323445826,51416.8821132572,51023.2671498084,51014.2145350445,51183.8792836754,19722.5150120238,54677.3858068736,20293.2617537478,36803.8423423256,17497.6562443699,64838.2758166567,25590.4326107125,19697.6547716044,135886.644743843,168497.550238416,200215.084719721,130761.545364727,150278.644635993,145479.809071144,143677.84470334,172497.454450074,199120.200310726,182313.880889148,158366.28980455,155291.414929217,152764.176185745,62756.7683823979,68602.1886161593,62613.4690764898,69859.755791782,63555.9880345199,64501.5707193929,71142.796452757,72814.2420605384,68758.2684679527,69818.4380337015,70276.8731636214,71862.3567091416,63797.8547357368,63957.0859207931,63616.3890050104,65307.0930380387,66399.126362082,67516.6331714775,50977.8657963795,49271.4927034603,49984.5750804829,47908.7050403289,51904.3652688427,51601.8347778789,67201.4973474656,68229.8031549191,62928.6925069211,48529.6102949855,45568.3833276102,47415.1672124328,45348.8387784834,45087.7136520188,46412.2472839129,0,122778.75988953,122348.949578225,115606.318894893,114937.115481062,107999.86103486,107127.547472781,107655.837572977,123318.336500709,130373.730546071,88286.6248097834,88089.3148063279,87184.9622731162,87175.4206669122,87309.1783666157,110989.84101814,87952.3181669436,111673.018764447,33483.0104595953,23422.4705906842,25076.0388230682,28936.6503723756,24908.7241175275,135972.606806104,33671.1292825226,6508.24848584807,123159.983742733,192494.906456509,187003.051290835,153541.07931152,151460.474715872,157278.276755391,153030.81315807,152488.097163012,166125.915885588,159821.254590046,88181.5795351129,95784.3198324974,97006.8719165633,97662.5039638473,96761.6786692462,97471.6973194265,99286.2670202784,100324.114433936,99101.4747434513,99684.2271035806,101010.932504946,96994.0037642591,98022.3971781312,98455.358822699,98980.6728024711,99650.4663444517,22343.3078828733,30000.8352851565,29758.2797830078,28916.8663086152,24308.005194672,145603.23592489,152799.380020429,156479.039528143,158784.083330047,158803.166542456,161006.316402952,158965.549060774,158784.083330047
"ak-41",113917.751565169,135612.668258217,136052.282994985,152826.263979098,156719.59223411,135345.240465228,134880.415062365,135227.414644672,135147.842855354,142501.274901552,161713.53174876,132729.786590295,145011.768610414,134315.620561491,148659.818509509,148369.192500241,142476.414661134,13179.0952937275,45790.0007883013,77507.5352696069,8053.99591461115,27571.095185878,22772.2596210281,20970.2952532241,49789.9049999586,76412.6508606123,59606.3314390333,35658.7403544349,32583.8654791017,30056.6267356294,60429.567272765,56112.556160134,60165.2908130389,55313.5117208498,59222.7718550088,58786.6588771788,54539.9407669178,53428.911836884,56873.5217810177,56119.0340394956,55609.6519388712,54533.6381003941,59897.9506264691,58821.6739687356,59162.3708845183,58745.3411190982,58264.6714435068,57809.4752532676,77201.2729878078,79366.1688170659,78143.6167329999,78487.2897692069,77110.1885153225,76373.5161234905,58583.1338136181,57554.8280061647,59850.0673826076,78987.2178700454,77210.3765619186,78114.7290951288,78346.9665837225,77843.8871496219,78200.6035509714,122778.75988953,0,550.787465123631,7222.2077090413,8090.88094641777,16345.5285217836,17039.4130193965,18662.0005622551,610.787050593644,7666.18109595521,36326.2260251021,37338.6875598275,35593.7976164135,36061.8619589574,36437.5739662969,11824.5240910976,36354.8508437165,11639.8194206893,145308.171647692,106458.222967274,97738.3262861695,151715.410261904,124289.747822389,13265.0573559888,89107.630607007,123466.018355524,452.434292617467,69787.3570063956,64295.5018407216,31793.8641691249,29713.2595734772,35531.0616129965,30323.2637079563,29780.5477128981,43418.3664354745,37113.7051399325,36584.1122118858,29740.0781594943,29809.9076500972,30714.7762353312,28660.8253813365,30274.7330529603,26100.0552127389,27142.6236515996,24446.4114243561,25584.2828391722,26861.2215261341,27348.7704661081,27786.8425715178,27251.9869855412,27215.3026462435,28070.4045170738,145122.067772403,104382.878565633,93020.4801065218,151695.626198142,98470.7546948581,22895.6864747754,30091.8305703146,33771.4900780288,36076.5338799337,36095.6170923428,38298.7669528387,36257.9996106607,36076.5338799337
"ak-42",113487.941253864,135182.857946911,135622.472683679,152396.453667792,156289.781922804,134915.430153923,134450.60475106,134797.604333367,134718.032544048,142071.464590246,161283.721437455,132299.97627899,144581.958299108,133885.810250186,148230.008198203,147939.382188936,142046.604349829,13658.6723194367,46269.5778140104,77987.112295316,8533.57294032029,28050.6722115872,23251.8366467373,21449.8722789333,50269.4820256677,76892.2278863215,60085.9084647425,36138.317380144,33063.4425048108,30536.2037613386,59999.7569614595,55682.7458488284,59735.4805017333,54883.7014095443,58792.9615437033,58356.8485658733,54110.1304556123,52999.1015255784,56443.7114697122,55689.22372819,55179.8416275657,54103.8277890885,59468.1403151635,58391.8636574301,58732.5605732128,58315.5308077927,57834.8611322013,57379.6649419621,76771.4626765022,78936.3585057604,77713.8064216944,78057.4794579013,76680.378204017,75943.705812185,58153.3235023126,57125.0176948591,59420.2570713021,78557.4075587399,76780.566250613,77684.9187838233,77917.1562724169,77414.0768383163,77770.7932396659,122348.949578225,550.787465123631,0,6792.39739773576,7661.07063511223,15915.7182104781,16609.602708091,18232.1902509496,1090.36407630278,8145.75812166435,35896.4157137966,36908.8772485219,35163.9873051079,35632.0516476518,36007.7636549914,11394.713779792,35925.040532411,11210.0091093838,144878.361336387,106028.412655968,97308.5159748639,151285.599950599,123859.937511084,13744.6343816979,88677.8202957014,123036.208044218,932.011318326607,70266.9340321047,64775.0788664308,31243.0767040012,29162.4721083536,34980.2741478729,30802.8407336654,30260.1247386073,43897.9434611836,37593.2821656416,36154.3019005803,29310.2678481888,29380.0973387916,30284.9659240256,28231.015070031,29844.9227416548,25670.2449014333,26712.813340294,24016.6011130505,25154.4725278666,26431.4112148286,26918.9601548025,27357.0322602123,26822.1766742356,26785.4923349379,27640.5942057682,144692.257461097,103953.068254328,92590.6697952162,151265.815886837,98040.9443835525,23375.2635004845,30571.4075960238,34251.067103738,36556.1109056428,36575.194118052,38778.3439785478,36737.5766363698,36556.1109056428
"ak-44",106745.310570532,128440.227263579,128879.842000348,145653.822984461,149547.151239473,128172.799470591,127707.974067728,128054.973650035,127975.401860716,135328.833906915,154541.090754123,125557.345595658,137839.327615776,127143.179566854,141487.377514872,141196.751505604,135303.973666497,20330.0925633543,52940.998057928,84658.5325392339,15204.9931842379,34722.0924555048,29923.256890655,28121.292522851,56940.9022695853,83563.6481302393,66757.3287086601,42809.7376240616,39734.8627487284,37207.6240052562,53257.1262781276,48940.1151654966,52992.8498184015,48141.0707262124,52050.3308603715,51614.2178825414,47367.4997722804,46256.4708422466,49701.0807863803,48946.5930448582,48437.2109442338,47361.1971057567,52725.5096318317,51649.2329740983,51989.9298898809,51572.9001244608,51092.2304488694,50637.0342586302,70028.8319931703,72193.7278224284,70971.1757383625,71314.8487745694,69937.747520685,69201.075128853,51410.6928189807,50382.3870115273,52677.6263879703,71814.7768754079,70037.9355672812,70942.2881004914,71174.5255890851,70671.4461549845,71028.162556334,115606.318894893,7222.2077090413,6792.39739773576,0,918.439951780305,9571.22124237649,9866.97202475904,11887.693282848,7761.78432022044,14817.178365582,29153.7850304646,30166.24656519,28421.356621776,28889.4209643199,29265.1329716594,4652.08309646013,29182.4098490791,4467.3784260519,138135.730653055,99285.781972636,90565.8852915318,144542.969267267,117117.306827752,20416.0546256156,81935.1896123693,116293.577360886,7603.43156224427,76938.3542760226,71446.4991103486,37984.5271310325,35903.9225353848,41721.7245749041,37474.260977583,36931.5449825249,50569.3637051012,44264.7024095592,29411.6712172484,22567.6371648568,22637.4666554596,23542.3352406937,21488.384386699,23102.2920583228,18927.6142181013,19970.1826569621,17273.9704297185,18411.8418445347,19688.7805314966,20176.3294714706,20614.4015768803,20079.5459909036,20042.861651606,20897.9635224362,137949.626777765,97210.4375709956,85848.0391118841,144523.185203505,91298.3137002204,30046.6837444023,37242.8278399414,40922.4873476555,43227.5311495604,43246.6143619696,45449.7642224654,43408.9968802874,43227.5311495604
"ak-45",106076.107156701,127771.023849749,128210.638586517,144984.61957063,148877.947825642,127503.59605676,127038.770653897,127385.770236204,127306.198446886,134659.630493084,153871.887340292,124888.142181827,137170.124201946,126473.976153023,140818.174101041,140527.548091774,134634.770252667,21198.7658007308,53809.6712953044,85527.2057766104,16073.6664216144,35590.7656928813,30791.9301280314,28989.9657602274,57809.5755069618,84432.3213676158,67626.0019460366,43678.4108614381,40603.5359861049,38076.2972426326,52587.9228642968,48270.9117516658,52323.6464045707,47471.8673123816,51381.1274465406,50945.0144687106,46698.2963584496,45587.2674284158,49031.8773725495,48277.3896310274,47768.007530403,46691.9936919259,52056.3062180009,50980.0295602675,51320.7264760501,50903.69671063,50423.0270350386,49967.8308447994,69359.6285793394,71524.5244085976,70301.9723245316,70645.6453607386,69268.5441068542,68531.8717150221,50741.4894051499,49713.1835976965,52008.4229741395,71145.5734615771,69368.7321534504,70273.0846866606,70505.3221752543,70002.2427411537,70358.9591425032,114937.115481062,8090.88094641777,7661.07063511223,918.439951780305,0,9778.16045845515,9197.76861092824,12094.6324989267,8630.45755759691,15685.8516029585,28484.5816166338,29497.0431513592,27752.1532079452,28220.2175504891,28595.9295578286,3982.87968262934,28513.2064352483,3798.1750122212,137466.527239224,98616.5785588052,89896.681877701,143873.765853436,116448.103413921,21284.7278629921,81265.9861985385,115624.373947055,8472.10479962074,77807.0275133991,72315.1723477251,38817.5951487019,36736.9905530542,42554.7925925735,38342.9342149595,37800.2182199013,51438.0369424777,45133.3756469357,28742.4678034176,21898.433751026,21968.2632416288,22873.1318268628,20819.1809728682,22433.088644492,18258.4108042705,19300.9792431313,16604.7670158877,17742.6384307039,19019.5771176658,19507.1260576398,19945.1981630495,19410.3425770728,19373.6582377752,20228.7601086054,137280.423363934,96541.2341571648,85178.8356980533,143853.981789674,90629.1102863896,30915.3569817787,38111.5010773178,41791.160585032,44096.2043869369,44115.287599346,46318.4374598419,44277.6701176639,44096.2043869369
"ak-46",99138.8527104986,120833.769403546,121273.384140314,138047.365124428,141940.69337944,120566.341610558,120101.516207695,120448.515790002,120368.944000683,127722.376046882,146934.63289409,117950.887735625,130232.869755744,119536.721706821,133880.919654839,133590.293645572,127697.515806465,29453.4133760968,62064.3188706702,93781.8533519764,24328.3139969804,43845.4132682471,39046.5777033973,37244.6133355933,66064.2230823276,92686.9689429819,75880.6495214026,51933.0584368039,48858.1835614707,46330.9448179984,45650.6684180947,41333.6573054636,45386.3919583685,40534.6128661795,44443.8730003385,44007.7600225085,39761.0419122476,38650.0129822138,42094.6229263474,41340.1351848253,40830.7530842009,39754.7392457238,45119.0517717987,44042.7751140653,44383.472029848,43966.4422644279,43485.7725888365,43030.5763985973,62422.3741331371,64587.2699623952,63364.7178783293,63708.3909145365,62331.2896606518,61594.6172688199,43804.2349589478,42775.9291514943,45071.1685279373,64208.3190153748,62431.4777072482,63335.8302404585,63568.0677290521,63064.9882949515,63421.7046963011,107999.86103486,16345.5285217836,15915.7182104781,9571.22124237649,9778.16045845515,0,923.260532781729,2863.90589891318,16885.1051329628,23940.4991783244,21547.3271704316,22559.788705157,20814.8987617429,21282.9631042869,21658.6751116264,6036.2555196733,21575.951989046,6719.433265981,130529.272793022,91679.3241126028,82959.4274314986,136936.511407234,109510.848967719,29539.375438358,74328.7317523361,108687.119500853,16726.7523749866,86061.6750887651,80569.8199230911,47072.2427240677,44991.63812842,50809.4401679393,46597.5817903253,46054.8657952671,59692.6845178435,53388.0232223015,21805.2133572153,14961.1793048238,15031.0087954266,15935.8773806606,13881.926526666,15495.8341982898,11321.1563580684,12363.7247969291,9667.51256968557,10805.3839845017,12082.3226714636,12569.8716114376,13007.9437168473,12473.0881308706,12436.403791573,13291.5056624032,130343.168917732,89603.9797109623,78241.5812518509,136916.727343472,83691.8558401872,39170.0045571445,46366.1486526836,50045.8081603978,52350.8519623027,52369.9351747118,54573.0850352077,52532.3176930297,52350.8519623027
"ak-47",98266.53914842,119961.455841467,120401.070578236,137175.05156235,141068.379817362,119694.028048479,119229.202645616,119576.202227923,119496.630438604,126850.062484803,146062.319332012,117078.574173546,129360.556193665,118664.408144743,133008.606092761,132717.980083493,126825.202244386,30147.2978737096,62758.2033682831,94475.7378495893,25022.1984945932,44539.2977658599,39740.4622010101,37938.4978332062,66758.1075799405,93380.8534405948,76574.5340190155,52626.9429344167,49552.0680590835,47024.8293156113,44778.3548560161,40461.343743385,44514.07839629,39662.2993041009,43571.5594382599,43135.4464604299,38888.728350169,37777.6994201352,41222.3093642688,40467.8216227467,39958.4395221223,38882.4256836453,44246.7382097201,43170.4615519867,43511.1584677694,43094.1287023493,42613.4590267579,42158.2628365187,61550.0605710585,63714.9564003166,62492.4043162507,62836.0773524579,61458.9760985733,60722.3037067413,42931.9213968692,41903.6155894157,44198.8549658587,63336.0054532962,61559.1641451696,62463.5166783799,62695.7541669736,62192.674732873,62549.3911342225,107127.547472781,17039.4130193965,16609.602708091,9866.97202475904,9197.76861092824,923.260532781729,0,3614.06205087306,17578.9896305757,24634.3836759373,20675.013608353,21687.4751430784,19942.5851996643,20410.6495422082,20786.3615495478,5250.49414800604,20703.6384269674,5933.67189431373,129656.959230944,90807.0105505241,82087.11386942,136064.197845156,108638.53540564,30233.2599359709,73456.4181902575,107814.805938774,17420.6368725995,86755.559586378,81263.704420704,47801.7324413876,45721.1278457399,51538.9298852592,47291.4662879382,46748.75029288,60386.5690154563,54081.9077199143,20932.8997951367,14088.8657427452,14158.695233348,15063.563818582,13009.6129645874,14623.5206362112,10448.8427959897,11491.4112348504,8795.19900760696,9933.07042242307,11210.009109385,11697.5580493589,12135.6301547687,11600.774568792,11564.0902294944,12419.1921003246,129470.855355654,88731.6661488837,77369.2676897723,136044.413781394,82819.5422781086,39863.8890547574,47060.0331502965,50739.6926580106,53044.7364599155,53063.8196723247,55266.9695328205,53226.2021906425,53044.7364599155
"ak-48",98794.8292486157,120489.745941663,120929.360678431,137703.341662545,141596.669917557,120222.318148675,119757.492745812,120104.492328119,120024.9205388,127378.352584999,146590.609432208,117606.864273742,129888.846293861,119192.698244938,133536.896192956,133246.270183689,127353.492344582,31769.8854165683,64380.7909111417,96098.325392448,26644.7860374519,46161.8853087185,41363.0497438688,39561.0853760648,68380.6951227991,95003.4409834534,78197.1215618742,54249.5304772753,51174.6556019421,48647.4168584699,45306.6449562118,40989.6338435808,45042.3684964857,40190.5894042966,44099.8495384557,43663.7365606256,39417.0184503647,38305.9895203309,41750.5994644646,40996.1117229424,40486.7296223181,39410.715783841,44775.0283099159,43698.7516521825,44039.4485679651,43622.418802545,43141.7491269536,42686.5529367144,62078.3506712543,64243.2465005124,63020.6944164465,63364.3674526536,61987.266198769,61250.593806937,43460.2114970649,42431.9056896115,44727.1450660545,63864.295553492,62087.4542453653,62991.8067785756,63224.0442671693,62720.9648330687,63077.6812344183,107655.837572977,18662.0005622551,18232.1902509496,11887.693282848,12094.6324989267,2863.90589891318,3614.06205087306,0,19201.5771734343,26256.9712187959,21203.3037085487,22215.7652432741,20470.8752998601,20938.939642404,21314.6516497435,8828.95097917219,21231.9285271631,9512.12872547988,130185.249331139,91335.3006507197,82615.4039696156,136592.487945351,109166.825505835,31855.8474788295,73984.7082904531,108343.09603897,19043.2244154581,88378.1471292366,82886.2919635626,49388.7147645392,47308.1101688916,53125.9122084108,48914.0538307968,48371.3378357387,62009.156558315,55704.495262773,21461.1898953324,15177.5725206884,15247.4020112913,16152.2705965253,14098.3197425306,15712.2274141544,11537.549573933,12580.1180127937,9883.9057855502,11021.7772003663,12298.7158873282,12786.2648273022,13224.3369327119,12689.4813467353,12652.7970074376,13507.8988782679,129999.145455849,89259.9562490792,77897.5577899679,136572.703881589,83347.8323783041,41486.476597616,48682.6206931552,52362.2802008693,54667.3240027742,54686.4072151833,56889.5570756792,54848.7897335012,54667.3240027742
"s-10",114457.328176348,136152.244869396,136591.859606164,153365.840590277,157259.168845289,135884.817076407,135419.991673544,135766.991255851,135687.419466533,143040.851512731,162253.10835994,133269.363201474,145551.345221593,134855.197172671,149199.395120688,148908.76911142,143015.991272313,12568.3082431339,45179.2137377076,76896.7482190132,7443.20886401751,26960.3081352844,22161.4725704345,20359.5082026305,49179.1179493649,75801.8638100187,58995.5443884397,35047.9533038412,31973.0784285081,29445.8396850358,60969.1438839442,56652.1327713131,60704.867424218,55853.0883320289,59762.348466188,59326.2354883579,55079.517378097,53968.4884480631,57413.0983921969,56658.6106506747,56149.2285500504,55073.2147115732,60437.5272376482,59361.2505799148,59701.9474956975,59284.9177302773,58804.2480546859,58349.0518644468,77740.8495989869,79905.7454282451,78683.1933441791,79026.866380386,77649.7651265017,76913.0927346696,59122.7104247973,58094.4046173438,60389.6439937868,79526.7944812245,77749.9531730977,78654.305706308,78886.5431949016,78383.463760801,78740.1801621506,123318.336500709,610.787050593644,1090.36407630278,7761.78432022044,8630.45755759691,16885.1051329628,17578.9896305757,19201.5771734343,0,7055.39404536156,36865.8026362813,37878.2641710066,36133.3742275926,36601.4385701365,36977.1505774761,12364.1007022767,36894.4274548957,12179.3960318685,145847.748258871,106997.799578453,98277.9028973487,152254.986873084,124829.324433569,12654.2703053952,89647.2072181862,124005.594966703,208.119472380009,69176.5699558019,63684.714790128,32262.23034089,30181.6257452423,35999.4277847616,29712.4766573626,29169.7606623045,42807.5793848808,36502.9180893389,37123.688823065,30279.6547706735,30349.4842612763,31254.3528465103,29200.4019925157,30814.3096641395,26639.631823918,27682.2002627787,24985.9880355352,26123.8594503513,27400.7981373133,27888.3470772872,28326.419182697,27791.5635967203,27754.8792574226,28609.9811282529,145661.644383582,104922.455176812,93560.056717701,152235.202809322,99010.3313060373,22284.8994241817,29481.043519721,33160.7030274352,35465.7468293401,35484.8300417492,37687.9799022451,35647.2125600671,35465.7468293401
"s-9a",121512.72222171,143207.638914757,143647.253651525,160421.234635638,164314.56289065,142940.211121769,142475.385718906,142822.385301213,142742.813511894,150096.245558092,169308.502405301,140324.757246835,152606.739266955,141910.591218032,156254.789166049,155964.163156781,150071.385317674,5512.91419777234,38123.8196923461,69841.3541736514,423.420038363198,19904.9140899228,15106.0785250729,13304.1141572689,42123.7239040034,68746.4697646568,51940.1503430782,27992.5592584797,24917.6843831464,22390.4456396742,68024.5379293058,63707.5268166747,67760.2614695797,62908.4823773906,66817.7425115496,66381.6295337196,62134.9114234586,61023.8824934247,64468.4924375585,63714.0046960364,63204.622595412,62128.6087569348,67492.9212830099,66416.6446252764,66757.3415410591,66340.311775639,65859.6421000476,65404.4459098084,84796.2436443489,86961.139473607,85738.587389541,86082.260425748,84705.1591718636,83968.4867800316,66178.1044701589,65149.7986627054,67445.0380391484,86582.1885265865,84805.3472184593,85709.6997516699,85941.9372402633,85438.8578061626,85795.5742075124,130373.730546071,7666.18109595521,8145.75812166435,14817.178365582,15685.8516029585,23940.4991783244,24634.3836759373,26256.9712187959,7055.39404536156,0,43921.1966816427,44933.6582163681,43188.7682729541,43656.832615498,44032.5446228375,19419.4947476383,43949.8215002571,19234.7900772301,152903.142304233,114053.193623815,105333.29694271,159310.380918445,131884.71847893,5598.87626003362,96702.601263548,131060.989012065,7213.74680333774,62121.1759104403,56629.3207447665,35891.7264919058,37237.0197906038,31619.6734620573,22657.082612001,22114.3666169428,35752.1853395194,29447.5240439773,44179.0828684264,37335.048816035,37404.8783066378,38309.7468918718,36255.7960378772,37869.703709501,33695.0258692796,34737.5943081403,32041.3820808968,33179.253495713,34456.1921826749,34943.7411226488,35381.8132280585,34846.9576420819,34810.2733027842,35665.3751736144,152717.038428943,111977.849222174,100615.450763063,159290.596854683,106065.725351399,15229.5053788201,22425.6494743593,26105.3089820736,28410.3527839785,28429.4359963876,30632.5858568835,28591.8185147055,28410.3527839785
