"","ak-41","ak-42","ak-44","ak-45","ak-46","ak-47","ak-48","HH1","HH2","HH3","HH4","HH5","HH6","HH7","HH8","HH9","ak-11","ak-10","ak-14","ak-17","ak-36","ak-28","ak-31","ak-32","ak-30","ak-22","ak-26","ak-23","ak-19","ak-35","ak-40","ak-21","ak-25","ak-29","ak-39","ak-33","ak-27","ak-24","ak-37","HH10","HH11","ak-38","ak-43","ak-20","ak-34"
"HH6",67897.1928204,67346.4053552764,74087.8557823079,74920.9237999773,83175.5713753433,83905.0610926633,85492.0434158148,15327.1521752663,10824.1685295074,9257.76819639648,6159.88148502158,3221.32551450367,0,1825.567912905,5525.67805154857,8597.99014086149,68542.9008473714,68911.6324536176,60849.2736081944,49558.7808981918,31377.2357887258,10832.9161532333,10883.8631239377,10883.8631239377,10797.9010616766,26841.1236837709,18124.3783359284,26236.2379146806,42494.1319646456,30695.9295635789,57101.3384927228,34936.322689461,21865.1284980829,10530.4732686881,56162.1460807928,11332.7566476531,17398.5154130202,22616.4649063435,31402.709274078,34951.9511584791,44078.8956038141,33368.2364165007,61303.3613394575,42558.4480284766,34481.6139097535
"HH7",66071.624907495,65520.8374423714,72262.2878694028,73095.3558870722,81350.0034624383,82079.4931797583,83666.4755029097,17152.7200881713,12649.7364424124,11083.3361093015,7985.44939792657,5046.89342740867,1825.567912905,0,3700.11013864358,6772.4222279565,70368.4687602764,70737.2003665226,62674.8415210994,51384.3488110967,29551.6678758208,9007.34824032829,9058.29521103273,9058.29521103273,8972.33314877156,28666.6915966759,19949.9462488334,28061.8058275856,44319.6998775505,28870.3616506739,55275.7705798178,36761.890602366,23690.6964109879,8704.9053557831,54336.5781678878,9507.18873474814,19224.0833259252,24442.0328192485,29577.141361173,33126.3832455742,42253.3276909091,31542.6685035957,59477.7934265525,44384.0159413816,32656.0459968486
"HH8",62371.5147688514,61820.7273037278,68562.1777307592,69395.2457484286,77649.8933237946,78379.3830411146,79966.3653642661,20852.8302268149,16349.846581056,14783.446247945,11685.5595365701,8747.00356605223,5525.67805154857,3700.11013864358,0,3072.31208931293,74068.5788989201,74437.3105051663,66374.951659743,55084.4589497402,25851.5577371772,5307.23810168472,5358.18507238916,5358.18507238916,5272.223010128,32366.8017353195,23650.0563874771,31761.9159662293,48019.810016194,25170.2515120302,51575.6604411743,40462.0007410095,27390.8065496315,5004.79521713953,50636.4680292443,5807.07859610458,22924.1934645688,28142.1429578921,25877.0312225294,29426.2731069305,38553.2175522656,27842.558364952,55777.683287909,48084.1260800251,28955.935858205
"HH9",59299.2026795385,58748.4152144149,65489.8656414461,66322.9336591155,74577.5812344816,75307.0709518016,76894.0532749531,23925.1423161279,19422.1586703689,17855.758337258,14757.8716258831,11819.3156553652,8597.99014086149,6772.4222279565,3072.31208931293,0,77140.8909882332,77509.6225944794,69447.263749056,58156.7710390531,22779.2456478642,2234.9260123718,2285.87298307624,2285.87298307624,2199.91092081507,35439.1138246324,26722.36847679,34834.2280555422,51092.1221055069,22097.9394227173,48503.3483518614,43534.3128303224,30463.1186389445,1932.48312782661,47564.1559399315,2734.76650679165,25996.5055538818,31214.4550472051,22804.7191332164,26353.9610176176,35480.9054629528,24770.2462756391,52705.3711985962,51156.438169338,25883.623768892
"ak-11",136440.093667773,135889.306202649,142630.75662968,143463.82464735,151718.472222715,152447.961940035,154034.944263187,53388.8530529284,57718.732317864,59285.1326509749,62383.0193623498,65321.5753328677,68542.9008473714,70368.4687602764,74068.5788989201,77140.8909882332,0,404.336825953324,7693.62723917698,18984.1199491797,99920.1366360976,79375.8170006049,79426.7639713093,79426.7639713093,79340.8019090482,41701.7771636007,50418.5225114431,42306.662932691,26048.768882726,99238.8304109507,125644.239340095,33606.5781579107,46677.7723492887,79073.3741160597,124705.046928165,79875.6574950247,51144.3854343514,45926.4359410281,99945.6101214499,103494.852005851,112621.796451186,101911.137263873,129846.26218683,29908.024180915,103024.514757126
"ak-10",136808.825274019,136258.037808895,142999.488235927,143832.556253596,152087.203828962,152816.693546282,154403.675869433,53757.5846591746,58087.4639241102,59653.8642572211,62751.750968596,65690.3069391139,68911.6324536176,70737.2003665226,74437.3105051663,77509.6225944794,404.336825953324,0,8062.35884542319,19352.8515554259,100288.868242344,79744.5486068511,79795.4955775555,79795.4955775555,79709.5335152944,42070.5087698469,50787.2541176893,42675.3945389372,26417.5004889722,99607.5620171969,126012.970946342,33975.3097641569,47046.5039555349,79442.1057223059,125073.778534412,80244.389101271,51513.1170405976,46295.1675472743,100314.341727696,103863.583612097,112990.528057433,102279.868870119,130214.993793077,30276.7557871612,103393.246363372
"ak-14",128746.466428596,128195.678963472,134937.129390504,135770.197408173,144024.844983539,144754.334700859,146341.31702401,45695.2258137516,50025.1050786872,51591.5054117981,54689.3921231729,57627.9480936908,60849.2736081944,62674.8415210994,66374.951659743,69447.263749056,7693.62723917698,8062.35884542319,0,11290.4927100027,92226.5093969205,71682.1897614277,71733.1367321321,71733.1367321321,71647.174669871,34008.1499244238,42724.8952722662,34613.0356935141,18355.141643549,91545.2031717735,117950.612100918,25912.9509187337,38984.1451101118,71379.7468768825,117011.419688988,72182.0302558476,43450.7581951745,38232.8087018512,92251.9828822727,95801.224766674,104928.169212009,94217.5100246954,122152.634947653,22214.396941738,95330.8875179484
"ak-17",117455.973718593,116905.186253469,123646.636680501,124479.70469817,132734.352273536,133463.841990856,135050.824314008,34404.7331037489,38734.6123686845,40301.0127017954,43398.8994131702,46337.4553836881,49558.7808981918,51384.3488110967,55084.4589497402,58156.7710390531,18984.1199491797,19352.8515554259,11290.4927100027,0,80936.0166869177,60391.697051425,60442.6440221295,60442.6440221295,60356.6819598683,22717.6572144211,31434.4025622635,23322.5429835114,7064.6489335463,80254.7104617707,106660.119390915,14622.458208731,27693.6524001091,60089.2541668799,105720.926978985,60891.5375458449,32160.2654851718,26942.3159918485,80961.4901722699,84510.7320566712,93637.6765020064,82927.0173146926,110862.14223765,10923.9042317353,84040.3948079456
"ak-36",36519.9570316746,35969.1695665509,42710.6199935822,43543.6880112516,51798.3355866174,52527.8253039373,54114.8076270889,46704.3879639919,42201.4043182331,40635.0039851222,37537.1172737473,34598.5613032294,31377.2357887258,29551.6678758208,25851.5577371772,22779.2456478642,99920.1366360976,100288.868242344,92226.5093969205,80936.0166869177,0,20544.3196354924,20493.372664788,20493.372664788,20579.3347270491,58218.3594724963,49501.614124654,57613.4737034061,73871.3677533711,681.306225146923,25724.1027039974,66313.5584781863,53242.3642868084,20846.7625200376,24784.9102920674,20044.4791410725,48775.7512017458,53993.700695069,61.0787050593644,25381.812197511,34508.7566428462,1991.00062777486,29926.1255507322,73935.6838172022,24911.4749487854
"ak-28",57064.2766671667,56513.4892020431,63254.9396290743,64088.0076467437,72342.6552221097,73072.1449394296,74659.1272625812,26160.0683284997,21657.0846827408,20090.6843496298,16992.7976382549,14054.2416677369,10832.9161532333,9007.34824032829,5307.23810168472,2234.9260123718,79375.8170006049,79744.5486068511,71682.1897614277,60391.697051425,20544.3196354924,0,122.157410118729,122.157410118729,85.9620622611987,37674.0398370042,28957.2944891618,37069.1540679139,53327.0481178787,19863.0134103455,46268.4223394897,45769.2388426942,32698.0446513163,302.442884545191,45329.2299275597,499.840494419855,28231.4315662536,33449.3810595769,20569.7931208446,24119.0350052458,33245.979450581,22535.3202632673,50470.4451862244,53391.3641817097,23648.6977565202
"ak-31",57013.3296964622,56462.5422313386,63203.9926583699,64037.0606760392,72291.7082514053,73021.1979687252,74608.1802918767,26211.0152992041,21708.0316534452,20141.6313203342,17043.7446089593,14105.1886384414,10883.8631239377,9058.29521103273,5358.18507238916,2285.87298307624,79426.7639713093,79795.4955775555,71733.1367321321,60442.6440221295,20493.372664788,122.157410118729,0,0,85.9620622611987,37724.9868077086,29008.2414598663,37120.1010386184,53377.9950885831,19812.066439641,46217.4753687852,45820.1858133986,32748.9916220207,353.389855249629,45278.2829568553,448.893523715417,28282.378536958,33500.3280302813,20518.8461501402,24068.0880345413,33195.0324798766,22484.3732925628,50419.49821552,53442.3111524142,23597.7507858157
"ak-32",57013.3296964622,56462.5422313386,63203.9926583699,64037.0606760392,72291.7082514053,73021.1979687252,74608.1802918767,26211.0152992041,21708.0316534452,20141.6313203342,17043.7446089593,14105.1886384414,10883.8631239377,9058.29521103273,5358.18507238916,2285.87298307624,79426.7639713093,79795.4955775555,71733.1367321321,60442.6440221295,20493.372664788,122.157410118729,0,0,85.9620622611987,37724.9868077086,29008.2414598663,37120.1010386184,53377.9950885831,19812.066439641,46217.4753687852,45820.1858133986,32748.9916220207,353.389855249629,45278.2829568553,448.893523715417,28282.378536958,33500.3280302813,20518.8461501402,24068.0880345413,33195.0324798766,22484.3732925628,50419.49821552,53442.3111524142,23597.7507858157
"ak-30",57099.2917587234,56548.5042935998,63289.954720631,64123.0227383004,72377.6703136664,73107.1600309864,74694.1423541379,26125.0532369429,21622.069591184,20055.6692580731,16957.7825466981,14019.2265761802,10797.9010616766,8972.33314877156,5272.223010128,2199.91092081507,79340.8019090482,79709.5335152944,71647.174669871,60356.6819598683,20579.3347270491,85.9620622611987,85.9620622611987,85.9620622611987,0,37639.0247454475,28922.2793976051,37034.1389763572,53292.033026322,19898.0285019022,46303.4374310464,45734.2237511374,32663.0295597596,267.427792988465,45364.2450191164,534.855585976581,28196.4164746968,33414.3659680202,20604.8082124013,24154.0500968025,33280.9945421377,22570.335354824,50505.4602777811,53356.349090153,23683.7128480769
"ak-22",94738.3165041714,94187.5290390477,100928.979466079,101762.047483749,110016.695059115,110746.184776435,112333.167099586,11687.0758893277,16016.9551542634,17583.3554873744,20681.2421987493,23619.7981692672,26841.1236837709,28666.6915966759,32366.8017353195,35439.1138246324,41701.7771636007,42070.5087698469,34008.1499244238,22717.6572144211,58218.3594724963,37674.0398370042,37724.9868077086,37724.9868077086,37639.0247454475,0,8716.7453478424,604.885769090266,15653.0082808747,57537.0532473495,83942.4621764938,8095.19900569007,4975.99518568796,37371.596952459,83003.2697645638,38173.8803314241,9442.60827075067,4224.65877742735,58243.8329578486,61793.0748422497,70920.0192875847,60209.3601002713,88144.4850232287,15717.3243447058,61322.7375935242
"ak-26",86021.5711563289,85470.7836912052,92212.2341182367,93045.3021359061,101299.949711272,102029.439428592,103616.421751744,2970.33054148536,7300.20980642105,8866.61013953198,11964.4968509068,14903.0528214248,18124.3783359284,19949.9462488334,23650.0563874771,26722.36847679,50418.5225114431,50787.2541176893,42724.8952722662,31434.4025622635,49501.614124654,28957.2944891618,29008.2414598663,29008.2414598663,28922.2793976051,8716.7453478424,0,8111.85957875213,24369.7536287171,48820.3078995071,75225.7168286514,16811.9443535325,3740.75016215443,28654.8516046166,74286.5244167214,29457.1349835817,725.862922908273,4492.08657041504,49527.0876100063,53076.3294944073,62203.2739397423,51492.6147524289,79427.7396753863,24434.0696925482,52605.9922456818
"ak-23",94133.4307350811,93582.6432699575,100324.093696989,101157.161714658,109411.809290024,110141.299007344,111728.281330496,11082.1901202375,15412.0693851732,16978.4697182841,20076.356429659,23014.9124001769,26236.2379146806,28061.8058275856,31761.9159662293,34834.2280555422,42306.662932691,42675.3945389372,34613.0356935141,23322.5429835114,57613.4737034061,37069.1540679139,37120.1010386184,37120.1010386184,37034.1389763572,604.885769090266,8111.85957875213,0,16257.894049965,56932.1674782592,83337.5764074036,8700.08477478034,4371.1094165977,36766.7111833688,82398.3839954736,37568.9945623338,8837.7225016604,3619.77300833709,57638.9471887584,61188.1890731595,70315.1335184945,59604.474331181,87539.5992541385,16322.2101137961,60717.8518244339
"ak-19",110391.324785046,109840.537319923,116581.987746954,117415.055764624,125669.70333999,126399.19305731,127986.175380461,27340.0841702025,31669.9634351383,33236.3637682492,36334.250479624,39272.8064501419,42494.1319646456,44319.6998775505,48019.810016194,51092.1221055069,26048.768882726,26417.5004889722,18355.141643549,7064.6489335463,73871.3677533711,53327.0481178787,53377.9950885831,53377.9950885831,53292.033026322,15653.0082808747,24369.7536287171,16257.894049965,0,73190.0615282243,99595.470457369,7557.80927518469,20629.0034665627,53024.6052333336,98656.278045439,53826.8886122986,25095.6165516255,19877.6670583021,73896.8412387234,77446.0831231247,86573.0275684599,75862.3683811462,103797.493304104,3859.25529818899,76975.7458743991
"ak-35",37201.2632568215,36650.4757916978,43391.9262187291,44224.9942363985,52479.6418117643,53209.1315290842,54796.1138522358,46023.081738845,41520.0980930862,39953.6977599753,36855.8110486004,33917.2550780825,30695.9295635789,28870.3616506739,25170.2515120302,22097.9394227173,99238.8304109507,99607.5620171969,91545.2031717735,80254.7104617707,681.306225146923,19863.0134103455,19812.066439641,19812.066439641,19898.0285019022,57537.0532473495,48820.3078995071,56932.1674782592,73190.0615282243,0,26405.4089291443,65632.2522530394,52561.0580616615,20165.4562948907,25466.2165172143,19363.1729159256,48094.4449765989,53312.3944699221,706.779710499142,24700.5059723641,33827.4504176993,2672.30685292178,30607.4317758791,73254.3775920553,24230.1687236385
"ak-40",10795.8543276772,10245.0668625535,16986.5172895848,17819.5853072542,26074.2328826202,26803.7225999401,28390.7049230917,72428.4906679893,67925.5070222302,66359.1066891192,63261.2199777443,60322.6640072264,57101.3384927228,55275.7705798178,51575.6604411743,48503.3483518614,125644.239340095,126012.970946342,117950.612100918,106660.119390915,25724.1027039974,46268.4223394897,46217.4753687852,46217.4753687852,46303.4374310464,83942.4621764938,75225.7168286514,83337.5764074036,99595.470457369,26405.4089291443,0,92037.6611821842,78966.466990806,46570.8652240348,939.192411929987,45768.5818450698,74499.8539057432,79717.8033990666,25698.6292186452,51105.9149015082,60232.8593468433,23906.2064570457,4202.02284673481,99659.7865212,50635.5776527826
"ak-21",102833.515509862,102282.728044738,109024.178471769,109857.246489439,118111.894064805,118841.383782125,120428.366105276,19782.2748950178,24112.1541599536,25678.5544930645,28776.4412044394,31714.9971749574,34936.322689461,36761.890602366,40462.0007410095,43534.3128303224,33606.5781579107,33975.3097641569,25912.9509187337,14622.458208731,66313.5584781863,45769.2388426942,45820.1858133986,45820.1858133986,45734.2237511374,8095.19900569007,16811.9443535325,8700.08477478034,7557.80927518469,65632.2522530394,92037.6611821842,0,13071.194191378,45466.795958149,91098.4687702542,46269.079337114,17537.8072764407,12319.8577831174,66339.0319635386,69888.2738479399,79015.2182932751,68304.5591059614,96239.6840289191,7622.12533901575,69417.9365992143
"ak-25",89762.3213184834,89211.5338533598,95952.9842803912,96786.0522980606,105040.699873427,105770.189590747,107357.171913898,6711.08070363979,11040.9599685755,12607.3603016864,15705.2470130613,18643.8029835792,21865.1284980829,23690.6964109879,27390.8065496315,30463.1186389445,46677.7723492887,47046.5039555349,38984.1451101118,27693.6524001091,53242.3642868084,32698.0446513163,32748.9916220207,32748.9916220207,32663.0295597596,4975.99518568796,3740.75016215443,4371.1094165977,20629.0034665627,52561.0580616615,78966.466990806,13071.194191378,0,32395.6017667711,78027.2745788759,33197.8851457361,4466.61308506271,751.336408260608,53267.8377721607,56817.0796565618,65944.0241018968,55233.3649145833,83168.4898375408,20693.3195303938,56346.7424078362
"ak-29",57366.7195517119,56815.9320865882,63557.3825136195,64390.4505312889,72645.0981066549,73374.5878239748,74961.5701471264,25857.6254439545,21354.6417981956,19788.2414650846,16690.3547537097,13751.7987831918,10530.4732686881,8704.9053557831,5004.79521713953,1932.48312782661,79073.3741160597,79442.1057223059,71379.7468768825,60089.2541668799,20846.7625200376,302.442884545191,353.389855249629,353.389855249629,267.427792988465,37371.596952459,28654.8516046166,36766.7111833688,53024.6052333336,20165.4562948907,46570.8652240348,45466.795958149,32395.6017667711,0,45631.6728121049,802.283378965046,27928.9886817084,33146.9381750317,20872.2360053898,24421.477889791,33548.4223351262,22837.7631478125,50772.8880707696,53088.9212971645,23951.1406410654
"ak-39",11735.0467396071,11184.2592744835,17925.7097015148,18758.7777191842,27013.4252945502,27742.9150118701,29329.8973350217,71489.2982560592,66986.3146103002,65419.9142771892,62322.0275658144,59383.4715952965,56162.1460807928,54336.5781678878,50636.4680292443,47564.1559399315,124705.046928165,125073.778534412,117011.419688988,105720.926978985,24784.9102920674,45329.2299275597,45278.2829568553,45278.2829568553,45364.2450191164,83003.2697645638,74286.5244167214,82398.3839954736,98656.278045439,25466.2165172143,939.192411929987,91098.4687702542,78027.2745788759,45631.6728121049,0,44829.3894331398,73560.6614938132,78778.6109871366,24759.4368067152,50166.7224895782,59293.6669349133,22967.0140451157,5141.2152586648,98720.59410927,49696.3852408526
"ak-33",56564.4361727468,56013.6487076232,62755.0991346544,63588.1671523238,71842.8147276898,72572.3044450097,74159.2867681613,26659.9088229195,22156.9251771606,20590.5248440496,17492.6381326747,14554.0821621568,11332.7566476531,9507.18873474814,5807.07859610458,2734.76650679165,79875.6574950247,80244.389101271,72182.0302558476,60891.5375458449,20044.4791410725,499.840494419855,448.893523715417,448.893523715417,534.855585976581,38173.8803314241,29457.1349835817,37568.9945623338,53826.8886122986,19363.1729159256,45768.5818450698,46269.079337114,33197.8851457361,802.283378965046,44829.3894331398,0,28731.2720606734,33949.2215539967,20069.9526264248,23619.1945108259,32746.1389561611,22035.4797688474,49970.6046918045,53891.2046761296,23148.8572621003
"ak-27",85295.7082334206,84744.920768297,91486.3711953285,92319.4392129979,100574.086788364,101303.576505684,102890.558828835,2244.46761857708,6574.34688351278,8140.74721662371,11238.6339279986,14177.1898985165,17398.5154130202,19224.0833259252,22924.1934645688,25996.5055538818,51144.3854343514,51513.1170405976,43450.7581951745,32160.2654851718,48775.7512017458,28231.4315662536,28282.378536958,28282.378536958,28196.4164746968,9442.60827075067,725.862922908273,8837.7225016604,25095.6165516255,48094.4449765989,74499.8539057432,17537.8072764407,4466.61308506271,27928.9886817084,73560.6614938132,28731.2720606734,0,5217.94949332331,48801.224687098,52350.4665714991,61477.4110168341,50766.7518295206,78701.876752478,25159.9326154565,51880.1293227735
"ak-24",90513.657726744,89962.8702616204,96704.3206886518,97537.3887063212,105792.036281687,106521.525999007,108108.508322159,7462.4171119004,11792.2963768361,13358.696709947,16456.5834213219,19395.1393918398,22616.4649063435,24442.0328192485,28142.1429578921,31214.4550472051,45926.4359410281,46295.1675472743,38232.8087018512,26942.3159918485,53993.700695069,33449.3810595769,33500.3280302813,33500.3280302813,33414.3659680202,4224.65877742735,4492.08657041504,3619.77300833709,19877.6670583021,53312.3944699221,79717.8033990666,12319.8577831174,751.336408260608,33146.9381750317,78778.6109871366,33949.2215539967,5217.94949332331,0,54019.1741804213,57568.4160648224,66695.3605101574,55984.7013228439,83919.8262458014,19941.9831221332,57098.0788160968
