"","bpns-W1","bpns-NIEUWPOORTKUST8","bpns-D1","bpns-OOSTDYCK","bpns-KB2","bpns-VG2","bpns-C05BELWIND","bpns-WK14","bpns-WZ","bpns-S7","bpns-WK12","bpns-S4","bpns-A1BIS","bpns-WENDUINEBANKW","bpns-OH6","bpns-GARDENCITY","bpns-NHSE","s-8","s-4","s-1","s-9","s-5","s-6","s-7","s-3","s-2","s-2a","s-4a","s-4b","s-4c","ws-11","ws-12A","ws-13","ws-14","ws-15","ws-15A","ws-16","ws-18","ws-23","ws-25","ws-25A","ws-25B","ws-2C","ws-6","ws-4","ws-A1","ws-A3","ws-A5","ws-DL12","ws-DL7","ws-DL9","ws-GVWSP","ws-OG10","ws-OGDL","ws-PPB","ws-PPC","ws-PVTSS","ws-SP3","ws-STEEN","ws-TRAWL","ws-W6","ws-W7","ws-WN2","bpns-BIRKENFELS","ak-41","ak-42","ak-44","ak-45","ak-46","ak-47","ak-48","s-10","s-9a","ws-FZ2","ws-HW6","ws-55","ws-53A","ws-53","s-12","ws-42A","s-11","bpns-B05BELWIND","bpns-C05AR1Belwind","bpns-C05AR2Belwind","bpns-C05AR3Belwind","bpns-WKS","s-8a","bpns-BelwindReefballs","bpns-Kilmore","s-10a","s-Wetteren","s-Wichelen","gn-Lier","kn-Lier","bn-Lier","bn-Walem","du-Hamveer","s-Dendermonde","s-Vlassenbroek","ws-F42"
"bpns-WK12",16856.1238540847,45571.1456728901,42774.5283880318,45711.7752056587,33113.7035834116,22502.0554498251,31937.8944099052,15016.7832417802,11557.6161066265,8786.11626605923,0,6619.45090411251,15212.4531017466,25972.1206613275,30040.2590057708,57344.3625921694,45689.1343214925,117322.163570959,150121.34117573,181795.333447825,112206.82778352,131811.337883455,126983.852803146,125112.614655292,154105.290425533,180649.538142059,163985.906149975,139834.293737104,136776.845602797,134358.597310184,43925.4417351831,50126.4009876276,44181.4530228118,51370.7508360463,45135.8297126503,46067.6716940648,52639.5718816413,54318.7855829419,50265.673985654,51316.1268220951,51798.0605039026,53428.3318108526,44463.8719963663,45518.006040332,45188.581161177,46856.4316232767,47957.6994194937,49058.96721571,27739.4030319585,26056.3802764815,26751.0644711678,25828.5853168781,28673.1175787971,28364.4187659679,48737.0325982549,49761.141672096,44486.4067047911,25410.7023994724,27534.0149341272,26269.066866034,26029.908667229,26457.2183350852,26167.3730231572,48337.6196417949,104264.247347965,103840.682810958,97095.5729799857,96441.1515786421,89469.6636914619,88601.8085511231,89115.1483123407,104789.657615192,111820.223098873,69840.420754908,69629.5428074541,68720.363381116,68733.5352624163,68797.5221034926,92495.9215570244,69488.3972440025,93245.027427157,32386.6133702031,32201.2827696349,31777.7182326281,31809.5278041602,51938.758604074,117466.43496247,35541.7468583354,45431.4205675057,104636.136586155,174090.809835783,168622.050009848,135040.913170313,132917.218280591,138762.524984516,134433.20024102,134056.008834657,147745.924940168,141271.857371385,69672.8675055306
"bpns-S4",19006.1636912954,38951.6947687775,36611.2122140626,39548.4590316896,26950.3874094425,17758.0687120265,35086.0348997444,17166.8230789909,11041.0221368452,9602.83919977388,6619.45090411251,0,8593.00219763408,19352.669757215,23420.8081016654,55194.3227549576,48837.2748113317,119472.203408171,152271.381012942,183945.373285037,114356.867620732,133961.377720667,129133.892640357,127262.654492504,156255.330262745,182799.577979271,166135.945987187,141984.333574316,138926.885440009,136508.637147396,46075.4815723957,52276.4408248393,46331.492860024,53520.790673258,47285.869549862,48217.7115312764,54789.611718853,56468.8254201536,52415.7138228656,53466.1666593067,53948.1003411143,55578.3716480643,46760.7390166317,47668.0458775437,47338.6209983887,49006.4714604884,50107.7392567054,51209.0070529217,33902.7192059268,32219.6964504502,32914.3806451361,30817.2840264292,34836.4337527657,34527.7349399361,50887.0724354666,51911.1815093077,46636.446542003,31476.1337847392,29684.0547713384,30376.8024772734,28326.7756874934,28607.2581722966,29394.1455360834,46187.5798045844,106414.287185177,105990.72264817,99245.6128171976,98591.191415854,91619.7035286738,90751.848388335,91265.1881495526,106939.697452404,113970.262936084,71990.4605921199,71779.582644666,70870.4032183278,70883.5750996282,70947.5619407044,94645.9613942363,71638.4370812144,95395.0672643689,35534.7538600424,35349.4232594741,34925.8587224673,34957.6682939995,45775.4424301048,119616.474799682,38689.8873481777,39268.1043935373,106786.176423367,176240.849672995,170772.08984706,137190.953007524,135067.258117803,140912.564821728,136583.240078232,136206.048671869,149895.96477738,143421.897208597,71822.9073427425
"bpns-A1BIS",24828.8835168862,30358.6925711434,28439.2574596377,31376.5042772658,18778.432655018,14725.0653644263,39000.3143651281,20885.0199475009,15444.4125262656,16159.6949406256,15212.4531017466,8593.00219763408,0,10759.6675595808,14827.8059040418,52161.3194073576,52751.5542766961,126910.022247334,159709.199852105,191383.1921242,121794.686459895,141399.19655983,136571.71147952,134700.473331666,163693.149101908,190237.396818434,173573.76482635,149422.152413479,146364.704279172,143946.455986559,53904.8395663635,59714.2596640022,53769.311699187,60958.6095124208,54723.6883890249,55655.5303704393,62227.4305580158,63906.6442593165,59853.5326620285,60903.9854984696,61385.9191802772,63016.1904872272,54932.6937710545,55105.8647167066,54776.4398375517,56444.2902996513,57545.5580958683,58646.8258920846,42074.6739603516,40391.6512048749,41086.3353995609,38989.2387808539,43008.3885071905,42699.6896943608,58324.8912746295,59349.0003484705,54074.265381166,39648.088539164,36681.392061345,38548.7572316978,36498.7304419171,36191.9041945125,37566.1002905076,44663.3297951511,113852.10602434,113428.541487333,106683.43165636,106029.010255017,99057.5223678366,98189.6672274978,98703.0069887154,114377.516291566,121408.081775247,79428.2794312827,79217.4014838288,78308.2220574906,78321.393938791,78385.3807798672,102083.780233399,79076.2559203772,102832.886103532,39449.033325425,39263.7027248581,38840.1381878519,38871.9477593821,37603.4876756799,127054.293638845,42604.1668135714,34326.3476662595,114223.995262529,183678.668512158,178209.908686223,144628.771846687,142505.076956966,148350.38366089,144021.058917395,143643.867511032,157333.783616543,150859.71604776,79260.7261819053
"bpns-WENDUINEBANKW",34290.3214599051,19599.0250115624,18977.8195166187,28326.5199941884,15141.1396397331,18438.6513507612,44678.7884198061,30346.4578905194,24905.8504692845,25621.1328836445,25972.1206613275,19352.669757215,10759.6675595808,0,6533.27182704224,49453.9318847368,58430.028331374,136371.460190352,169170.637795124,200844.630067219,131256.124402913,150860.634502848,146033.149422538,144161.911274685,173154.587044927,199698.834761452,183035.202769368,158883.590356497,155826.14222219,153407.893929578,63366.2775093826,69175.697607021,63230.7496422061,70420.0474554396,64185.126332044,65116.9683134584,71688.8685010345,73368.082202335,69314.9706050473,70365.4234414884,70847.3571232959,72477.6284302457,64394.1317140736,64567.3026597257,64237.8777805708,65905.7282426704,67006.9960388873,68108.2638351035,51536.1119033706,49853.089147894,50547.7733425799,48450.676723873,52469.8264502095,52161.1276373799,67786.3292176484,68810.4382914894,63535.7033241851,49109.526482183,46142.8300043641,48010.1951747169,45960.1683849362,45653.3421375316,47027.5382335266,50341.8038497812,123313.543967358,122889.979430351,116144.869599379,115490.448198035,108518.960310855,107651.105170516,108164.444931734,123838.954234585,130869.519718265,88889.7173743009,88678.839426847,87769.6600005088,87782.8318818092,87846.8187228854,111545.218176417,88537.6938633954,112294.32404655,45127.5073801029,44942.176779536,44518.6122425298,44550.42181406,28142.0497326609,136515.731581863,48282.6408682493,31618.9601436384,123685.433205548,193140.106455176,187671.346629242,154090.209789706,151966.514899984,157811.821603909,153482.496860413,153105.30545405,166795.221559561,160321.153990778,88722.1641249235
"bpns-OH6",33516.4142074411,19706.2738122784,19751.7267690833,33456.3003438664,20270.9199894111,24971.9231778029,51212.0602468478,29572.5506380553,24131.9432168205,25127.9239266534,30040.2590057708,23420.8081016654,14827.8059040418,6533.27182704224,0,54583.7122344149,64963.3001584157,135597.552937888,168396.73054266,200070.722814755,130482.217150448,150086.727250384,145259.242170074,143388.00402222,172380.679792463,198924.927508988,182261.295516904,158109.683104033,155052.234969727,152633.986677114,62592.3702569186,68401.7903545571,62456.8423897421,69646.1402029757,63411.2190795801,64343.0610609945,70914.9612485706,72594.1749498711,68541.0633525835,69591.5161890245,70073.449870832,71703.7211777819,63620.2244616096,63793.3954072618,63463.9705281068,65131.8209902065,66233.0887864234,67334.3565826396,50762.2046509067,49079.18189543,49773.866090116,47676.769471409,51695.9191977456,51387.2203849159,67012.4219651845,68036.5310390255,62761.7960717211,48335.6192297191,45368.9227519001,47236.2879222529,45186.2611324722,44879.4348850676,46253.6309810627,56875.0756768234,122539.636714893,122116.072177887,115370.962346914,114716.54094557,107745.05305839,106877.197918051,107390.537679269,123065.04698212,130095.612465801,88115.8101218363,87904.9321743824,86995.7527480443,87008.9246293446,87072.9114704209,110771.310923953,87763.7866109308,111520.416794085,51660.7792071446,51475.4486065777,51051.8840695715,51083.6936411017,28915.9569851255,135741.824329398,54815.912695291,36748.7404933165,122911.525953083,192366.199202712,186897.439376778,153316.302537242,151192.60764752,157037.914351445,152708.589607949,152331.398201586,166021.314307097,159547.246738314,87948.2568724589
"bpns-GARDENCITY",74200.4864462527,47734.8786954982,38226.2771522688,21127.4118905484,34312.7922450037,37436.2540429314,43296.1694837175,72361.145833948,66235.3448918027,64797.1619547314,57344.3625921694,55194.3227549576,52161.3194073576,49453.9318847368,54583.7122344149,0,40708.1058901988,174666.526163128,207465.7037679,239139.696039995,169551.190375689,189155.700475625,184328.215395315,182456.977247461,211449.653017703,237993.900734229,221330.268742144,197178.656329274,194121.208194967,191702.959902354,101269.804327352,107470.763579796,101525.815614981,108715.113428215,102480.192304819,103412.034286233,109983.93447381,111663.14817511,107610.036577823,108660.489414264,109142.423096071,110772.694403021,101808.234588536,102862.368632501,102532.943753346,104200.794215445,105302.062011662,106403.329807879,84545.3992862701,82372.9525872868,83606.0031198307,83172.9479090475,84696.0355234985,85366.1845976834,106081.395190423,107105.504264265,101830.76929696,82755.0649916417,84878.3775262955,83613.4294582033,83374.2712593977,83801.5809272537,83511.7356153262,24972.9367279472,161608.609940134,161185.045403127,154439.935572155,153785.514170811,146814.026283631,145946.171143292,146459.51090451,162134.020207361,169164.585691042,127184.783347077,126973.905399623,126064.725973285,126077.897854585,126141.884695661,149840.284149193,126832.759836171,150589.390019326,43057.0752082382,43333.8125621929,43512.6651274455,43102.2724717392,35795.2098804353,174810.797554639,45694.4107302279,17834.9717410983,161980.499178324,231435.172427952,225966.412602018,192385.275762482,190261.58087276,196106.887576685,191777.562833189,191400.371426827,205090.287532337,198616.219963554,127017.230097699
"bpns-NHSE",60931.2429766085,67061.7247877906,59062.3886420507,48841.9028593154,46236.2207941446,39991.3769806127,13751.2399115871,60495.3938416683,57246.7504281191,54475.2505875518,45689.1343214925,48837.2748113317,52751.5542766961,58430.028331374,64963.3001584157,40708.1058901988,0,161397.28269348,194196.460298252,225870.452570349,156281.94690604,175886.457005976,171058.971925666,169187.733777812,198180.409548056,224724.657264582,208061.025272498,183909.412859625,180851.964725318,178433.716432705,88000.5608577051,94201.5201101493,88256.5721453337,95445.8699585678,89210.9488351723,90142.7908165867,96714.6910041628,98393.9047054633,94340.7931081756,95391.2459446166,95873.1796264242,97503.450933374,88538.9911188882,89593.1251628539,89263.700283699,90931.5507457986,92032.8185420155,93134.0863382317,71276.1558166225,69103.7091176392,70336.7596501833,69903.7044394009,71426.7920538505,72096.9411280358,92812.1517207767,93836.2607946177,88561.525827313,69485.8215219946,71609.1340566504,70344.185988557,70105.0277897523,70532.3374576085,70242.4921456804,15735.1691622514,148339.366470485,147915.801933479,141170.692102506,140516.270701162,133544.782813982,132676.927673643,133190.267434861,148864.776737712,155895.342221393,113915.539877429,113704.661929975,112795.482503637,112808.654384937,112872.641226013,136571.040679545,113563.516366523,137320.146549677,13302.5209512892,13487.8515518575,13911.4160888642,13879.6065173321,63875.7952782268,161541.55408499,12603.4975485442,45122.9941016024,148711.255708675,218165.928958306,212697.169132372,179116.032292834,176992.337403112,182837.644107037,178508.319363541,178131.127957178,191821.04406269,185346.976493906,113747.986628051
"s-8",102081.138730448,155303.826750166,155349.27970697,158286.5265246,145688.454902352,137230.272120197,147961.8283643,106025.002299833,111465.609721068,110750.327306709,117322.163570959,119472.203408171,126910.022247334,136371.460190352,135597.552937888,174666.526163128,161397.28269348,0,32899.7952979377,64573.7875700336,5376.16835562905,14589.7920056624,9762.30692535266,7891.06877749891,36883.7445477411,63427.9922642671,46764.3602721827,22612.7478593114,19555.2997250045,17137.0514323917,73396.7218357763,69104.5159630104,73140.7105481476,68300.6476637472,72186.3338583095,71792.8582147528,67521.2505616603,66429.3455925678,69846.2060632963,69089.4075929593,68607.4739111517,67466.6265477085,72858.2915745932,71804.1575306275,72133.5824097824,71738.2342008017,71273.2175311443,70808.2008614862,90121.1268768594,92293.5735758427,91060.5230432986,91493.5782540811,90075.7525004337,89300.3415654461,71570.617028098,70546.507954257,72835.7568661683,91911.4611714874,90228.6301859885,91053.096704925,91292.2549037298,90864.9452358738,91154.7905478017,165659.783212754,13128.0907968632,13601.9641804525,20276.8994375569,21126.6230008556,29396.3405046004,30109.9139943008,31680.6566651064,12532.5059557673,5501.9404720869,49341.5538013784,50335.5100584432,48601.8001898433,49078.0522520497,49503.4893544816,24896.4165878031,49350.9805518284,24638.5327347498,148445.634611534,148119.954863229,147696.390326222,148008.898193227,164513.509923014,350.150945480323,148793.785144938,158006.171886448,12686.026984805,56869.2639579909,51400.5041320565,30491.8564167605,31900.0278558725,26152.6059406489,17211.6543632271,16834.4629568644,30524.3790623751,24050.3114935922,49655.9342338084
"s-4",134880.316335219,188103.004354938,188148.457311742,191085.704129371,178487.632507123,170029.449724969,180761.005969072,138824.179904604,144264.787325839,143549.50491148,150121.34117573,152271.381012942,159709.199852105,169170.637795124,168396.73054266,207465.7037679,194196.460298252,32899.7952979377,0,31673.9922720958,38125.0371138175,18460.9298320249,23333.2579499877,25155.5537034914,3983.94924980342,30528.1969663294,13864.564974245,10287.0474386263,13635.7712604203,15913.6704052952,106195.899440547,101903.693567781,105939.888152918,101099.825268518,104985.51146308,104592.035819523,100320.428166431,99228.5231973384,102645.383668067,101888.58519773,101406.651515922,100265.804152479,105657.469179364,104603.335135398,104932.760014553,104537.411805572,104072.395135915,103607.378466257,122920.30448163,125092.751180613,123859.700648069,124292.755858852,122874.930105204,122099.519170217,104369.794632869,103345.685559028,105634.934470939,124710.638776258,123027.807790759,123852.274309696,124091.4325085,123664.122840644,123953.968152572,198458.960817526,45927.2684016347,46401.141785224,53076.0770423285,53925.8006056271,62195.5181093719,62909.0915990724,64479.834269878,45331.6835605389,38301.1180768584,82140.7314061495,83134.6876632142,81400.9777946144,81877.2298568208,82302.6669592527,57695.5941925746,82150.1581565995,57437.7103395214,181244.812216306,180919.132468001,180495.567930994,180808.075797999,197312.687527786,32654.9062132608,181592.96274971,190805.34949122,45485.2045895765,23969.4686600532,18500.7088341187,57692.8818913046,59101.0533304166,53353.6314151931,44412.6798377713,22793.3867447186,2375.41623556254,8849.48380434545,82455.1118385795
"s-1",166554.308607314,219776.996627033,219822.449583837,222759.696401466,210161.624779218,201703.441997064,212434.998241169,170498.1721767,175938.779597935,175223.497183575,181795.333447825,183945.373285037,191383.1921242,200844.630067219,200070.722814755,239139.696039995,225870.452570349,64573.7875700336,31673.9922720958,0,69799.0293859133,50134.9221041208,55007.2502220837,56829.5459755874,27690.0430222924,3772.46547172388,17879.601871719,41961.0397107222,45309.7635325162,47587.6626773912,137869.891712642,133577.685839876,137613.880425013,132773.817540613,136659.503735175,136266.028091618,131994.420438526,130902.515469433,134319.375940162,133562.577469825,133080.643788017,131939.796424574,137331.461451459,136277.327407493,136606.752286648,136211.404077667,135746.38740801,135281.370738352,154594.296753726,156766.74345271,155533.692920165,155966.748130948,154548.9223773,153773.511442313,136043.786904964,135019.677831123,137308.926743034,156384.631048354,154701.800062855,155526.266581792,155765.424780597,155338.115112741,155627.960424668,230132.953089622,77601.2606737302,78075.1340573195,84750.0693144236,85599.7928777222,93869.5103814667,94583.0838711671,96153.8265419727,77005.6758326344,69975.1103489542,113814.723678244,114808.679935309,113074.970066709,113551.222128915,113976.659231347,89369.5864646696,113824.150428694,89111.7026116164,212918.804488403,212593.124740098,212169.560203091,212482.068070096,228986.679799883,64328.8984853567,213266.955021807,222479.341763317,77159.196861672,7704.5236120426,13173.2834379771,89366.8741633996,90775.0456025115,85027.6236872882,76086.6721098668,54467.3790168145,34049.4085076584,40523.4760764414,114129.104110674
"s-9",96965.8029430087,150188.490962726,150233.943919531,153171.19073716,140573.119114912,132114.936332758,142846.492576861,100909.666512394,106350.273933629,105634.99151927,112206.82778352,114356.867620732,121794.686459895,131256.124402913,130482.217150448,169551.190375689,156281.94690604,5376.16835562905,38125.0371138175,69799.0293859133,0,19815.0338215421,14987.5487412324,13116.3105933786,42108.9863636209,68653.2340801469,51989.6020880625,27837.9896751911,24780.5415408842,22362.2932482714,68281.3860483371,63989.1801755712,68025.3747607084,63185.311876308,67070.9980708703,66677.5224273136,62405.9147742211,61314.0098051286,64730.8702758571,63974.0718055201,63492.1381237125,62351.2907602693,67742.9557871539,66688.8217431883,67018.2466223432,66622.8984133625,66157.8817437051,65692.865074047,85005.7910894201,87178.2377884035,85945.1872558594,86378.2424666419,84960.4167129945,84185.0057780069,66455.2812406588,65431.1721668178,67720.4210787291,86796.1253840482,85113.2943985492,85937.7609174858,86176.9191162906,85749.6094484346,86039.4547603625,160544.447425314,8012.75500942396,8486.6283930133,15161.5636501177,16011.2872134164,24281.0047171611,24994.5782068616,26565.3208776672,7417.17016832812,421.691971581662,44226.2180139392,45220.174271004,43486.4644024041,43962.7164646105,44388.1535670424,19781.0808003639,44235.6447643893,19523.1969473106,143330.298824094,143004.61907579,142581.054538783,142893.562405788,159398.174135575,5470.13090055667,143678.449357498,152890.836099009,7570.69119736579,62094.5057738707,56625.7459479362,35717.0982326402,37125.2696717522,31377.8477565286,22436.8961791068,22059.7047727441,35749.6208782549,29275.5533094719,44540.5984463693
"s-5",116570.313042944,169793.001062663,169838.454019467,172775.700837096,160177.629214848,151719.446432693,162451.002676796,120514.176612329,125954.784033564,125239.501619205,131811.337883455,133961.377720667,141399.19655983,150860.634502848,150086.727250384,189155.700475625,175886.457005976,14589.7920056624,18460.9298320249,50134.9221041208,19815.0338215421,0,5023.25465771242,6845.55041121611,22444.8790818283,48989.1267983543,32325.4948062699,8173.88239339858,5116.43425909168,2698.18596647894,87885.8961482721,83593.6902755062,87629.8848606434,82789.821976243,86675.5081708053,86282.0325272486,82010.4248741561,80918.5199050636,84335.3803757921,83578.581905455,83096.6482236475,81955.8008602043,87347.4658870889,86293.3318431232,86622.7567222782,86227.4085132975,85762.3918436401,85297.3751739819,104610.301189355,106782.747888338,105549.697355794,105982.752566577,104564.926812929,103789.515877942,86059.7913405938,85035.6822667528,87324.9311786641,106400.635483983,104717.804498484,105542.271017421,105781.429216226,105354.11954837,105643.964860297,180148.95752525,27617.2651093594,28091.1384929487,34766.0737500532,35615.7973133518,43885.5148170966,44599.088306797,46169.8309776026,27021.6802682635,19991.1147845831,63830.7281138746,64824.6843709394,63090.9745023395,63567.2265645459,63992.6636669778,39385.5909002993,63840.1548643247,39127.7070472461,162934.80892403,162609.129175725,162185.564638719,162498.072505724,179002.684235511,14344.9029209854,163282.959457434,172495.346198945,27175.2012973012,42430.3984920781,36961.6386661437,39382.8785990293,40791.0500381413,35043.6281229177,26102.6765454959,4483.38345244325,16085.5135964623,9611.44602767941,64145.1085463047
"s-6",111742.827962634,164965.515982353,165010.968939157,167948.215756786,155350.144134538,146891.961352384,157623.517596487,115686.69153202,121127.298953255,120412.016538895,126983.852803146,129133.892640357,136571.71147952,146033.149422538,145259.242170074,184328.215395315,171058.971925666,9762.30692535266,23333.2579499877,55007.2502220837,14987.5487412324,5023.25465771242,0,2018.06533090642,27317.2071997912,53861.4549163172,37197.8229242328,13046.2105113614,9988.7623770545,7570.51408444175,83058.4110679625,78766.2051951966,82802.3997803339,77962.3368959334,81848.0230904958,81454.547446939,77182.9397938465,76091.0348247541,79507.8952954825,78751.0968251455,78269.1631433379,77128.3157798948,82519.9808067794,81465.8467628137,81795.2716419687,81399.9234329879,80934.9067633305,80469.8900936724,99782.8161090456,101955.262808029,100722.212275485,101155.267486267,99737.4417326199,98962.0307976323,81232.3062602843,80208.1971864432,82497.4460983546,101573.150403674,99890.3194181747,100714.785937111,100953.944135916,100526.63446806,100816.479779988,175321.47244494,22789.7800290496,23263.653412639,29938.5886697434,30788.312233042,39058.0297367868,39771.6032264873,41342.3458972929,22194.1951879538,15163.6297042734,59003.2430335648,59997.1992906297,58263.4894220298,58739.7414842362,59165.1785866681,34558.1058199896,59012.6697840149,34300.2219669363,158107.32384372,157781.644095416,157358.079558409,157670.587425414,174175.199155201,9517.41784067573,158455.474377124,167667.861118635,22347.7162169914,47302.726610041,41833.9667841065,34555.3935187196,35963.5649578316,30216.143042608,21275.1914651862,7267.92560891443,20957.8417144252,14483.7741456422,59317.6234659949
"s-7",109871.58981478,163094.277834499,163139.730791303,166076.977608932,153478.905986684,145020.72320453,155752.279448633,113815.453384166,119256.060805401,118540.778391042,125112.614655292,127262.654492504,134700.473331666,144161.911274685,143388.00402222,182456.977247461,169187.733777812,7891.06877749891,25155.5537034914,56829.5459755874,13116.3105933786,6845.55041121611,2018.06533090642,0,29139.5029532949,55683.7506698209,39020.1186777365,14868.5062648651,11811.0581305582,9392.80983794545,81187.1729201088,76894.9670473429,80931.1616324802,76091.0987480797,79976.784942642,79583.3092990853,75311.7016459928,74219.7966769004,77636.6571476288,76879.8586772918,76397.9249954842,75257.0776320411,80648.7426589257,79594.60861496,79924.0334941149,79528.6852851342,79063.6686154768,78598.6519458187,97911.5779611919,100084.024660175,98850.9741276311,99284.0293384136,97866.2035847662,97090.7926497786,79361.0681124305,78336.9590385895,80626.2079505009,99701.9122558199,98019.081270321,98843.5477892575,99082.7059880624,98655.3963202063,98945.2416321342,173450.234297086,20918.5418811959,21392.4152647852,28067.3505218897,28917.0740851883,37186.7915889331,37900.3650786335,39471.1077494392,20322.9570401,13292.3915564196,57132.0048857111,58125.9611427759,56392.251274176,56868.5033363824,57293.9404388143,32686.8676721358,57141.4316361612,32428.9838190826,156236.085695867,155910.405947562,155486.841410555,155799.34927756,172303.961007347,7646.17969282197,156584.236229271,165796.622970781,20476.4780691377,49125.0223635447,43656.2625376102,32684.1553708658,34092.3268099778,28344.9048947543,19403.9533173324,9090.22136241813,22780.1374679289,16306.0698991459,57446.3853181412
"s-3",138864.265585022,192086.953604741,192132.406561545,195069.653379174,182471.581756926,174013.398974772,184744.955218876,142808.129154408,148248.736575643,147533.454161283,154105.290425533,156255.330262745,163693.149101908,173154.587044927,172380.679792463,211449.653017703,198180.409548056,36883.7445477411,3983.94924980342,27690.0430222924,42108.9863636209,22444.8790818283,27317.2071997912,29139.5029532949,0,26544.247716526,9880.61572444156,14270.9966884297,17619.7205102237,19897.6196550987,110179.84869035,105887.642817584,109923.837402722,105083.774518321,108969.460712883,108575.985069327,104304.377416234,103212.472447142,106629.33291787,105872.534447533,105390.600765726,104249.753402282,109641.418429167,108587.284385201,108916.709264356,108521.361055376,108056.344385718,107591.32771606,126904.253731433,129076.700430417,127843.649897873,128276.705108655,126858.879355008,126083.46842002,108353.743882672,107329.634808831,109618.883720742,128694.588026061,127011.757040562,127836.223559499,128075.381758304,127648.072090448,127937.917402376,202442.910067329,49911.2176514381,50385.0910350275,57060.0262921319,57909.7498554305,66179.4673591753,66893.0408488757,68463.7835196813,49315.6328103423,42285.0673266619,86124.6806559527,87118.6369130175,85384.9270444177,85861.1791066241,86286.616209056,61679.5434423781,86134.1074064028,61421.6595893248,185228.761466109,184903.081717805,184479.517180798,184792.025047803,201296.63677759,36638.8554630642,185576.911999514,194789.298741024,49469.15383938,19985.5194102497,14516.7595843153,61676.8311411081,63085.0025802201,57337.5806649965,48396.6290875747,26777.335994522,6359.36548536595,12833.4330541489,86439.0610883828
"s-2",165408.513301548,218631.201321267,218676.654278071,221613.9010957,209015.829473452,200557.646691297,211289.202935402,169352.376870933,174792.984292168,174077.701877809,180649.538142059,182799.577979271,190237.396818434,199698.834761452,198924.927508988,237993.900734229,224724.657264582,63427.9922642671,30528.1969663294,3772.46547172388,68653.2340801469,48989.1267983543,53861.4549163172,55683.7506698209,26544.247716526,0,16733.8065659525,40815.2444049558,44163.9682267498,46441.8673716248,136724.096406875,132431.890534109,136468.085119247,131628.022234846,135513.708429409,135120.232785852,130848.625132759,129756.720163667,133173.580634395,132416.782164058,131934.848482251,130794.001118807,136185.666145692,135131.532101727,135460.956980882,135065.608771901,134600.592102243,134135.575432585,153448.501447959,155620.948146943,154387.897614399,154820.952825181,153403.127071534,152627.716136546,134897.991599197,133873.882525356,136163.131437267,155238.835742588,153556.004757089,154380.471276025,154619.62947483,154192.319806974,154482.165118902,228987.157783856,76455.4653679638,76929.3387515531,83604.2740086573,84453.9975719558,92723.7150757003,93437.2885654008,95008.0312362064,75859.880526868,68829.3150431878,112668.928372478,113662.884629543,111929.174760943,112405.426823149,112830.863925581,88223.7911589032,112678.355122928,87965.90730585,211773.009182636,211447.329434331,211023.764897324,211336.272764329,227840.884494116,63183.1031795903,212121.15971604,221333.54645755,76013.4015559056,6558.72830627617,12027.4881322106,88221.0788576332,89629.2502967452,83881.8283815218,74940.8768041004,53321.5837110481,32903.613201892,39377.6807706749,112983.308804908
"s-2a",148744.881309463,201967.569329183,202013.022285987,204950.269103616,192352.197481368,183894.014699213,194625.570943318,152688.744878849,158129.352300084,157414.069885725,163985.906149975,166135.945987187,173573.76482635,183035.202769368,182261.295516904,221330.268742144,208061.025272498,46764.3602721827,13864.564974245,17879.601871719,51989.6020880625,32325.4948062699,37197.8229242328,39020.1186777365,9880.61572444156,16733.8065659525,0,24151.6124128713,27500.3362346654,29778.2353795403,120060.464414791,115768.258542026,119804.453127163,114964.390242762,118850.076437325,118456.600793768,114184.993140675,113093.088171583,116509.948642311,115753.150171974,115271.216490167,114130.369126724,119522.034153608,118467.900109643,118797.324988798,118401.976779817,117936.960110159,117471.943440501,136784.869455875,138957.316154858,137724.265622314,138157.320833097,136739.495079449,135964.084144461,118234.359607113,117210.250533272,119499.499445184,138575.203750503,136892.372765004,137716.839283941,137955.997482745,137528.687814889,137818.533126817,212323.525791771,59791.8333758798,60265.7067594691,66940.6420165735,67790.3655798721,76060.0830836166,76773.656573317,78344.3992441226,59196.2485347839,52165.6830511035,96005.296380394,96999.2526374588,95265.542768859,95741.7948310654,96167.2319334972,71560.1591668195,96014.7231308441,71302.2753137663,195109.377190551,194783.697442247,194360.13290524,194672.640772245,211177.252502032,46519.4711875058,195457.527723955,204669.914465466,59349.7695638216,10175.0782596764,4706.31843374194,71557.4468655495,72965.6183046614,67218.1963894381,58277.2448120164,36657.9517189636,16239.9812098075,22714.0487785905,96319.6768128241
