"","Markiezaat-5","Markiezaat-7","Markiezaat-6","Markiezaat-3","Markiezaat-4","Markiezaat-1","s-12","s-11","ak-41","s-10a","ws-55","ws-18","ws-2C","ws-53","bpns-middelkerkebank","ws-42A","bpns-Nauticaena","Markiezaat-8","ws-W6","ws-16","ws-14","ws-12A","ws-6","ws-11","ws-4","ws-PVTSS","Markiezaat-2","ws-F42","ws-53A","bpns-G-88","ws-borssele","bpns-nieuwpoortbank","s-STD3","ws-DL7","ws-25A","ws-A1","ws-A3","ws-15A","ws-15","rel_markiezaat"
"bpns-Nauticaena",112998.505985459,117247.539000599,116528.919256445,110157.948959707,110682.102147369,103569.923270896,112367.066369832,112832.603126014,127142.898707126,127225.701421077,87998.4879923028,73596.2905013957,64561.0673141261,88046.9093720839,11023.4826040393,88695.2910380907,0,117613.180005415,46162.285203186,71906.5736680351,70558.2383347644,69351.2977395072,64750.88343192,63512.7121239676,64402.4819090264,63754.1002430191,107775.811037662,88843.7057989089,87898.4946112651,23096.9751467536,64323.5485964021,24701.9590155759,108536.672955732,50004.8725992988,71030.8439285859,66120.2788336049,67210.0353807392,65347.6930966702,64357.9299305737,113198.443932698
"Markiezaat-8",5341.76933182703,482.776238103524,3796.59785795771,7538.08257449589,7013.92938683425,14043.2567345185,27148.2490819446,27613.7858381266,41924.0814192376,42006.8841331895,29614.692013112,47494.6034900051,53962.9425447614,30477.1004868038,128388.254467599,30325.5351045088,117613.180005415,0,72361.7246557015,48604.7013257007,49456.2203752596,50249.147400757,52862.2965734945,54514.4814512066,53210.6980963881,53859.0797623954,10003.0720253288,30673.9366274024,30128.6989639096,102164.340386121,55701.0075356483,142315.13902099,23317.8556678441,73404.4973827583,49728.8392070057,52817.7445950423,52307.607045573,52845.1059064093,53255.2500748409,5458.95337995052
"ws-W6",67747.0506357452,71996.0836508857,71277.4639067321,64906.4936099936,65430.6467976552,58318.467921183,67115.6110201188,67581.1477763009,81891.4433574119,81974.2460713639,42747.0326425895,28344.8351516827,18398.7821109402,42795.4540223706,56937.3596653692,43443.8356883773,46162.285203186,72361.7246557015,0,26655.1183183221,25306.7829850514,24099.8423897942,19499.428082207,17847.2432044948,19151.0265593134,18502.6448933061,62524.3556879481,43592.2504491955,42647.0392615518,29802.61573042,18161.2633932163,70864.2442187616,63285.2176060185,6478.13014508764,25779.3885788729,20868.8234838919,21958.5800310262,20096.2377469572,19106.4745808607,67946.9885829846
"ws-16",43990.0273057445,48239.0603208849,47520.4405767314,41149.4702799929,41673.6234676545,34561.4445911823,43358.5876901181,43824.1244463002,58134.420027411,58217.222741363,18990.0093125888,1689.71683336057,9134.85045704051,19038.4306923699,82681.6481302185,19686.8123583767,71906.5736680351,48604.7013257007,26655.1183183221,0,1348.33533327072,2555.27592852789,7155.69023611507,8866.44273047134,7504.09175900868,8152.47342501601,38767.3323579473,19835.2271191948,18890.0159315511,56457.7340487417,11107.1859145028,96608.5326836109,39528.1942760176,27697.8910453789,1124.13788130505,5786.29483443018,4696.53828729585,6558.88057136491,7548.6437374614,44189.9652529837
"ws-14",44841.5463553034,49090.5793704439,48371.9596262903,42000.9893295518,42525.1425172135,35412.9636407413,44210.1067396771,44675.6434958591,58985.93907697,59068.7417909219,19841.5283621477,3038.05216663129,8079.35320698913,19889.9497419288,81333.3127969478,20538.3314079356,70558.2383347644,49456.2203752596,25306.7829850514,1348.33533327072,0,1206.94059525716,5807.35490284435,7810.94548041996,6155.75642573796,6804.13809174532,39618.8514075062,20686.7461687538,19741.53498111,55109.398715471,10051.6886644515,95260.1973503402,40379.7133255766,26349.5557121082,941.146526972614,4437.95950115946,3348.20295402513,5210.54523809419,6200.30840419068,45041.4843025427
"ws-12A",45634.4733808008,49883.5063959412,49164.8866517877,42793.9163550492,43318.0695427108,36205.8906662386,45003.0337651744,45468.5705213564,59778.8661024673,59861.6688164193,20634.4553876451,4244.99276188846,7165.25069495138,20682.8767674262,80126.3722016906,21331.258433433,69351.2977395072,50249.147400757,24099.8423897942,2555.27592852789,1206.94059525716,0,4600.41430758718,6896.84296838221,4948.81583048089,5714.33272977603,40411.7784330036,21479.6731942511,20534.4620066074,53902.4581202138,9137.58615241371,94053.256755083,41172.640351074,25142.615116851,1855.24903901037,3231.01890590229,2141.26235876796,4003.60464283703,4993.36780893352,45834.4113280401
"ws-6",48247.6225535382,52496.6555686787,51778.0358245251,45407.0655277866,45931.2187154483,38819.0398389761,47616.1829379118,48081.7196940939,62392.0152752047,62474.8179891567,23247.6045603826,8845.40706947564,2940.52599937147,23296.0259401636,75525.9578941034,23944.4076061704,64750.88343192,52862.2965734945,19499.428082207,7155.69023611507,5807.35490284435,4600.41430758718,0,2589.26674401434,641.239606113024,1406.75650540815,43024.9276057412,24092.8223669886,23147.6111793448,49302.0438126268,4830.00992804584,89452.8424474958,43785.7895238115,20542.2008092638,6279.96049666593,2306.47726798701,3337.66619847746,1241.05344783286,806.967071106144,48447.5605007776
"ws-11",49899.8074312504,54148.8404463909,53430.2207022373,47059.2504054988,47583.4035931605,40471.2247166883,49268.367815624,49733.904571806,64044.2001529169,64127.0028668689,24899.7894380947,10497.5919471879,1048.35519015824,24948.2108178758,74287.786586151,25596.5924838826,63512.7121239676,54514.4814512066,17847.2432044948,8866.44273047134,7810.94548041996,6896.84296838221,2589.26674401434,0,1948.02713790131,1182.51023860618,44677.1124834533,25745.0072447008,24799.796057057,47649.8589349147,2240.7431840315,88214.6711395433,45437.9744015236,18890.0159315516,8752.09200739258,4895.74401200135,5926.9329424918,3830.3201918472,2840.55702575068,50099.7453784897
"ws-4",48596.0240764319,52845.0570915723,52126.4373474188,45755.4670506803,46279.6202383419,39167.4413618697,47964.5844608055,48430.1212169875,62740.4167980983,62823.2195120503,23596.0060832762,9193.80859236925,2382.13792204586,23644.4274630573,75177.5563712098,24292.809129064,64402.4819090264,53210.6980963881,19151.0265593134,7504.09175900868,6155.75642573796,4948.81583048089,641.239606113024,1948.02713790131,0,765.516899295131,43373.3291286347,24441.2238898822,23496.0127022384,48953.6422897332,4188.77032193281,89104.4409246021,44134.1910467051,20193.7992863702,6804.06486949126,2947.71687410003,3978.90580459048,1882.29305394589,1306.78753178763,48795.9620236712
"ws-PVTSS",49244.4057424392,53493.4387575796,52774.8190134261,46403.8487166876,46928.0019043492,39815.8230278771,48612.9661268128,49078.5028829948,63388.7984641057,63471.6011780576,24244.3877492835,9842.19025837658,1948.02713790131,24292.8091290646,74529.1747052025,24941.1907950714,63754.1002430191,53859.0797623954,18502.6448933061,8152.47342501601,6804.13809174532,5714.33272977603,1406.75650540815,1182.51023860618,765.516899295131,0,44021.7107946421,25089.6055558895,24144.3943682458,48305.2606237259,3423.25342263768,88456.0592585948,44782.5727127124,19545.4176203629,7569.58176878639,3713.23377339516,4744.42270388561,2647.80995324102,1740.89831593218,49444.3436896785
"Markiezaat-2",5305.5464765845,9637.43102051302,8835.95974757183,2464.98945083289,2989.14263849453,4205.88776676507,17310.8801141912,17776.4168703732,32086.7124514842,32169.5151654362,19777.3230453586,37657.2345222518,44125.5735770081,20639.7315190504,118550.885499845,20488.1661367554,107775.811037662,10003.0720253288,62524.3556879481,38767.3323579473,39618.8514075062,40411.7784330036,43024.9276057412,44677.1124834533,43373.3291286347,44021.7107946421,0,20836.567659649,20291.3299961562,92326.9714183679,45863.638567895,132477.770053237,13480.4867000907,63567.1284150049,39891.4702392524,42980.375627289,42470.2380778197,43007.7369386561,43417.8811070876,5505.48442382395
"ws-F42",26059.2626074461,30308.2956225867,29589.675878433,23218.7055816945,23742.8587693561,16630.679892884,25427.8229918199,25893.3597480019,40203.6553291129,40286.4580430648,2840.55702575068,18725.1292834993,25193.4683382556,1323.90497661989,99618.7802610923,641.239606113024,88843.7057989089,30673.9366274024,43592.2504491955,19835.2271191948,20686.7461687538,21479.6731942511,24092.8223669886,25745.0072447008,24441.2238898822,25089.6055558895,20836.567659649,0,1882.29305394589,73394.8661796153,26931.5333291424,113545.664814484,21597.4295777194,44635.0231762523,20959.3650004999,24048.2703885364,23538.1328390671,24075.6316999035,24485.775868335,26259.2005546856
"ws-53A",25514.0249439532,29763.0579590938,29044.4382149401,22673.4679182016,23197.6211058633,16085.4422293911,24882.585328327,25348.122084509,39658.41766562,39741.2203795719,1041.11550059248,17779.9180958555,24248.2571506119,641.239606113682,98673.5690734485,1323.90497662055,87898.4946112651,30128.6989639096,42647.0392615518,18890.0159315511,19741.53498111,20534.4620066074,23147.6111793448,24799.796057057,23496.0127022384,24144.3943682458,20291.3299961562,1882.29305394589,0,72449.6549919715,25986.3221414987,112600.453626841,21052.1919142265,43689.8119886086,20014.1538128561,23103.0592008926,22592.9216514234,23130.4205122597,23540.5646806912,25713.9628911927
"bpns-G-88",97549.666366165,101798.699381306,101080.079637152,94709.1093404133,95233.262528075,88121.0836516028,96918.2267505388,97383.7635067209,111694.059087832,111776.861801784,72549.6483730092,58147.4508821022,48201.3978413598,72598.0697527903,30943.6687767426,73246.4514187971,23096.9751467536,102164.340386121,29802.61573042,56457.7340487417,55109.398715471,53902.4581202138,49302.0438126268,47649.8589349147,48953.6422897332,48305.2606237259,92326.9714183679,73394.8661796153,72449.6549919715,0,46639.0357004048,45339.0942632866,93087.8333364383,29836.27828474,55582.0043092927,50671.4392143117,51761.195761446,49898.853477377,48909.0903112805,97749.6043134044
"ws-borssele",51086.3335156921,55335.3665308325,54616.746786679,48245.7764899405,48769.9296776021,41657.7508011299,50454.8939000656,50920.4306562477,65230.7262373585,65313.5289513105,26086.3155225364,12386.9294313563,1972.33545746232,26134.7369023175,75098.6230585855,26783.1185683243,64323.5485964021,55701.0075356483,18161.2633932163,11107.1859145028,10051.6886644515,9137.58615241371,4830.00992804584,2240.7431840315,4188.77032193281,3423.25342263768,45863.638567895,26931.5333291424,25986.3221414987,46639.0357004048,0,89025.5076119778,46624.5004859652,17879.1926970417,10992.8351914241,7136.48719603284,8167.67612652329,6071.0633758787,5081.30020978217,51286.2714629313
"bpns-nieuwpoortbank",137700.465001034,141949.498016175,141230.878272021,134859.907975282,135384.061162944,128271.882286472,137069.025385408,137534.56214159,151844.857722701,151927.660436653,112700.447007878,98298.2495169715,89263.0263297015,112748.868387659,18026.6177184644,113397.250053666,24701.9590155759,142315.13902099,70864.2442187616,96608.5326836109,95260.1973503402,94053.256755083,89452.8424474958,88214.6711395433,89104.4409246021,88456.0592585948,132477.770053237,113545.664814484,112600.453626841,45339.0942632866,89025.5076119778,0,133238.631971308,74706.8316148743,95732.8029441619,90822.2378491808,91911.9943963151,90049.652112246,89059.8889461495,137900.402948275
"s-STD3",18703.1816478878,22952.2146630284,22233.5949188747,15862.6246221362,16386.7778097978,9274.59893332565,3830.39341410049,4295.93017028252,18606.2257513935,18689.0284653455,20538.184963429,38418.0964403221,44886.4354950784,21400.5934371208,119311.747417916,21249.0280548258,108536.672955732,23317.8556678441,63285.2176060185,39528.1942760176,40379.7133255766,41172.640351074,43785.7895238115,45437.9744015236,44134.1910467051,44782.5727127124,13480.4867000907,21597.4295777194,21052.1919142265,93087.8333364383,46624.5004859652,133238.631971308,0,64327.9903330751,40652.3321573227,43741.2375453592,43231.0999958899,43768.5988567263,44178.7430251578,18903.1195951273
"ws-DL7",68789.823362802,73038.8563779425,72320.2366337889,65949.2663370504,66473.419524712,59361.2406482398,68158.3837471756,68623.9205033577,82934.2160844687,83017.0187984207,43789.8053696463,29387.6078787395,19441.5548379968,43838.2267494274,60779.9470614819,44486.6084154341,50004.8725992988,73404.4973827583,6478.13014508764,27697.8910453789,26349.5557121082,25142.615116851,20542.2008092638,18890.0159315516,20193.7992863702,19545.4176203629,63567.1284150049,44635.0231762523,43689.8119886086,29836.27828474,17879.1926970417,74706.8316148743,64327.9903330751,0,26822.1613059297,21911.5962109487,23001.3527580831,21139.010474014,20149.2473079175,68989.7613100412
"ws-25A",45114.1651870495,49363.19820219,48644.5784580364,42273.6081612979,42797.7613489596,35685.5824724874,44482.7255714232,44948.2623276052,59258.5579087161,59341.360622668,20114.1471938938,2565.44657280974,9020.49973396175,20162.5685736749,81805.9183907693,20810.9502396817,71030.8439285859,49728.8392070057,25779.3885788729,1124.13788130505,941.146526972614,1855.24903901037,6279.96049666593,8752.09200739258,6804.06486949126,7569.58176878639,39891.4702392524,20959.3650004999,20014.1538128561,55582.0043092927,10992.8351914241,95732.8029441619,40652.3321573227,26822.1613059297,0,4910.56509498101,3820.80854784668,5683.15083191575,6672.91399801224,45314.1031342888
"ws-A1",48203.0705750861,52452.1035902265,51733.483846073,45362.5135493345,45886.6667369961,38774.4878605239,47571.6309594597,48037.1677156417,62347.4632967526,62430.2660107045,23203.0525819304,7476.01166779075,5164.15173857052,23251.4739617115,76895.3532957883,23899.8556277183,66120.2788336049,52817.7445950423,20868.8234838919,5786.29483443018,4437.95950115946,3231.01890590229,2306.47726798701,4895.74401200135,2947.71687410003,3713.23377339516,42980.375627289,24048.2703885364,23103.0592008926,50671.4392143117,7136.48719603284,90822.2378491808,43741.2375453592,21911.5962109487,4910.56509498101,0,1089.75654713433,1065.42382015414,2055.18698625067,48403.0085223254
"ws-A3",47692.9330256168,51941.9660407572,51223.3462966037,44852.3759998652,45376.5291875268,38264.3503110546,47061.4934099904,47527.0301661724,61837.3257472833,61920.1284612352,22692.9150324611,6386.25512065642,6195.34066906097,22741.3364122422,77985.1098429226,23389.718078249,67210.0353807392,52307.607045573,21958.5800310262,4696.53828729585,3348.20295402513,2141.26235876796,3337.66619847746,5926.9329424918,3978.90580459048,4744.42270388561,42470.2380778197,23538.1328390671,22592.9216514234,51761.195761446,8167.67612652329,91911.9943963151,43231.0999958899,23001.3527580831,3820.80854784668,1089.75654713433,0,2096.6127506446,3086.37591674112,47892.8709728561
"ws-15A",48230.4318864531,52479.4649015936,51760.84515744,45389.8748607015,45914.0280483632,38801.849171891,47598.9922708267,48064.5290270088,62374.8246081196,62457.6273220716,23230.4138932974,8248.59740472549,4098.72791841719,23278.8352730785,76122.7675588536,23927.2169390853,65347.6930966702,52845.1059064093,20096.2377469572,6558.88057136491,5210.54523809419,4003.60464283703,1241.05344783286,3830.3201918472,1882.29305394589,2647.80995324102,43007.7369386561,24075.6316999035,23130.4205122597,49898.853477377,6071.0633758787,90049.652112246,43768.5988567263,21139.010474014,5683.15083191575,1065.42382015414,2096.6127506446,0,989.763166096525,48430.3698336925
"ws-15",48640.5760548847,52889.6090700251,52170.9893258716,45800.019029133,46324.1722167947,39211.9933403225,48009.1364392582,48474.6731954403,62784.9687765511,62867.7714905031,23640.558061729,9238.36057082198,3688.92545383349,23688.9794415101,75133.0043927571,24337.3611075168,64357.9299305737,53255.2500748409,19106.4745808607,7548.6437374614,6200.30840419068,4993.36780893352,806.967071106144,2840.55702575068,1306.78753178763,1740.89831593218,43417.8811070876,24485.775868335,23540.5646806912,48909.0903112805,5081.30020978217,89059.8889461495,44178.7430251578,20149.2473079175,6672.91399801224,2055.18698625067,3086.37591674112,989.763166096525,0,48840.5140021241
"rel_markiezaat",282.789476027414,4976.17714184699,3471.89446917945,3040.49497299134,2764.89637169248,9628.52066180161,22733.5130092277,23199.0497654098,37509.3453465207,37592.1480604727,25199.9559403952,43079.8674172882,49548.2064720446,26062.364414087,123973.518394882,25910.799031792,113198.443932698,5458.95337995052,67946.9885829846,44189.9652529837,45041.4843025427,45834.4113280401,48447.5605007776,50099.7453784897,48795.9620236712,49444.3436896785,5505.48442382395,26259.2005546856,25713.9628911927,97749.6043134044,51286.2714629313,137900.402948275,18903.1195951273,68989.7613100412,45314.1031342888,48403.0085223254,47892.8709728561,48430.3698336925,48840.5140021241,0
