"","s-2","s-Wetteren","s-Wichelen","s-2a","s-3","s-Dendermonde","s-4b","s-4c","s-6","s-8","s-9","s-12","s-7","s-5","ak-41","s-Vlassenbroek","s-4a","s-9a","s-8a","s-11","s-4","s-10a","ak-45","ws-53A","ws-53","ws-42A","ws-18","ws-25B","ws-16","ws-14","ws-12A","ws-6","ws-4","ws-PVTSS","ws-DL9","ws-DL7","ws-55","ws-2C","ws-TRAWL","ws-F42","ws-HW6","ws-11","s-1","ws-OGDL","ws-OG10","ws-SP3","ws-25A","ws-25","ws-23","ws-A5","ws-PPC","ws-A3","ws-A1","ws-15A","ws-15","ws-W6","ak-47","ws-WN2","bpns-WENDUINEBANKW","bpns-Whitley","me-7-2","M-6","ws-13","ws-W7","bpns-W1","bpns-Trapegeer","du-Hamveer","bpns-WK12","ws-FZ2","bpns-S4","bpns-A1BIS","bpns-S7","bpns-O6","M-4","M-4A","M-3","M-2","M-1","M-5","s-Dendermonde2","bpns-KB2","bpns-middelkerkebank","bpns-nieuwpoortbank","PC4C-B08-1","ws-borssele","PC4C-C05-2","PC4C-C05-9","ws-GVWSP","bpns-Cpowerreefballs-CPOD","rel_schelde1","rel_dijle","rel_schelde2","rel_schelde3","rel_schelde4","rel_schelde5"
"ws-16",113004.059358309,106583.152703819,101576.002468168,98571.7123267772,91502.9302325814,87909.5364157688,82663.3274388251,80251.650646152,73432.456313137,65597.7932398076,60192.3553256323,42229.3579257294,71841.9225905857,78671.6459434884,53127.082904733,85075.0042314986,84659.1681864936,59780.0289539231,65597.7932398076,43227.2782995632,88498.6400911906,53127.082904733,46058.3008105378,18909.1653560455,18909.1653560455,19321.4917277547,1001.43004713021,997.92037383467,0,1413.7564188388,2415.18646596902,7657.88576961687,8070.21214132538,8070.21214132538,25977.9474502413,27391.7038690801,18496.838984337,9064.6228418633,26743.828429375,19733.8180994632,19733.8180994632,9480.45888686829,112414.955682887,24976.517403111,25388.8437748196,27980.8075445018,1001.43004713033,1001.43004713033,2002.86009426054,3416.61651309934,4005.72018852108,4418.04656022956,5831.80297906902,6244.12935077749,7657.88576961687,26920.6057330877,38996.5380629345,26331.5020576665,72338.0504505131,93544.3967330989,73664.4957078371,80910.0551057454,8482.53851303455,26508.2793613792,37347.2325760994,99965.3033875897,80265.6893393362,53016.5587227583,20322.9217748849,54960.647052735,62618.5328223524,45947.7766285633,71395.392167666,85563.6507339715,85563.6507339715,86565.0807811018,86565.0807811018,87978.8371999405,84149.8943151321,87909.5364157689,81056.6000424056,82529.1282255283,96725.4641782024,84119.1999372181,11476.2996345364,83530.0962617963,83530.0962617963,27156.1548010841,66388.2419320147,69426.736124616,85563.6507339715,86908.1063686386,98571.7123267772,83245.4117676551,113004.059358309
"ws-14",113593.16303373,107172.25637924,102165.10614359,99160.816002199,92092.0339080033,88498.6400911907,83252.4311142469,80840.7543215738,74021.5599885588,66186.8969152295,60781.4590010541,42818.4616011513,72431.0262660075,79260.7496189102,53716.1865801549,85664.1079069204,85248.2718619154,60369.132629345,66186.8969152295,43816.381974985,89087.7437666124,53716.1865801549,46647.4044859597,19498.2690314674,19498.2690314674,19910.5954031765,2415.18646596902,2411.6767926732,1413.7564188388,0,1001.43004713021,6244.12935077807,6656.45572248658,6656.45572248658,24564.1910314024,25977.9474502413,19085.9426597589,7650.8664230245,25330.0720105361,20322.921774885,20322.921774885,8066.70246802948,113004.059358309,23562.7609842722,23975.0873559807,26567.051125663,997.920373833738,997.920373833738,1413.75641883872,2002.86009426054,3416.61651309923,3004.29014139075,4418.04656023021,4830.37293193869,6244.12935077807,25506.8493142489,39585.6417383563,24917.7456388277,70924.2940316743,92130.6403142601,74253.599383259,81499.1587811673,7068.78209419575,25094.5229425404,35933.4761572606,98551.5469687509,80854.7930147581,51602.8023039195,20912.0254503067,53546.8906338962,61204.7764035136,44534.0202097245,69981.6357488272,86152.7544093934,86152.7544093934,87154.1844565236,87154.1844565236,88567.9408753623,84738.9979905539,88498.6400911907,79642.8436235668,81115.3718066895,95311.7077593636,82705.4435183793,10062.5432156976,82116.3398429575,82116.3398429575,25742.3983822453,64974.4855131759,70015.8398000379,86152.7544093934,87497.2100440604,99160.816002199,83834.5154430769,113593.16303373
"ws-12A",114594.593080861,108173.686426371,103166.53619072,100162.246049329,93093.4639551335,89500.0701383209,84253.8611613771,81842.184368704,75022.990035689,67188.3269623597,61782.8890481843,43819.8916482815,73432.4563131378,80262.1796660404,54717.6166272851,86665.5379540506,86249.7019090456,61370.5626764752,67188.3269623597,44817.8120221152,90089.1738137426,54717.6166272851,47648.8345330899,20499.6990785976,20499.6990785976,20912.0254503067,3416.61651309923,2827.51283767818,2415.18646596902,1001.43004713021,0,5242.69930364786,5655.02567535637,5655.02567535637,23562.7609842722,24976.517403111,20087.3727068891,7235.03037801952,24328.6419634059,21324.3518220152,21324.3518220152,7650.8664230245,114005.48940544,22561.330937142,22973.6573088505,25565.6210785327,1413.75641883872,1413.75641883872,997.920373833738,1001.43004713033,2415.18646596902,2002.86009426054,3416.6165131,3828.94288480848,5242.69930364786,24505.4192671187,40587.0717854866,23916.3155916975,69922.8639845441,91129.2102671299,75255.0294303892,82500.5888282975,6652.94604919076,24093.0928954102,34932.0461101304,97550.1169216207,81856.2230618883,50601.3722567893,21913.4554974369,52545.4605867659,60203.3463563834,43532.5901625943,68980.205701697,87154.1844565236,87154.1844565236,88155.6145036538,88155.6145036538,89569.3709224926,85740.4280376841,89500.0701383209,78641.4135764366,80113.9417595593,94310.2777122334,81704.0134712491,9646.70717069263,81114.9097958273,81114.9097958273,24740.9683351151,63973.0554660457,71017.2698471681,87154.1844565236,88498.6400911906,100162.246049329,84835.9454902071,114594.593080861
"ws-6",117363.334154255,110942.427499765,105935.277264114,102930.987122724,95862.2050285279,92268.8112117152,87022.6022347715,84610.9254420984,77791.7311090834,69957.068035754,64551.6301215787,46588.6327216758,76201.1973865321,83030.9207394348,57486.3577006794,89434.279027445,89018.44298244,64139.3037498695,69957.068035754,47586.5530955096,92857.914887137,57486.3577006794,50417.5756064842,23268.4401519919,23268.4401519919,23680.766523701,8659.31581674709,8070.21214132604,7657.88576961687,6244.12935077807,5242.69930364786,0,997.920373833738,997.920373833738,18320.0616806244,19733.8180994632,22856.1137802834,3409.59716650686,19085.9426597581,24093.0928954095,24093.0928954095,2993.76112150215,116774.230478834,17318.6316334942,17730.9580052027,20322.9217748849,6656.45572248658,6656.45572248658,5655.02567535637,4241.26925651756,4823.35358534632,3825.43321151258,2411.67679267312,1413.75641883938,0,19262.7199634708,43355.8128588809,18673.6162880496,64680.1646808962,85886.5109634821,78023.7705037835,85269.3299016918,1995.84074766841,18850.3935917624,29689.3468064826,92307.4176179729,84624.9641352826,45358.6729531414,24682.1965708313,47302.7612831181,54960.6470527356,38289.8908589465,63737.5063980492,89922.9255299179,89922.9255299179,90924.3555770482,90924.3555770482,92338.1119958869,88509.1691110785,92268.8112117153,73398.7142727888,74871.2424559114,89067.5784085855,76461.3141676012,4989.60186917055,75872.2104921795,75872.2104921795,19498.2690314672,58730.3561623978,73786.0109205624,89922.9255299179,91267.381164585,102930.987122724,87604.6865636015,117363.334154255
"ws-4",117775.660525964,111354.753871473,106347.603635823,103343.313494432,96274.5314002363,92681.1375834237,87434.92860648,85023.2518138069,78204.0574807919,70369.3944074625,64963.9564932872,47000.9590933843,76613.5237582406,83443.2471111432,57898.6840723879,89846.6053991534,89430.7693541485,64551.630121578,70369.3944074625,47998.8794672181,93270.2412588455,57898.6840723879,50829.9019781927,23680.7665237004,23680.7665237004,24093.0928954095,9071.64218845559,8482.53851303455,8070.21214132538,6656.45572248658,5655.02567535637,997.920373833738,0,0,17907.7353089159,19321.4917277547,23268.4401519919,2411.67679267312,18673.6162880496,24505.419267118,24505.419267118,1995.84074766841,117186.556850542,16906.3052617857,17318.6316334942,19910.5954031764,7068.78209419509,7068.78209419509,6652.9460491901,5239.1896303513,5821.27395918006,4823.35358534632,3409.59716650686,2411.67679267312,997.920373833738,18850.3935917624,43768.1392305894,18261.2899163412,64267.8383091878,85474.1845917736,78436.096875492,85681.6562734003,997.92037383467,18438.0672200539,29277.0204347741,91895.0912462644,85037.2905069911,44946.346581433,25094.5229425397,46890.4349114096,54548.3206810271,37877.564487238,63325.1800263407,90335.2519016264,90335.2519016264,91336.6819487566,91336.6819487566,92750.4383675954,88921.495482787,92681.1375834238,72986.3879010803,74458.916084203,88655.252036877,76048.9877958927,3991.68149533682,75459.8841204709,75459.8841204709,19085.9426597588,58318.0297906894,74198.3372922709,90335.2519016264,91679.7075362934,103343.313494432,88017.0129353099,117775.660525964
"ws-PVTSS",117775.660525964,111354.753871473,106347.603635823,103343.313494432,96274.5314002363,92681.1375834237,87434.92860648,85023.2518138069,78204.0574807919,70369.3944074625,64963.9564932872,47000.9590933843,76613.5237582406,83443.2471111432,57898.6840723879,89846.6053991534,89430.7693541485,64551.630121578,70369.3944074625,47998.8794672181,93270.2412588455,57898.6840723879,50829.9019781927,23680.7665237004,23680.7665237004,24093.0928954095,9071.64218845559,8482.53851303455,8070.21214132538,6656.45572248658,5655.02567535637,997.920373833738,0,0,17907.7353089159,19321.4917277547,23268.4401519919,2411.67679267312,18673.6162880496,24505.419267118,24505.419267118,1995.84074766841,117186.556850542,16906.3052617857,17318.6316334942,19910.5954031764,7068.78209419509,7068.78209419509,6652.9460491901,5239.1896303513,5821.27395918006,4823.35358534632,3409.59716650686,2411.67679267312,997.920373833738,18850.3935917624,43768.1392305894,18261.2899163412,64267.8383091878,85474.1845917736,78436.096875492,85681.6562734003,997.92037383467,18438.0672200539,29277.0204347741,91895.0912462644,85037.2905069911,44946.346581433,25094.5229425397,46890.4349114096,54548.3206810271,37877.564487238,63325.1800263407,90335.2519016264,90335.2519016264,91336.6819487566,91336.6819487566,92750.4383675954,88921.495482787,92681.1375834238,72986.3879010803,74458.916084203,88655.252036877,76048.9877958927,3991.68149533682,75459.8841204709,75459.8841204709,19085.9426597588,58318.0297906894,74198.3372922709,90335.2519016264,91679.7075362934,103343.313494432,88017.0129353099,117775.660525964
"ws-DL9",135683.395834879,129262.489180389,124255.338944739,121251.048803348,114182.266709152,110588.87289234,105342.663915396,102930.987122723,96111.7927897077,88277.1297163783,82871.691802203,64908.6944023002,94521.2590671564,101350.982420059,75806.4193813037,107754.340708069,107338.504663064,82459.3654304938,88277.1297163783,65906.6147761339,111177.976567761,75806.4193813037,68737.6372871085,41588.5018326162,41588.5018326162,42000.8282043254,26979.3774973715,26390.2738219504,25977.9474502413,24564.1910314024,23562.7609842722,18320.0616806244,17907.7353089159,17907.7353089159,0,1413.7564188388,41176.1754609078,18084.5126126284,3825.43321151258,42413.1545760338,42413.1545760338,17083.0825654982,135094.292159458,1001.43004713021,1413.75641883872,2002.86009426054,24976.517403111,24976.517403111,23975.0873559807,22561.3309371419,21972.2272617202,21559.9008900117,20146.1444711723,19733.8180994638,18320.0616806244,6237.11000418578,61675.8745395052,4823.35358534632,51308.0194607777,72514.3657433635,96343.8321844078,103589.391582316,17495.4089372067,7235.03037801952,16317.201586364,78935.2723978543,102945.025815907,27038.6112725171,43002.2582514556,33105.9633195825,41588.501832617,24917.7456388278,50365.3611779306,108242.987210542,108242.987210542,109244.417257672,109244.417257672,110658.173676511,106829.230791703,110588.87289234,60026.5690526702,61499.0972357929,75695.433188467,58141.2524869769,16258.4298220806,57552.1488115551,57552.1488115551,2827.51283767818,40410.2944817735,92106.0726011868,108242.987210542,109587.442845209,121251.048803348,105924.748244226,135683.395834879
"ws-DL7",137097.152253718,130676.245599228,125669.095363577,122664.805222187,115596.023127991,112002.629311178,106756.420334235,104344.743541561,97525.5492085465,89690.8861352171,84285.4482210418,66322.450821139,95935.0154859952,102764.738838898,77220.1758001425,109168.097126908,108752.261081903,83873.1218493326,89690.8861352171,67320.3711949727,112591.7329866,77220.1758001425,70151.3937059474,43002.258251455,43002.258251455,43414.5846231642,28393.1339162103,27804.0302407892,27391.7038690801,25977.9474502413,24976.517403111,19733.8180994632,19321.4917277547,19321.4917277547,1413.7564188388,0,42589.9318797466,19498.2690314672,4407.51754034153,43826.9109948726,43826.9109948726,18496.838984337,136508.048578297,2415.18646596902,2002.86009426054,1413.75641883872,26390.2738219498,26390.2738219498,25388.8437748196,23975.0873559808,23385.983680559,22973.6573088505,21559.9008900111,21147.5745183026,19733.8180994632,6819.19433301473,63089.630958344,5405.43791417526,50718.9157853558,71925.2620679417,97757.5886032466,105003.148001155,18909.1653560455,7817.11470684846,15728.0979109422,78346.1687224325,104358.782234746,26449.5075970953,44416.0146702944,32516.8596441607,40999.3981571952,24328.641963406,49776.2575025088,109656.743629381,109656.743629381,110658.173676511,110658.173676511,112071.93009535,108242.987210542,112002.629311178,59437.4653772484,60909.9935603711,75106.3295130451,56727.4960681381,17672.1862409194,56138.3923927163,56138.3923927163,3409.59716650686,38996.5380629347,93519.8290200256,109656.743629381,111001.199264048,122664.805222187,107338.504663065,137097.152253718
"ws-55",94507.2203739716,88086.3137194815,83079.1634838309,80074.8733424401,73006.0912482444,69412.6974314318,64166.4884544881,61754.8116618149,54935.6173287999,47100.9542554706,41695.5163412952,23732.5189413924,53345.0836062487,60174.8069591513,34630.243920396,66578.1652471615,66162.3292021565,41283.1899695861,47100.9542554706,24730.4393152261,70001.8011068535,34630.243920396,27561.4618262008,997.920373833738,997.920373833738,1995.84074766841,17495.4089372068,18909.1653560462,18496.838984337,19085.9426597589,20087.3727068891,22856.1137802834,23268.4401519919,23268.4401519919,41176.1754609078,42589.9318797466,0,23091.6628482793,41942.0564400416,2993.76112150215,2993.76112150215,24093.0928954095,93918.1166985505,40174.7454137775,40587.071785486,43179.0355551683,19498.2690314674,19498.2690314674,20499.6990785976,21088.8027540194,22502.5591728581,22090.2328011496,22679.3364765708,22267.0101048624,22856.1137802834,42118.8337437543,20499.6990785975,41529.7300683331,87536.2784611797,108742.624743766,55167.6567235001,62413.2161214084,23680.766523701,41706.5073720458,52545.460586766,115163.531398256,61768.8503549992,68214.7867334249,2411.67679267312,70158.8750634016,77816.760833019,61146.0046392299,86593.6201783326,67066.8117496345,67066.8117496345,68068.2417967647,68068.2417967647,69481.9982156035,65653.055330795,69412.6974314318,96254.8280530722,97727.3562361949,111923.692188869,99317.4279478846,24917.7456388272,98728.3242724628,98728.3242724628,42354.3828117507,81586.4699426812,50929.897140279,67066.8117496345,68411.2673843015,80074.8733424401,64748.572783318,94507.2203739716
"ws-2C",117598.883222251,111177.976567761,106170.82633211,103166.536190719,96097.7540965237,92504.3602797111,87258.1513027674,84846.4745100943,78027.2801770793,70192.6171037499,64787.1791895746,46824.1817896717,76436.746454528,83266.4698074306,57721.9067686753,89669.8280954408,89253.9920504359,64374.8528178654,70192.6171037499,47822.1021635055,93093.4639551329,57721.9067686753,50653.1246744801,23503.9892199878,23503.9892199878,23916.3155916969,9480.45888686829,10062.5432156977,9064.6228418633,7650.8664230245,7235.03037801952,3409.59716650686,2411.67679267312,2411.67679267312,18084.5126126284,19498.2690314672,23091.6628482793,0,18850.3935917622,24328.6419634054,24328.6419634054,1001.43004713021,117009.77954683,17083.0825654982,17495.4089372067,20087.372706889,8648.78679685824,8648.78679685824,8232.95075185326,6819.19433301473,7401.27866184375,6403.35828801002,4989.60186917055,3991.68149533682,3409.59716650686,19027.170895475,43591.3619268768,18438.0672200538,65269.2683563173,86475.6146389032,78259.3195717794,85504.8789696877,1413.75641883872,19439.4972671834,30278.4504819036,92896.5212933939,84860.5132032785,45123.1238851456,24917.7456388271,47067.2122151222,55549.7507281566,38878.9945343675,64326.6100734703,90158.4745979138,90158.4745979138,91159.904645044,91159.904645044,92573.6610638828,88744.7181790744,92504.3602797112,73987.8179482099,75460.3461313325,89656.6820840066,76225.7650996053,2411.67679267312,75636.6614241835,75636.6614241835,19262.7199634714,58494.8070944019,74021.5599885583,90158.4745979138,91502.9302325808,103166.536190719,87840.2356315973,117598.883222251
"ws-TRAWL",136449.276814013,130028.370159523,125021.219923872,122016.929782482,114948.147688286,111354.753871473,106108.54489453,103696.868101856,96877.6737688415,89043.0106955121,83637.5727813368,65674.575381434,95287.1400462902,102116.863399193,76572.3003604375,108520.221687203,108104.385642198,83225.2464096276,89043.0106955121,66672.4957552677,111943.857546895,76572.3003604375,69503.5182662423,42354.38281175,42354.38281175,42766.7091834592,27745.2584765052,27156.1548010841,26743.828429375,25330.0720105361,24328.6419634059,19085.9426597581,18673.6162880496,18673.6162880496,3825.43321151258,4407.51754034153,41942.0564400416,18850.3935917622,0,43179.0355551676,43179.0355551676,17848.963544632,135860.173138592,4241.26925651756,5239.1896303513,2993.76112150308,25742.3983822446,25742.3983822446,24740.9683351144,23327.2119162756,22738.1082408539,22325.7818691454,20912.0254503059,20499.6990785975,19085.9426597581,2411.6767926732,62441.755518639,997.920373833738,48068.1802513904,69274.5265339762,97109.7131635416,104355.27256145,18261.2899163405,3409.59716650694,13077.3623769766,75695.433188467,103710.906795041,26272.7302933833,43768.1392305894,29866.1241101952,38348.6626232297,21677.9064294405,47125.5219685433,109008.868189676,109008.868189676,110010.298236806,110010.298236806,111424.054655645,107595.111770837,111354.753871473,56786.7298432829,58259.2580264056,72455.5939790796,57375.3715078431,17024.3108012144,56786.2678324214,56786.2678324214,997.92037383467,39644.4135026398,92871.9535803206,109008.868189676,110353.323824343,122016.929782482,106690.62922336,136449.276814013
"ws-F42",95744.1994890978,89323.2928346077,84316.1425989571,81311.8524575663,74243.0703633706,70649.676546558,65403.4675696143,62991.7907769411,56172.5964439261,48337.9333705968,42932.4954564214,24969.4980565186,54582.0627213748,61411.7860742775,35867.2230355222,67815.1443622877,67399.3083172827,42520.1690847123,48337.9333705968,25967.4184303523,71238.7802219797,35867.2230355222,28798.440941327,1995.84074766841,1995.84074766841,997.920373833738,18732.388052333,20146.1444711724,19733.8180994632,20322.921774885,21324.3518220152,24093.0928954095,24505.419267118,24505.419267118,42413.1545760338,43826.9109948726,2993.76112150215,24328.6419634054,43179.0355551676,0,0,25330.0720105356,95155.0958136766,41411.7245289036,41824.0509006121,44416.0146702944,20735.2481465935,20735.2481465935,21736.6781937237,22325.7818691455,23739.5382879842,23327.2119162757,23916.3155916969,23503.9892199884,24093.0928954095,43355.8128588804,21736.6781937236,42766.7091834592,88773.2575763058,109979.603858892,56404.6358386263,63650.1952365345,24917.7456388271,42943.4864871719,53782.4397018921,116400.510513382,63005.8294701254,69451.765848551,1413.75641883872,71395.8541785276,79053.7399481451,62382.983754356,87830.5992934587,68303.7908647607,68303.7908647607,69305.2209118909,69305.2209118909,70718.9773307296,66890.0344459212,70649.676546558,97491.8071681983,98964.335351321,113160.671303995,100554.407063011,26154.7247539533,99965.3033875889,99965.3033875889,43591.3619268768,82823.4490578073,52166.8762554052,68303.7908647607,69648.2464994277,81311.8524575663,65985.5518984442,95744.1994890978
"ws-HW6",95744.1994890978,89323.2928346077,84316.1425989571,81311.8524575663,74243.0703633706,70649.676546558,65403.4675696143,62991.7907769411,56172.5964439261,48337.9333705968,42932.4954564214,24969.4980565186,54582.0627213748,61411.7860742775,35867.2230355222,67815.1443622877,67399.3083172827,42520.1690847123,48337.9333705968,25967.4184303523,71238.7802219797,35867.2230355222,28798.440941327,1995.84074766841,1995.84074766841,997.920373833738,18732.388052333,20146.1444711724,19733.8180994632,20322.921774885,21324.3518220152,24093.0928954095,24505.419267118,24505.419267118,42413.1545760338,43826.9109948726,2993.76112150215,24328.6419634054,43179.0355551676,0,0,25330.0720105356,95155.0958136766,41411.7245289036,41824.0509006121,44416.0146702944,20735.2481465935,20735.2481465935,21736.6781937237,22325.7818691455,23739.5382879842,23327.2119162757,23916.3155916969,23503.9892199884,24093.0928954095,43355.8128588804,21736.6781937236,42766.7091834592,88773.2575763058,109979.603858892,56404.6358386263,63650.1952365345,24917.7456388271,42943.4864871719,53782.4397018921,116400.510513382,63005.8294701254,69451.765848551,1413.75641883872,71395.8541785276,79053.7399481451,62382.983754356,87830.5992934587,68303.7908647607,68303.7908647607,69305.2209118909,69305.2209118909,70718.9773307296,66890.0344459212,70649.676546558,97491.8071681983,98964.335351321,113160.671303995,100554.407063011,26154.7247539533,99965.3033875889,99965.3033875889,43591.3619268768,82823.4490578073,52166.8762554052,68303.7908647607,69648.2464994277,81311.8524575663,65985.5518984442,95744.1994890978
"ws-11",118600.313269381,112179.406614891,107172.25637924,104167.96623785,97099.1841436539,93505.7903268413,88259.5813498976,85847.9045572245,79028.7102242095,71194.0471508801,65788.6092367048,47825.6118368019,77438.1765016582,84267.8998545608,58723.3368158055,90671.2581425711,90255.4220975661,65376.2828649956,71194.0471508801,48823.5322106357,94094.8940022631,58723.3368158055,51654.5547216103,24505.419267118,24505.419267118,24917.7456388271,9896.29493187327,10478.3792607027,9480.45888686829,8066.70246802948,7650.8664230245,2993.76112150215,1995.84074766841,1995.84074766841,17083.0825654982,18496.838984337,24093.0928954095,1001.43004713021,17848.963544632,25330.0720105356,25330.0720105356,0,118011.20959396,16081.652518368,16493.9788900765,19085.9426597588,9064.62284186322,9064.62284186322,8648.78679685824,7235.03037801943,7817.11470684846,6819.19433301473,5405.43791417526,4407.51754034153,2993.76112150215,18025.7408483448,44592.791974007,17436.6371729236,64267.8383091871,85474.184591773,79260.7496189096,86506.3090168179,997.920373833738,18438.0672200532,29277.0204347734,91895.0912462637,85861.9432504087,44121.6938380154,25919.1756859573,46065.782167992,54548.3206810264,37877.5644872373,63325.1800263401,91159.904645044,91159.904645044,92161.3346921742,92161.3346921742,93575.091111013,89746.1482262046,93505.7903268414,72986.3879010797,74458.9160842023,88655.2520368764,75224.3350524751,1995.84074766841,74635.2313770533,74635.2313770533,18261.2899163412,57493.3770472717,75022.9900356885,91159.904645044,92504.3602797111,104167.96623785,88841.6656787276,118600.313269381
"s-1",1413.75641883946,5831.80297906894,11663.6059581378,14667.8960995286,21497.6194524313,25330.0720105356,32340.0823404481,32163.3050367355,38982.4993697505,46817.1624430799,52222.6003572552,70185.5977571581,40573.0330923018,34574.9818294087,59873.4667802797,29335.7921990567,30337.2222461869,53220.5207310899,46817.1624430799,69773.2713854496,23916.3155916969,59873.4667802797,66942.2488744749,94330.443070259,94330.443070259,94742.7694419681,111413.525635757,112827.282054597,112414.955682887,113004.059358309,114005.48940544,116774.230478834,117186.556850542,117186.556850542,135094.292159458,136508.048578297,93918.1166985505,117009.77954683,135860.173138592,95155.0958136766,95155.0958136766,118011.20959396,0,134092.862112328,134505.188484036,137097.152253719,113416.385730018,113416.385730018,114417.815777148,115006.91945257,116420.675871409,116008.3494997,116597.453175121,116185.126803413,116774.230478834,136036.950442305,75175.1996263287,135447.846766884,181454.39515973,202660.741442316,50646.1053278884,57891.6647257966,117598.883222251,135624.624070596,146463.577285316,209081.648096807,38403.9247142171,162132.903431975,93741.3393948379,164076.991761952,171734.877531569,155064.12133778,180511.736876883,62545.2603540228,62545.2603540228,63546.690401153,63546.690401153,64960.4468199917,61131.5039351833,25330.0720105356,190172.944751623,191645.472934745,205841.80888742,193235.544646435,118835.862337378,192646.440971013,192646.440971013,136272.499510301,175504.586641232,42988.2195582715,62545.2603540228,26331.5020576659,14667.8960995286,30926.3259216087,1413.75641883946
"ws-OGDL",134681.965787749,128261.059133259,123253.908897608,120249.618756218,113180.836662022,109587.442845209,104341.233868266,101929.557075592,95110.3627425775,87275.6996692481,81870.2617550728,63907.26435517,93519.8290200262,100349.552372929,74804.9893341735,106752.910660939,106337.074615934,81457.9353833636,87275.6996692481,64905.1847290037,110176.546520631,74804.9893341735,67736.2072399784,40587.071785486,40587.071785486,40999.3981571952,25977.9474502413,25388.8437748202,24976.517403111,23562.7609842722,22561.330937142,17318.6316334942,16906.3052617857,16906.3052617857,1001.43004713021,2415.18646596902,40174.7454137775,17083.0825654982,4241.26925651756,41411.7245289036,41411.7245289036,16081.652518368,134092.862112328,0,997.920373833738,3004.29014139075,23975.0873559807,23975.0873559807,22973.6573088505,21559.9008900117,20970.79721459,20558.4708428815,19144.7144240421,18732.3880523335,17318.6316334942,6652.94604919076,60674.444492375,5239.1896303513,52309.4495079079,73515.7957904937,95342.4021372776,102587.961535186,16493.9788900765,7650.8664230245,17318.6316334942,79936.7024449845,101943.595768777,28040.0413196473,42000.8282043254,34107.3933667127,42589.9318797472,25919.175685958,51366.7912250608,107241.557163412,107241.557163412,108242.987210542,108242.987210542,109656.743629381,105827.800744573,109587.442845209,61027.9990998004,62500.5272829231,76696.8632355972,59142.6825341071,15256.9997749504,58553.5788586853,58553.5788586853,3828.9428848084,41411.7245289037,91104.6425540565,107241.557163412,108586.012798079,120249.618756218,104923.318197096,134681.965787749
"ws-OG10",135094.292159458,128673.385504968,123666.235269317,120661.945127926,113593.16303373,109999.769216918,104753.560239974,102341.883447301,95522.6891142859,87688.0260409566,82282.5881267812,64319.5907268784,93932.1553917346,100761.878744637,75217.315705882,107165.237032648,106749.400987643,81870.2617550721,87688.0260409566,65317.5111007122,110588.87289234,75217.315705882,68148.5336116868,40999.3981571945,40999.3981571945,41411.7245289036,26390.2738219498,25801.1701465287,25388.8437748196,23975.0873559807,22973.6573088505,17730.9580052027,17318.6316334942,17318.6316334942,1413.75641883872,2002.86009426054,40587.071785486,17495.4089372067,5239.1896303513,41824.0509006121,41824.0509006121,16493.9788900765,134505.188484036,997.920373833738,0,3416.61651309923,24387.4137276893,24387.4137276893,23385.983680559,21972.2272617202,21383.1235862985,20970.79721459,19557.0407957506,19144.7144240421,17730.9580052027,7650.8664230245,61086.7708640835,6237.11000418504,52721.7758796164,73928.1221622022,95754.7285089861,103000.287906894,16906.305261785,8648.78679685824,17730.9580052027,80349.028816693,102355.922140485,28452.3676913558,42413.1545760338,34519.7197384212,43002.2582514557,26331.5020576665,51779.1175967693,107653.883535121,107653.883535121,108655.313582251,108655.313582251,110069.070001089,106240.127116281,109999.769216918,61440.3254715089,62912.8536546316,77109.1896073057,58730.3561623986,15669.3261466589,58141.2524869768,58141.2524869768,4241.2692565169,40999.3981571952,91516.968925765,107653.883535121,108998.339169788,120661.945127926,105335.644568804,135094.292159458
"ws-SP3",137686.25592914,131265.34927465,126258.199038999,123253.908897608,116185.126803413,112591.7329866,107345.524009656,104933.847216983,98114.6528839682,90279.9898106389,84874.5518964635,66911.5544965607,96524.1191614169,103353.84251432,77809.2794755643,109757.20080233,109341.364757325,84462.2255247544,90279.9898106389,67909.4748703944,113180.836662022,77809.2794755643,70740.4973813691,43591.3619268768,43591.3619268768,44003.6882985859,28982.237591632,28393.1339162109,27980.8075445018,26567.051125663,25565.6210785327,20322.9217748849,19910.5954031764,19910.5954031764,2002.86009426054,1413.75641883872,43179.0355551683,20087.372706889,2993.76112150308,44416.0146702944,44416.0146702944,19085.9426597588,137097.152253719,3004.29014139075,3416.61651309923,0,26979.3774973715,26979.3774973715,25977.9474502413,24564.1910314024,23975.0873559807,23562.7609842722,22149.0045654328,21736.6781937243,20322.9217748849,5405.43791417628,63678.7346337658,3991.68149533682,49305.1593665171,70511.505649103,98346.6922786684,105592.251676577,19498.2690314672,6403.35828801002,14314.3414921035,76932.4123035938,104947.885910167,25035.7511782566,45005.1183457161,31103.103225322,39585.6417383565,22914.8855445673,48362.5010836701,110245.847304803,110245.847304803,111247.277351933,111247.277351933,112661.033770772,108832.090885963,112591.7329866,58023.7089584097,59496.2371415324,73692.5730942064,56138.3923927163,18261.2899163412,55549.2887172946,55549.2887172946,1995.84074766841,38407.434387513,94108.9326954473,110245.847304803,111590.30293947,123253.908897608,107927.608338486,137686.25592914
