"","ak-41","ak-42","ak-44","ak-45","ak-47","ak-x","bh-37","bpns-A1BIS","bpns-G-88","bpns-Nautica Ena","bpns-nieuwpoortbank","bpns-NIEUWPOORTKUST8","bpns-O6","bpns-Trapegeer","bpns-W1","bpns-WENDUINEBANKW","bpns-Whitley","bpns-WK14","bpns-WZ","bpns-zbe1","bpns-zbe2","bpns-zbe3","bpns-zbw1","bpns-zbw2","bpns-zbw3","bpns-ZW1","M-6","me-7-2","me-7-2b","Rt1","Rt2","Rt3","Rt4","Rt5","Rt6","Rt7","Rt8","s-10a","s-11","s-12","s-3","s-4","s-4a","s-4b","s-4c","s-5","s-6","s-6","s-7","s-8","s-8a","s-9","s-9a","s-Dendermonde","s-Dendermonde","s-Vlassenbroek","ws-11","ws-12A","ws-13","ws-14","ws-15","ws-15A","ws-16","ws-18","ws-23","ws-25","ws-25A","ws-25B","ws-2C","ws-4","ws-42A","ws-53","ws-53A","ws-55","ws-6","ws-A1","ws-A3","ws-A5","ws-borssele","ws-DL12","ws-DL7","ws-DL9","ws-F42","ws-F42","ws-GVWSP","ws-HW6","ws-OG10","ws-OGDL","ws-PPB","ws-PPC","ws-PPC","ws-PVTSS","ws-SP3","ws-STD3","ws-STEEN","ws-TRAWL","ws-W6","ws-W7","ws-WN2"
"bpns-nieuwpoortbank",142245.910526783,141822.345989778,135077.236158822,134422.81475748,126583.471729975,198226.864952062,89663.3143935314,30358.6925710756,43953.4791142609,20786.1340347519,0,0,19706.2738122265,9194.31910946661,53222.68801958,19599.0250115171,2620.48243315845,49278.8244502043,43838.217028987,44805.8934467734,45637.978074059,46325.108083718,43612.3585581334,42934.6552989242,42281.4232368914,44216.6482258167,172230.545045584,165059.820999274,161697.648465832,196409.806653548,196349.564943322,196204.610325696,196094.742995003,196010.030087602,195925.317180201,195815.449849508,195391.885312503,142617.799764972,131226.690606003,130477.584735871,192086.953604238,188103.004354445,177815.956915842,174758.508781542,172340.260488933,169793.00106221,164965.515981911,164905.274271686,163094.277834062,155303.826749751,155448.098141262,150188.490962319,149801.886277673,185727.588118888,186452.361207022,179253.520550119,82298.6440689695,88108.064166593,82163.1162017923,89352.4140150088,83117.4928916296,84049.3348730416,90621.2350605996,92300.4487618957,88247.3371646196,89297.7900010582,89779.7236828641,91409.9949898095,83326.4982736574,83170.2443401551,107470.06042291,106779.185282401,106715.198441325,106702.026560025,83499.669219309,84838.0948022515,85939.3625984659,87040.6303946795,83047.8244309545,70468.4784629997,68785.4557075297,69480.1399022127,107654.530684437,107835.255815115,67383.0432835106,107611.205986362,71402.1930098371,71093.4941970077,86718.6957772261,87742.8048510636,86718.6957772261,82468.0698837711,68041.8930418195,126911.859157167,65075.1965640038,66942.5617343543,64892.5349445772,64585.7086971731,65959.9047931661
"bpns-NIEUWPOORTKUST8",142245.910526783,141822.345989778,135077.236158822,134422.81475748,126583.471729975,198226.864952062,89663.3143935314,30358.6925710756,43953.4791142609,20786.1340347519,0,0,19706.2738122265,9194.31910946661,53222.68801958,19599.0250115171,2620.48243315845,49278.8244502043,43838.217028987,44805.8934467734,45637.978074059,46325.108083718,43612.3585581334,42934.6552989242,42281.4232368914,44216.6482258167,172230.545045584,165059.820999274,161697.648465832,196409.806653548,196349.564943322,196204.610325696,196094.742995003,196010.030087602,195925.317180201,195815.449849508,195391.885312503,142617.799764972,131226.690606003,130477.584735871,192086.953604238,188103.004354445,177815.956915842,174758.508781542,172340.260488933,169793.00106221,164965.515981911,164905.274271686,163094.277834062,155303.826749751,155448.098141262,150188.490962319,149801.886277673,185727.588118888,186452.361207022,179253.520550119,82298.6440689695,88108.064166593,82163.1162017923,89352.4140150088,83117.4928916296,84049.3348730416,90621.2350605996,92300.4487618957,88247.3371646196,89297.7900010582,89779.7236828641,91409.9949898095,83326.4982736574,83170.2443401551,107470.06042291,106779.185282401,106715.198441325,106702.026560025,83499.669219309,84838.0948022515,85939.3625984659,87040.6303946795,83047.8244309545,70468.4784629997,68785.4557075297,69480.1399022127,107654.530684437,107835.255815115,67383.0432835106,107611.205986362,71402.1930098371,71093.4941970077,86718.6957772261,87742.8048510636,86718.6957772261,82468.0698837711,68041.8930418195,126911.859157167,65075.1965640038,66942.5617343543,64892.5349445772,64585.7086971731,65959.9047931661
"bpns-O6",122539.636714557,122116.072177551,115370.962346595,114716.540945253,106877.197917749,178520.591139835,69957.0405813043,14827.8059040134,28422.5924471866,8324.08700926467,19706.2738122265,19706.2738122265,0,28900.592921693,33516.4142073532,6533.27182702907,22326.7562453849,29572.5506379776,24131.9432167604,25099.6196345468,25931.7042618324,26618.8342714914,23906.0847459068,23228.3814866977,22575.1494246649,24510.3744135901,152524.271233358,145353.547187049,141991.374653606,176703.532841322,176643.291131096,176498.33651347,176388.469182777,176303.756275376,176219.043367975,176109.176037282,175685.611500277,122911.525952746,111520.416793776,110771.310923644,172380.679792012,168396.730542219,158109.683103616,155052.234969316,152633.986676707,150086.727249984,145259.242169686,145199.00045946,143388.004021837,135597.552937525,135741.824329036,130482.217150094,130095.612465447,166021.314306662,166746.087394796,159547.246737893,62592.3702567426,68401.7903543661,62456.8423895654,69646.1402027819,63411.2190794027,64343.0610608147,70914.9612483727,72594.1749496689,68541.0633523927,69591.5161888313,70073.4498706373,71703.7211775826,63620.2244614305,63463.9705279282,87763.7866106832,87072.9114701741,87008.9246290984,86995.7527477976,63793.3954070822,65131.8209900246,66233.088786239,67334.3565824526,63341.5506187276,50762.2046507728,49079.1818953028,49773.8660899858,87948.2568722106,88128.9820028878,47676.7694712838,87904.9321741353,51695.9191976102,51387.2203847809,67012.4219649992,68036.5310388367,67012.4219649992,62761.7960715442,48335.6192295926,107205.58534494,45368.9227517769,47236.2879221274,45186.2611323504,44879.4348849462,46253.6309809392
"bpns-Trapegeer",151440.22963625,151016.665099245,144271.555268289,143617.133866947,135777.790839442,207421.184061529,98857.6335029985,37588.1236122348,49568.8949564544,28015.5650759108,9194.31910946661,9194.31910946661,28900.592921693,0,62417.0071290467,28126.6856692361,6573.83667630816,58473.143559671,53032.5361384536,54000.2125562401,54832.2971835257,55519.4271931847,52806.6776676001,52128.9744083909,51475.7423463581,53410.9673352834,181424.864155051,174254.140108741,170891.967575298,205604.125763015,205543.884052789,205398.929435162,205289.062104469,205204.349197068,205119.636289668,205009.768958974,204586.204421969,151812.118874439,140421.009715469,139671.903845337,201281.272713705,197297.323463911,187010.276025309,183952.827891008,181534.5795984,178987.320171676,174159.835091378,174099.593381152,172288.596943529,164498.145859217,164642.417250728,159382.810071785,158996.205387139,194921.907228355,195646.680316489,188447.839659585,91492.9631784362,97302.3832760597,91357.435311259,98546.7331244755,92311.8120010963,93243.6539825083,99815.5541700663,101494.767871362,97441.6562740863,98492.1091105249,98974.0427923308,100604.314099276,92520.8173831241,92364.5634496218,116664.379532377,115973.504391868,115909.517550792,115896.345669491,92693.9883287757,94032.4139117182,95133.6817079325,96234.9495041461,92242.1435404212,79662.7975724664,77979.7748169964,78674.4590116794,116848.849793904,117029.574924581,76577.3623929773,116805.525095829,80596.5121193037,80287.8133064744,95913.0148866927,96937.1239605303,95913.0148866927,91662.3889932378,77236.2121512861,136106.178266633,74269.5156734705,76136.8808438209,74086.8540540439,73780.0278066397,75154.2239026328
"bpns-W1",89023.2225072037,88599.6579701984,81854.548139242,81200.1267378999,73360.7837103954,145004.176932484,36440.626373952,24828.8835168119,19226.2766191698,34401.4420531354,53222.68801958,53222.68801958,33516.4142073532,62417.0071290467,0,34290.3214598102,55843.1704527384,3943.8635693757,9384.47099059291,8416.79457280647,7682.59473422248,7044.4071189149,9610.32946144649,10288.0327206556,10941.2647826884,10431.6208860496,119007.857026006,111837.132979696,108474.960446253,143187.118633971,143126.876923745,142981.922306118,142872.054975425,142787.342068024,142702.629160624,142592.76182993,142169.197292925,89395.1117453929,78004.0025864223,77254.896716291,138864.26558466,134880.316334867,124593.268896264,121535.820761964,119117.572469355,116570.313042632,111742.827962333,111682.586252108,109871.589814484,102081.138730172,102225.410121683,96965.8029427402,96579.198258094,132504.90009931,133229.673187444,126030.832530541,29075.9560493894,34885.3761470129,28940.4281822122,36129.7259954287,29894.8048720495,30826.6468534615,37398.5470410195,39077.7607423157,35024.6491450395,36075.1019814781,36557.035663284,38187.3069702294,30103.8102540773,29947.556320575,54247.3724033301,53556.4972628211,53492.5104217453,53479.3385404446,30276.981199729,31615.4067826714,32716.6745788858,33817.9423750994,29825.1364113744,17245.7904434197,15562.7676879501,16257.4518826328,54431.8426648575,54612.5677955347,14160.3552639304,54388.5179667822,18179.5049902572,17870.8061774275,33496.007757646,34520.1168314835,33496.007757646,29245.381864191,14819.2050222395,73689.1711375864,11852.5085444241,13719.873714774,11669.846924997,11363.0206775931,12737.2167735858
"bpns-WENDUINEBANKW",123313.543967014,122889.979430008,116144.869599052,115490.44819771,107651.105170205,179294.498392292,70730.9478337612,10759.6675595587,24354.4541027437,1790.81518223559,19599.0250115171,19599.0250115171,6533.27182702907,28126.6856692361,34290.3214598102,0,21552.8489929286,30346.4578904345,24905.8504692173,25873.5268870038,26705.6115142893,27392.7415239483,24679.9919983638,24002.2887391546,23349.0566771218,25284.281666047,153298.178485816,146127.454439506,142765.281906063,177477.44009378,177417.198383554,177272.243765927,177162.376435234,177077.663527833,176992.950620432,176883.083289739,176459.518752734,123685.433205203,112294.324046232,111545.218176101,173154.587044469,169170.637794676,158883.590356074,155826.142221773,153407.893929165,150860.634502441,146033.149422143,145972.907711917,144161.911274294,136371.460189982,136515.731581493,131256.12440255,130869.519717904,166795.221559119,167519.994647254,160321.15399035,63366.2775091994,69175.6976068229,63230.7496420222,70420.0474552387,64185.1263318595,65116.9683132715,71688.8685008295,73368.0822021256,69314.9706048495,70365.4234412881,70847.357123094,72477.6284300394,64394.1317138873,64237.877780385,88537.69386314,87846.8187226309,87782.8318815552,87769.6600002544,64567.3026595389,65905.7282424814,67006.9960386958,68108.2638349094,64115.4578711844,51536.1119032296,49853.0891477596,50547.7733424426,88722.1641246673,88902.8892553446,48450.6767237405,88678.8394265921,52469.826450067,52161.1276372376,67786.329217456,68810.4382912935,67786.329217456,63535.703324001,49109.5264820494,107979.492597397,46142.8300042337,48010.1951745842,45960.1683848071,45653.342137403,47027.538233396
"bpns-Whitley",144866.392959942,144442.828422936,137697.71859198,137043.297190638,129203.954163134,200847.34738522,92283.79682669,32242.341978619,45837.1285218043,22669.7834422952,2620.48243315845,2620.48243315845,22326.7562453849,6573.83667630816,55843.1704527384,21552.8489929286,0,51899.3068833628,46458.6994621454,47426.3758799319,48258.4605072175,48945.5905168765,46232.8409912919,45555.1377320827,44901.9056700499,46837.1306589752,174851.027478743,167680.303432433,164318.13089899,199030.289086707,198970.047376481,198825.092758854,198715.225428161,198630.51252076,198545.79961336,198435.932282666,198012.367745661,145238.282198131,133847.173039161,133098.06716903,194707.436037397,190723.486787603,180436.439349001,177378.9912147,174960.742922092,172413.483495368,167585.99841507,167525.756704844,165714.760267221,157924.309182909,158068.58057442,152808.973395478,152422.368710831,188348.070552047,189072.843640181,181874.002983277,84919.126502128,90728.5465997515,84783.5986349508,91972.8964481673,85737.9753247881,86669.8173062001,93241.7174937581,94920.9311950542,90867.8195977781,91918.2724342167,92400.2061160226,94030.477422968,85946.9807068159,85790.7267733136,110090.542856069,109399.667715559,109335.680874484,109322.508993183,86120.1516524675,87458.57723541,88559.8450316243,89661.1128278379,85668.306864113,73088.9608961582,71405.9381406882,72100.6223353712,110275.013117596,110455.738248273,70003.5257166691,110231.688419521,74022.6754429955,73713.9766301662,89339.1782103845,90363.2872842221,89339.1782103845,85088.5523169296,70662.3754749779,129532.341590325,67695.6789971623,69563.0441675127,67513.0173777357,67206.1911303315,68580.3872263246
"bpns-WK14",92967.0860765786,92543.5215395733,85798.4117086169,85143.9903072749,77304.6472797704,148948.040501859,40384.4899433269,20885.0199474363,17386.9360068732,30457.5784837598,49278.8244502043,49278.8244502043,29572.5506379776,58473.143559671,3943.8635693757,30346.4578904345,51899.3068833628,0,6125.80094212693,4472.93100343084,3738.73116484685,3100.54354953926,5666.46589207086,6344.16915128001,6997.40121331279,6487.75731667398,122951.720595382,115780.996549071,112418.824015628,147130.982203346,147070.74049312,146925.785875493,146815.9185448,146731.205637399,146646.492729998,146536.625399305,146113.0608623,93338.9753147681,81947.8661557974,81198.7602856661,142808.129154035,138824.179904242,128537.13246564,125479.684331339,123061.436038731,120514.176612007,115686.691531708,115626.449821483,113815.453383859,106025.002299547,106169.273691058,100909.666512115,100523.061827469,136448.763668685,137173.53675682,129974.696099916,33019.8196187644,38829.2397163879,32884.2917515872,40073.5895648037,33838.6684414245,34770.5104228365,41342.4106103945,43021.6243116906,38968.5127144145,40018.965550853,40500.899232659,42131.1705396044,34047.6738234523,33891.41988995,58191.2359727049,57500.3608321959,57436.3739911201,57423.2021098194,34220.8447691039,35559.2703520464,36660.5381482607,37761.8059444743,33768.9999807494,21189.6540127953,19506.6312573258,20201.3154520084,58375.7062342323,58556.4313649095,18104.2188333061,58332.3815361571,22123.3685596328,21814.6697468032,37439.871327021,38463.9804008585,37439.871327021,33189.245433566,18763.0685916152,77633.0347069616,15796.3721137991,17663.7372841496,15613.7104943726,15306.8842469684,16681.0803429615
"bpns-WZ",98407.6934977964,97984.1289607911,91239.0191298347,90584.5977284926,82745.2547009882,154388.647923076,45825.0973645444,15444.412526219,12103.2299511639,25016.9710625426,43838.217028987,43838.217028987,24131.9432167604,53032.5361384536,9384.47099059291,24905.8504692173,46458.6994621454,6125.80094212693,0,2044.40909350109,2876.49372078659,3563.62373044562,1580.33015837669,1956.18033808769,2574.32511318478,2436.70886991415,128392.328016599,121221.603970289,117859.431436846,152571.589624563,152511.347914337,152366.393296711,152256.525966018,152171.813058617,152087.100151216,151977.232820523,151553.668283517,98779.5827359856,87388.473577015,86639.3677068837,148248.736575253,144264.78732546,133977.739886857,130920.291752556,128502.043459948,125954.784033225,121127.298952926,121067.0572427,119256.060805077,111465.609720765,111609.881112276,106350.273933333,105963.669248687,141889.371089903,142614.144178037,135415.303521134,38460.4270399819,44269.8471376055,38324.8991728048,45514.1969860213,39279.2758626421,40211.117844054,46783.0180316121,48462.2317329082,44409.120135632,45459.5729720706,45941.5066538766,47571.777960822,39488.2812446699,39332.0273111676,63631.8433939226,62940.9682534135,62876.9814123378,62863.809531037,39661.4521903215,40999.877773264,42101.1455694783,43202.4133656919,39209.607401967,26630.2614340121,24947.2386785422,25641.9228732251,63816.31365545,63997.0387861272,23544.8262545232,63772.9889573747,27563.9759808494,27255.2771680201,42880.4787482385,43904.5878220761,42880.4787482385,38629.8528547836,24203.6760128319,83073.6421281791,21236.9795350166,23104.3447053668,21054.3179155899,20747.4916681857,22121.6877641787
"bpns-zbe1",97440.0170800096,97016.4525430043,90271.3427120479,89616.9213107058,81777.5782832014,153420.971505289,44857.4209467576,16412.0889440055,14042.3771838629,25984.647480329,44805.8934467734,44805.8934467734,25099.6196345468,54000.2125562401,8416.79457280647,25873.5268870038,47426.3758799319,4472.93100343084,2044.40909350109,0,832.084627285552,1519.21463694458,1193.53488864004,1871.23814784919,2524.47020988198,2014.82631324317,127424.651598812,120253.927552502,116891.755019059,151603.913206776,151543.67149655,151398.716878924,151288.849548231,151204.13664083,151119.423733429,151009.556402736,150585.991865731,97811.9063181989,86420.7971592283,85671.691289097,147281.060157466,143297.110907673,133010.06346907,129952.61533477,127534.367042161,124987.107615438,120159.622535139,120099.380824914,118288.38438729,110497.933302978,110642.204694489,105382.597515546,104995.9928309,140921.694672116,141646.46776025,134447.627103347,37492.7506221952,43302.1707198187,37357.222755018,44546.5205682345,38311.5994448553,39243.4414262673,45815.3416138253,47494.5553151214,43441.4437178453,44491.8965542839,44973.8302360898,46604.1015430352,38520.6048268831,38364.3508933808,62664.1669761358,61973.2918356267,61909.304994551,61896.1331132502,38693.7757725347,40032.2013554772,41133.4691516916,42234.7369479052,38241.9309841802,25662.5850162257,23979.5622607557,24674.2464554387,62848.6372376632,63029.3623683404,22577.1498367367,62805.3125395879,26596.299563063,26287.6007502337,41912.8023304518,42936.9114042893,41912.8023304518,37662.1764369968,23235.9995950455,82105.9657103924,20269.3031172299,22136.6682875803,20086.6414978034,19779.8152503992,21154.0113463922
"bpns-zbe2",96705.8172414256,96282.2527044203,89537.1428734638,88882.7214721218,81043.3784446173,152686.771666705,44123.2211081737,17244.173571291,14488.5016548739,26816.7321076146,45637.978074059,45637.978074059,25931.7042618324,54832.2971835257,7682.59473422248,26705.6115142893,48258.4605072175,3738.73116484685,2876.49372078659,832.084627285552,0,687.130009659026,2025.61951592559,2703.32277513475,3356.55483716753,2846.91094052872,126690.451760228,119519.727713918,116157.555180475,150869.713368192,150809.471657966,150664.51704034,150554.649709647,150469.936802246,150385.223894845,150275.356564152,149851.792027147,97077.7064796149,85686.5973206443,84937.491450513,146546.860318882,142562.911069089,132275.863630486,129218.415496186,126800.167203577,124252.907776854,119425.422696555,119365.18098633,117554.184548706,109763.733464394,109908.004855905,104648.397676962,104261.792992316,140187.494833532,140912.267921666,133713.427264763,36758.5507836112,42567.9708812347,36623.022916434,43812.3207296505,37577.3996062713,38509.2415876833,45081.1417752413,46760.3554765375,42707.2438792613,43757.6967156999,44239.6303975059,45869.9017044512,37786.4049882991,37630.1510547968,61929.9671375518,61239.0919970427,61175.105155967,61161.9332746662,37959.5759339508,39298.0015168932,40399.2693131076,41500.5371093212,37507.7311455962,24928.3851776417,23245.362422172,23940.0466168547,62114.4373990792,62295.1625297564,21842.9499981527,62071.1127010039,25862.099724479,25553.4009116497,41178.6024918678,42202.7115657053,41178.6024918678,36927.9765984128,22501.7997564615,81371.7658718084,19535.1032786459,21402.4684489964,19352.4416592194,19045.6154118152,20419.8115078083
"bpns-zbe3",96067.629626118,95644.0650891126,88898.9552581562,88244.5338568142,80405.1908293097,152048.584051398,43485.0334928661,17931.3035809501,14824.7587951924,27503.8621172736,46325.108083718,46325.108083718,26618.8342714914,55519.4271931847,7044.4071189149,27392.7415239483,48945.5905168765,3100.54354953926,3563.62373044562,1519.21463694458,687.130009659026,0,2712.74952558462,3390.45278479377,4043.68484682655,3534.04095018775,126052.264144921,118881.540098611,115519.367565168,150231.525752885,150171.284042659,150026.329425032,149916.462094339,149831.749186938,149747.036279538,149637.168948844,149213.604411839,96439.5188643074,85048.4097053367,84299.3038352054,145908.672703575,141924.723453781,131637.676015179,128580.227880878,126161.97958827,123614.720161546,118787.235081248,118726.993371022,116915.996933399,109125.545849087,109269.817240597,104010.210061655,103623.605377008,139549.307218225,140274.080306359,133075.239649455,36120.3631683036,41929.7832659272,35984.8353011264,43174.1331143429,36939.2119909637,37871.0539723757,44442.9541599338,46122.1678612299,42069.0562639537,43119.5091003923,43601.4427821983,45231.7140891436,37148.2173729915,36991.9634394892,61291.7795222442,60600.9043817351,60536.9175406594,60523.7456593586,37321.3883186432,38659.8139015856,39761.0816978,40862.3494940136,36869.5435302886,24290.1975623341,22607.1748068646,23301.8590015472,61476.2497837716,61656.9749144488,21204.7623828452,61432.9250856963,25223.9121091716,24915.2132963421,40540.4148765602,41564.5239503977,40540.4148765602,36289.7889831052,21863.612141154,80733.5782565008,18896.9156633384,20764.2808336888,18714.2540439118,18407.4277965077,19781.6238925007
"bpns-zbw1",98633.5519686497,98209.9874316444,91464.8776006879,90810.4561993459,82971.1131718414,154614.506393929,46050.9558353976,15218.5540553655,13683.5601095395,24791.112591689,43612.3585581334,43612.3585581334,23906.0847459068,52806.6776676001,9610.32946144649,24679.9919983638,46232.8409912919,5666.46589207086,1580.33015837669,1193.53488864004,2025.61951592559,2712.74952558462,0,677.703259209172,1330.93532124195,856.378711537459,128618.186487452,121447.462441142,118085.289907699,152797.448095416,152737.20638519,152592.251767564,152482.384436871,152397.67152947,152312.958622069,152203.091291376,151779.526754371,99005.441206839,87614.3320478683,86865.226177737,148474.595046106,144490.645796313,134203.59835771,131146.15022341,128727.901930801,126180.642504078,121353.157423779,121292.915713554,119481.91927593,111691.468191618,111835.739583129,106576.132404186,106189.52771954,142115.229560756,142840.00264889,135641.161991987,38686.2855108352,44495.7056084587,38550.757643658,45740.0554568745,39505.1343334953,40436.9763149073,47008.8765024653,48688.0902037615,44634.9786064853,45685.4314429239,46167.3651247299,47797.6364316752,39714.1397155231,39557.8857820208,63857.7018647758,63166.8267242667,63102.839883191,63089.6680018902,39887.3106611748,41225.7362441172,42327.0040403316,43428.2718365452,39435.4658728202,26856.1199048657,25173.0971493957,25867.7813440787,64042.1721263032,64222.8972569804,23770.6847253767,63998.8474282279,27789.834451703,27481.1356388737,43106.3372190918,44130.4462929293,43106.3372190918,38855.7113256368,24429.5344836855,83299.5005990324,21462.83800587,23330.2031762203,21280.1763864434,20973.3501390392,22347.5462350322
"bpns-zbw2",99311.2552278589,98887.6906908535,92142.5808598971,91488.1594585551,83648.8164310506,155292.209653138,46728.6590946068,14736.6203735594,13958.7925960815,24113.4093324799,42934.6552989242,42934.6552989242,23228.3814866977,52128.9744083909,10288.0327206556,24002.2887391546,45555.1377320827,6344.16915128001,1956.18033808769,1871.23814784919,2703.32277513475,3390.45278479377,677.703259209172,0,653.232062032782,1281.99292689246,129295.889746662,122125.165700351,118762.993166908,153475.151354625,153414.9096444,153269.955026773,153160.08769608,153075.374788679,152990.661881278,152880.794550585,152457.23001358,99683.1444660481,88292.0353070775,87542.9294369462,149152.298305315,145168.349055522,134881.30161692,131823.853482619,129405.605190011,126858.345763287,122030.860682989,121970.618972763,120159.622535139,112369.171450828,112513.442842338,107253.835663395,106867.230978749,142792.932819965,143517.705908099,136318.865251196,39363.9887700444,45173.4088676679,39228.4609028672,46417.7587160837,40182.8375927045,41114.6795741165,47686.5797616745,49365.7934629706,45312.6818656945,46363.1347021331,46845.068383939,48475.3396908844,40391.8429747323,40235.58904123,64535.405123985,63844.5299834759,63780.5431424002,63767.3712610994,40565.0139203839,41903.4395033264,43004.7072995408,44105.9750957544,40113.1691320294,27533.8231640748,25850.8004086049,26545.4846032878,64719.8753855123,64900.6005161896,24448.3879845859,64676.5506874371,28467.5377109121,28158.8388980828,43784.040478301,44808.1495521385,43784.040478301,39533.414584846,25107.2377428947,83977.2038582416,22140.5412650791,24007.9064354295,21957.8796456525,21651.0533982484,23025.2494942414
"bpns-zbw3",99964.4872898917,99540.9227528864,92795.8129219299,92141.3915205879,84302.0484930834,155945.441715171,47381.8911566395,14425.9850719802,14174.466598513,23460.1772704471,42281.4232368914,42281.4232368914,22575.1494246649,51475.7423463581,10941.2647826884,23349.0566771218,44901.9056700499,6997.40121331279,2574.32511318478,2524.47020988198,3356.55483716753,4043.68484682655,1330.93532124195,653.232062032782,0,1935.22498892524,129949.121808694,122778.397762384,119416.225228941,154128.383416658,154068.141706432,153923.187088806,153813.319758113,153728.606850712,153643.893943311,153534.026612618,153110.462075613,100336.376528081,88945.2673691103,88196.161498979,149805.530367348,145821.581117555,135534.533678952,132477.085544652,130058.837252043,127511.57782532,122684.092745021,122623.851034796,120812.854597172,113022.40351286,113166.674904371,107907.067725428,107520.463040782,143446.164881998,144170.937970132,136972.097313229,40017.2208320772,45826.6409297007,39881.6929649,47070.9907781165,40836.0696547373,41767.9116361493,48339.8118237073,50019.0255250034,45965.9139277273,47016.3667641659,47498.3004459718,49128.5717529172,41045.0750367651,40888.8211032628,65188.6371860177,64497.7620455087,64433.775204433,64420.6033231322,41218.2459824167,42556.6715653592,43657.9393615736,44759.2071577872,40766.4011940622,28187.0552261076,26504.0324706376,27198.7166653206,65373.1074475451,65553.8325782224,25101.6200466186,65329.7827494699,29120.7697729449,28812.0709601156,44437.2725403338,45461.3816141713,44437.2725403338,40186.6466468788,25760.4698049274,84630.4359202744,22793.7733271119,24661.1384974623,22611.1117076853,22304.2854602811,23678.4815562742
"bpns-ZW1",99454.8433932528,99031.2788562475,92286.1690252911,91631.7476239491,83792.4045964446,155435.797818532,46872.2472600007,15822.8437230488,14539.9388210767,25395.4022593723,44216.6482258167,44216.6482258167,24510.3744135901,53410.9673352834,10431.6208860496,25284.281666047,46837.1306589752,6487.75731667398,2436.70886991415,2014.82631324317,2846.91094052872,3534.04095018775,856.378711537459,1281.99292689246,1935.22498892524,0,129439.477912056,122268.753865745,118906.581332302,153618.739520019,153558.497809794,153413.543192167,153303.675861474,153218.962954073,153134.250046672,153024.382715979,152600.818178974,99826.7326314421,88435.6234724714,87686.5176023402,149295.886470709,145311.937220916,135024.889782314,131967.441648013,129549.193355405,127001.933928681,122174.448848383,122114.207138157,120303.210700533,112512.759616221,112657.031007732,107397.423828789,107010.819144143,142936.520985359,143661.294073493,136462.45341659,39507.5769354384,45316.9970330619,39372.0490682612,46561.3468814777,40326.4257580985,41258.2677395105,47830.1679270685,49509.3816283646,45456.2700310885,46506.722867527,46988.656549333,48618.9278562784,40535.4311401263,40379.177206624,64678.9932893789,63988.1181488699,63924.1313077941,63910.9594264934,40708.6020857779,42047.0276687204,43148.2954649347,44249.5632611483,40256.7572974234,27677.4113294688,25994.3885739988,26689.0727686818,64863.4635509063,65044.1886815835,24591.9761499798,64820.1388528311,28611.1258763061,28302.4270634768,43927.6286436949,44951.7377175325,43927.6286436949,39677.00275024,25250.8259082886,84120.7920236356,22284.1294304731,24151.4946008235,22101.4678110465,21794.6415636424,23168.8376596354
"M-6",30054.8090926719,30528.6824762596,37203.6177333476,38053.3412966446,47036.6322900701,62666.0758695438,87646.0816674644,143836.740542818,136619.034631603,153409.299079141,172230.545045584,172230.545045584,152524.271233358,181424.864155051,119007.857026006,153298.178485816,174851.027478743,122951.720595382,128392.328016599,127424.651598812,126690.451760228,126052.264144921,128618.186487452,129295.889746662,129949.121808694,129439.477912056,0,7170.72404631024,10532.896579753,52535.163762582,52474.9220523562,52329.9674347296,52220.1001040365,52135.3871966357,52050.6742892349,51940.8069585417,51517.2424215363,29612.7452806138,41565.251030529,41823.1348835832,48212.3107132718,44228.3614634786,33941.3140248762,30883.8658905754,28465.6175979672,25918.3581712437,21090.8730909451,21030.6313807194,19219.6349430961,17027.335989,16782.4469043234,22252.5778048724,22428.6587679124,41852.9452279217,42577.7183160558,35378.8776591529,90323.4401314229,86031.2342586693,90067.4288437941,85227.3659594096,89113.0521539567,88719.5765104023,84447.9688573252,83356.0638882375,86772.9243589536,86016.1258886196,85534.1922068137,84393.3448433752,89785.0098702414,89060.3007054312,66277.6988475471,66430.2076501985,66004.770547768,65528.5184855613,88730.8758262773,88664.9524964517,88199.9358267964,87734.9191571406,91609.5071894336,107047.845172459,109220.291871437,107987.241338896,66582.6525295263,66401.927398849,108420.296549676,67262.22835416,107002.470796036,106227.059861049,88497.3353237503,87473.2262499125,88497.3353237503,89762.4751618153,108838.179467081,45318.6858884195,107155.348481582,107979.81500052,108218.973199322,107791.663531466,108081.508843395
