"","Railway_Pool","Tidal_1","Tidal_2","Tidal_3","Tidal_4","Tidal_5","Wareham_Bypass","Wareham_Pool","EA_Boat_House","Redcliffe","Flap_valve_US_Ridge","Ridge_Wharf","Flap_valve_DS_Ridge","Speed_sign","E33","E49","Giggers_channel","WH7","WH6","WH5","Rockley_channel","South_deep","Brownsea_road_16","Bell_Buoy_15","Brownsea","Buoy_12","Buoy_10","Swash_9","Hook Sands_7","Channel_8","EL2"
"Flap_valve_US_Ridge",3607.58085061201,3266.27824915284,3216.29048454755,3216.29048454755,2995.65141921265,2825.00011848308,1818.39050875636,1335.7363642579,1456.39990038284,661.767809815831,0,611.929431399361,711.880062911669,1023.85800898092,1444.39833734044,1585.7498803784,2812.89896464749,5653.86310549344,5895.19017774198,6315.78030149809,6917.41524205774,11536.4292777385,13081.5500752376,13081.5500752376,13022.9505598544,13317.729902066,13659.0325035259,13659.0325035259,14302.0434579129,14302.0434579129,14069.229111208
"Ridge_Wharf",4190.23542201777,3848.93282055859,3798.9450559533,3798.9450559533,3578.30599061841,3407.65468988884,2401.04508016212,1918.39093566366,2039.0544717886,1244.42238122159,611.929431399361,0,170.601505332985,482.579451402232,903.119779761755,1044.47132279971,2271.62040706881,5112.58454791475,5353.91162016329,5774.50174391941,6376.13668447905,10995.1507201598,12540.271517659,12540.271517659,12481.6720022757,12776.4513444873,13117.7539459472,13117.7539459472,13760.7649003342,13760.7649003342,13527.9505536293
"Flap_valve_DS_Ridge",4290.18605353008,3948.8834520709,3898.89568746561,3898.89568746561,3678.25662213072,3507.60532140114,2500.99571167443,2018.34156717597,2139.00510330091,1344.3730127339,711.880062911669,170.601505332985,0,311.977946069247,732.51827442877,873.869817466728,2101.01890173582,4941.98304258177,5183.31011483031,5603.90023858642,6205.53517914607,10824.5492148269,12369.670012326,12369.670012326,12311.0704969427,12605.8498391544,12947.1524406142,12947.1524406142,13590.1633950012,13590.1633950012,13357.3490482963
"Speed_sign",4602.16399959933,4260.86139814015,4210.87363353486,4210.87363353486,3990.23456819996,3819.58326747039,2812.97365774367,2330.31951324521,2450.98304937015,1656.35095880314,1023.85800898092,482.579451402232,311.977946069247,0,420.540328359523,561.891871397481,1789.04095566658,4630.00509651252,4871.33216876106,5291.92229251717,5893.55723307682,10512.5712687576,12057.6920662567,12057.6920662567,11999.0925508735,12293.8718930851,12635.1744945449,12635.1744945449,13278.185448932,13278.185448932,13045.3711022271
"E33",5022.70432795885,4681.40172649967,4631.41396189438,4631.41396189438,4410.77489655949,4240.12359582991,3233.5139861032,2750.85984160474,2871.52337772968,2076.89128716267,1444.39833734044,903.119779761755,732.51827442877,420.540328359523,0,141.351543037958,1368.50062730705,4209.464768153,4450.79184040154,4871.38196415765,5473.0169047173,10092.0309403981,11637.1517378972,11637.1517378972,11578.552222514,11873.3315647256,12214.6341661854,12214.6341661854,12857.6451205724,12857.6451205724,12624.8307738676
"E49",5164.05587099681,4822.75326953763,4772.76550493234,4772.76550493234,4552.12643959745,4381.47513886787,3374.86552914115,2892.21138464269,3012.87492076763,2218.24283020062,1585.7498803784,1044.47132279971,873.869817466728,561.891871397481,141.351543037958,0,1227.14908426909,4068.11322511504,4309.44029736358,4730.03042111969,5331.66536167934,9950.67939736013,11495.8001948593,11495.8001948593,11437.200679476,11731.9800216876,12073.2826231475,12073.2826231475,12716.2935775345,12716.2935775345,12483.4792308296
"Giggers_channel",6391.2049552659,6049.90235380673,5999.91458920144,5999.91458920144,5779.27552386654,5608.62422313697,4602.01461341025,4119.36046891179,4240.02400503673,3445.39191446972,2812.89896464749,2271.62040706881,2101.01890173582,1789.04095566658,1368.50062730705,1227.14908426909,0,3045.88816079926,3287.2152330478,3707.80535680391,4309.44029736356,8928.45433304436,10473.5751305435,10473.5751305435,10414.9756151602,10709.7549573719,11051.0575588317,11051.0575588317,11694.0685132187,11694.0685132187,11461.2541665138
"WH7",9232.16909611185,8890.86649465267,8840.87873004738,8840.87873004738,8620.23966471249,8449.58836398292,7442.9787542562,6960.32460975774,7080.98814588268,6286.35605531566,5653.86310549344,5112.58454791475,4941.98304258177,4630.00509651252,4209.464768153,4068.11322511504,3045.88816079926,0,241.327072248542,661.917196004653,1351.37671654429,5882.56617224509,7427.68696974422,7427.68696974422,7369.08745436097,7663.86679657261,8005.16939803244,8005.16939803244,8648.18035241945,8648.18035241945,8415.36600571458
"WH6",9473.49616836039,9132.19356690121,9082.20580229592,9082.20580229592,8861.56673696103,8690.91543623146,7684.30582650474,7201.65168200628,7322.31521813122,6527.68312756421,5895.19017774198,5353.91162016329,5183.31011483031,4871.33216876106,4450.79184040154,4309.44029736358,3287.2152330478,241.327072248542,0,420.59012375612,1168.59936428241,5641.23909999656,7186.35989749569,7186.35989749569,7127.76038211244,7422.53972432407,7763.84232578391,7763.84232578391,8406.85328017092,8406.85328017092,8174.03893346605
"WH5",9894.0862921165,9552.78369065732,9502.79592605203,9502.79592605203,9282.15686071714,9111.50555998757,8104.89595026085,7622.24180576239,7742.90534188733,6948.27325132032,6315.78030149809,5774.50174391941,5603.90023858642,5291.92229251717,4871.38196415765,4730.03042111969,3707.80535680391,661.917196004653,420.59012375612,0,952.933260479639,5220.64897624044,6765.76977373957,6765.76977373957,6707.17025835632,7001.94960056795,7343.25220202779,7343.25220202779,7986.2631564148,7986.2631564148,7753.44880970993
"Rockley_channel",10495.7212326761,10154.418631217,10104.4308666117,10104.4308666117,9883.79180127679,9713.14050054721,8706.5308908205,8223.87674632204,8344.54028244698,7549.90819187997,6917.41524205774,6376.13668447905,6205.53517914607,5893.55723307682,5473.0169047173,5331.66536167934,4309.44029736356,1351.37671654429,1168.59936428241,952.933260479639,0,5615.15487068041,6867.52706824622,6867.52706824622,6808.92755286297,7103.70689507461,7445.00949653444,7445.00949653444,8088.02045092145,8088.02045092145,7855.20610421651
"South_deep",15114.7352683569,14773.4326668978,14723.4449022925,14723.4449022925,14502.8058369576,14332.154536228,13325.5449265013,12842.8907820028,12963.5543181278,12168.9222275608,11536.4292777385,10995.1507201598,10824.5492148269,10512.5712687576,10092.0309403981,9950.67939736013,8928.45433304436,5882.56617224509,5641.23909999656,5220.64897624044,5615.15487068041,0,3092.41142004682,3092.41142004682,2951.05987700887,2956.20712242909,3214.75769623294,3214.75769623294,3526.76054000116,3526.76054000116,4262.76821748593
"Brownsea_road_16",16659.856065856,16318.5534643969,16268.5656997916,16268.5656997916,16047.9266344567,15877.2753337271,14870.6657240004,14388.0115795019,14508.6751156269,13714.0430250599,13081.5500752376,12540.271517659,12369.670012326,12057.6920662567,11637.1517378972,11495.8001948593,10473.5751305435,7427.68696974422,7186.35989749569,6765.76977373957,6867.52706824622,3092.41142004682,0,0,141.351543037958,511.804515998995,853.107117458829,853.107117458829,1788.86667177915,1788.86667177915,1194.55910510708
"Bell_Buoy_15",16659.856065856,16318.5534643969,16268.5656997916,16268.5656997916,16047.9266344567,15877.2753337271,14870.6657240004,14388.0115795019,14508.6751156269,13714.0430250599,13081.5500752376,12540.271517659,12369.670012326,12057.6920662567,11637.1517378972,11495.8001948593,10473.5751305435,7427.68696974422,7186.35989749569,6765.76977373957,6867.52706824622,3092.41142004682,0,0,141.351543037958,511.804515998995,853.107117458829,853.107117458829,1788.86667177915,1788.86667177915,1194.55910510708
"Brownsea",16601.2565504728,16259.9539490136,16209.9661844083,16209.9661844083,15989.3271190734,15818.6758183439,14812.0662086171,14329.4120641187,14450.0756002436,13655.4435096766,13022.9505598544,12481.6720022757,12311.0704969427,11999.0925508735,11578.552222514,11437.200679476,10414.9756151602,7369.08745436097,7127.76038211244,6707.17025835632,6808.92755286297,2951.05987700887,141.351543037958,141.351543037958,0,411.878782184959,753.181383644792,753.181383644792,1688.94093796511,1688.94093796511,1335.91064814504
"Buoy_12",16896.0358926844,16554.7332912253,16504.74552662,16504.74552662,16284.1064612851,16113.4551605555,15106.8455508288,14624.1914063303,14744.8549424553,13950.2228518883,13317.729902066,12776.4513444873,12605.8498391544,12293.8718930851,11873.3315647256,11731.9800216876,10709.7549573719,7663.86679657261,7422.53972432407,7001.94960056795,7103.70689507461,2956.20712242909,511.804515998995,511.804515998995,411.878782184959,0,341.302601459834,341.302601459834,1277.06215578016,1277.06215578016,1389.31312271283
"Buoy_10",17237.3384941443,16896.0358926851,16846.0481280798,16846.0481280798,16625.4090627449,16454.7577620153,15448.1481522886,14965.4940077902,15086.1575439151,14291.5254533481,13659.0325035259,13117.7539459472,12947.1524406142,12635.1744945449,12214.6341661854,12073.2826231475,11051.0575588317,8005.16939803244,7763.84232578391,7343.25220202779,7445.00949653444,3214.75769623294,853.107117458829,853.107117458829,753.181383644792,341.302601459834,0,0,1052.85899429365,1052.85899429365,1048.01052125301
"Swash_9",17237.3384941443,16896.0358926851,16846.0481280798,16846.0481280798,16625.4090627449,16454.7577620153,15448.1481522886,14965.4940077902,15086.1575439151,14291.5254533481,13659.0325035259,13117.7539459472,12947.1524406142,12635.1744945449,12214.6341661854,12073.2826231475,11051.0575588317,8005.16939803244,7763.84232578391,7343.25220202779,7445.00949653444,3214.75769623294,853.107117458829,853.107117458829,753.181383644792,341.302601459834,0,0,1052.85899429365,1052.85899429365,1048.01052125301
"Hook Sands_7",17880.3494485313,17539.0468470721,17489.0590824668,17489.0590824668,17268.4200171319,17097.7687164023,16091.1591066756,15608.5049621772,15729.1684983021,14934.5364077351,14302.0434579129,13760.7649003342,13590.1633950012,13278.185448932,12857.6451205724,12716.2935775345,11694.0685132187,8648.18035241945,8406.85328017092,7986.2631564148,8088.02045092145,3526.76054000116,1788.86667177915,1788.86667177915,1688.94093796511,1277.06215578016,1052.85899429365,1052.85899429365,0,0,1835.19074944031
"Channel_8",17880.3494485313,17539.0468470721,17489.0590824668,17489.0590824668,17268.4200171319,17097.7687164023,16091.1591066756,15608.5049621772,15729.1684983021,14934.5364077351,14302.0434579129,13760.7649003342,13590.1633950012,13278.185448932,12857.6451205724,12716.2935775345,11694.0685132187,8648.18035241945,8406.85328017092,7986.2631564148,8088.02045092145,3526.76054000116,1788.86667177915,1788.86667177915,1688.94093796511,1277.06215578016,1052.85899429365,1052.85899429365,0,0,1835.19074944031
"EL2",17647.5351018264,17306.2325003672,17256.2447357619,17256.2447357619,17035.605670427,16864.9543696975,15858.3447599708,15375.6906154723,15496.3541515972,14701.7220610302,14069.229111208,13527.9505536293,13357.3490482963,13045.3711022271,12624.8307738676,12483.4792308296,11461.2541665138,8415.36600571458,8174.03893346605,7753.44880970993,7855.20610421651,4262.76821748593,1194.55910510708,1194.55910510708,1335.91064814504,1389.31312271283,1048.01052125301,1048.01052125301,1835.19074944031,1835.19074944031,0
