"","99V","114R","85V","74R","72R","46R","31V","25V","71V","90R","38R","18R","13V","2R","StationGIP_Pellerin","50R","33V","40R","27V_DongesSud","24bisR","23V","19V_Mindin","20R_BasseNazaire","17V_Vignettes","29bisV","28R","30R","26R","Tribord_Basse_Nazaire","rel_loire2","rel_loire1","rel_loire3","rel_loire4"
"20R_BasseNazaire",84535.2383144256,84626.6708115422,81214.8719439668,78609.2854084957,78326.4458804457,67863.0658312499,67680.200837016,65584.46396377,78497.133991996,81406.2937577826,65696.6153802704,62516.7634033512,62475.3255645842,57531.2394245554,38265.7030560789,38162.1084591618,23263.7627772998,23692.9957830632,11000.6503607692,2554.28996662183,2483.53204024245,1248.52019959492,0,362.169056894436,12276.1872782577,12479.7711918747,14135.8927159226,11483.4833051008,332.848969282066,91546.2190859541,84276.7082030943,104195.780410334,17812.0859961188
"17V_Vignettes",84509.5678556776,84601.0003527942,81189.2014852188,78583.6149497478,78300.7754216978,67837.3953725019,67654.5303782681,65558.793505022,78471.463533248,81380.6232990347,65670.9449215225,62491.0929446032,62449.6551058362,57505.5689658075,38240.032597331,38136.4380004139,23238.0923185518,23667.3253243153,10974.9799020213,2792.23420450787,2633.60471258385,1252.14026269524,362.169056894436,0,12250.5168195097,12454.1007331267,14110.2222571747,11457.8128463528,665.727504328284,91520.5486272062,84251.0377443464,104170.109951586,17786.4155373709
"29bisV",72963.4942952071,73054.9267923237,69643.1279247483,67037.5413892773,66754.7018612273,56291.3218120313,56108.4568177974,54012.7199445514,66925.3899727775,69834.5497385642,54124.8713610518,50945.0193841325,50903.5815453656,45959.4954053368,26693.9590368603,26590.3644399433,11692.0187580812,12121.2517638447,1524.1639500903,9809.76887718065,9792.65523801534,11027.6670786628,12276.1872782577,12250.5168195097,0,291.45547916194,2439.8351804025,1207.08236082795,12443.2848924718,79974.4750667356,72704.9641838757,92624.0363911151,6240.3419769003
"28R",72967.0995754257,73058.5320725423,69646.7332049668,67041.1466694958,66758.3071414458,56294.9270922498,56112.0620980159,54016.3252247699,66928.995252996,69838.1550187827,54128.4766412703,50948.6246643511,50907.1868255841,45963.1006855553,26697.5643170789,26593.9697201618,11695.6240382997,12124.8570440632,1520.55866987179,10013.3527907976,9996.23915163234,11231.2509922798,12479.7711918747,12454.1007331267,291.45547916194,0,2443.44046062104,1203.47708060943,12646.8688060888,79978.0803469541,72708.5694640942,92627.6416713336,6243.94725711884
"30R",70523.6591148047,70615.0916119213,67203.2927443459,64597.7062088748,64314.8666808248,53851.4866316288,53668.6216373949,51572.8847641489,64485.5547923751,67394.7145581617,51685.0361806493,48505.18420373,48463.746364963,43519.6602249343,24254.1238564579,24150.5292595408,9252.18357767873,9681.41658344217,3963.9991304928,11669.4743148456,11652.3606756803,12887.3725163277,14135.8927159226,14110.2222571747,2439.8351804025,2443.44046062104,0,3646.91754123045,14302.9903301368,77534.6398863331,70265.1290034732,90184.2012107126,3800.5067964978
"26R",74170.576656035,74262.0091531517,70850.2102855762,68244.6237501052,67961.7842220552,57498.4041728592,57315.5391786254,55219.8023053793,68132.4723336054,71041.6320993921,55331.9537218797,52152.1017449605,52110.6639061935,47166.5777661647,27901.0413976883,27797.4468007712,12899.1011189092,13328.3341246726,482.832944331571,9017.06490402372,8999.95126485841,10234.9631055058,11483.4833051008,11457.8128463528,1207.08236082795,1203.47708060943,3646.91754123045,0,11650.5809193149,81181.5574275635,73912.0465447037,93831.1187519431,7447.42433772825
"Tribord_Basse_Nazaire",84702.3359286398,84793.7684257564,81381.969558181,78776.3830227099,78493.5434946599,68030.163445464,67847.2984512302,65751.5615779842,78664.2316062101,81573.3913719968,65863.7129944846,62683.8610175653,62642.4231787984,57698.3370387696,38432.8006702931,38329.206073376,23430.8603915139,23860.0933972774,11167.7479749834,2633.51601529131,2650.62965445658,1415.61781380907,332.848969282066,665.727504328284,12443.2848924718,12646.8688060888,14302.9903301368,11650.5809193149,0,91713.3167001683,84443.8058173085,104362.878024548,17979.183610333
"rel_loire2",7010.98077152846,6919.54827441185,10331.3471419873,12936.9336774583,13249.0637273565,23771.0248202488,24012.4708581791,26371.8224280591,13049.0850939581,10139.9253281714,26201.0899678622,29029.4556826028,29070.8935213698,34014.9796613985,53280.516029875,53384.1106267921,68282.4563086543,67853.2233028908,81498.6390168259,89162.676362411,89062.6870457118,90297.6988863592,91546.2190859541,91520.5486272062,79974.4750667356,79978.0803469541,77534.6398863331,81181.5574275635,91713.3167001683,0,7393.82439916011,12649.5613243794,73734.1330898355
"rel_loire1",382.843627631667,474.276124748279,3061.8362591274,5667.42279459844,5979.55284449668,16501.513937389,16742.9599753193,19102.3115451993,5779.57421109821,2953.29012284549,18931.5790850024,21759.944799743,21801.38263851,26745.4687785386,46011.0051470151,46114.5997439322,61012.9454257944,60583.712420031,74229.128133966,81893.1654795512,81793.1761628519,83028.1880034994,84276.7082030943,84251.0377443464,72704.9641838757,72708.5694640942,70265.1290034732,73912.0465447037,84443.8058173085,7393.82439916011,0,20043.3857235395,66464.6222069756
"rel_loire3",19660.5420959079,19569.1095987913,22980.9084663667,25586.4950018377,25898.6250517359,36420.5861446283,36662.0321825586,39021.3837524386,25698.6464183375,22789.4866525508,38850.6512922417,41679.0170069824,41720.4548457494,46664.5409857781,65930.0773542546,66033.6719511717,80932.0176330338,80502.7846272704,94148.2003412054,101812.237686791,101712.248370091,102947.260210739,104195.780410334,104170.109951586,92624.0363911151,92627.6416713336,90184.2012107126,93831.1187519431,104362.878024548,12649.5613243794,20043.3857235395,0,86383.694414215
"rel_loire4",66723.152318307,66814.5848154236,63402.7859478482,60797.1994123771,60514.3598843271,50050.979835131,49868.1148408972,47772.3779676511,60685.0479958773,63594.207761664,47884.5293841515,44704.6774072323,44663.2395684653,39719.1534284366,20453.6170599601,20350.0224630431,5451.67678118095,5880.90978694439,7764.5059269906,15428.5432725757,15328.5539558765,16563.5657965239,17812.0859961188,17786.4155373709,6240.3419769003,6243.94725711884,3800.5067964978,7447.42433772825,17979.183610333,73734.1330898355,66464.6222069756,86383.694414215,0
