"","St20","St21","St22","St23","St24","St18","St3","St1","St2","St4","St5","St6","St7","St8","St10","St11","St12","St13","St14","St15","St16","St25","St26","St27","St28","St30","St29","St9","St18","St19","St0"
"St5",30604.5434817578,30966.6186500433,30966.6186500433,32647.6945467948,38947.8377981527,24506.2211783133,991.358447836039,1315.52211650664,994.837059794727,170.64781760187,0,1186.09545588777,1551.73371342702,1739.47125891338,7261.81061228437,9862.96022653029,12663.1702337391,13295.9321252484,14532.1526305672,17258.0639206003,22375.2869961171,41432.2600460434,42497.7904951128,47283.7313848285,55019.8984015394,66360.8503881177,63472.3081613316,4391.21054771175,27349.3455791491,28685.5627514422,894.840392819815
"St6",29418.4480258708,29780.5231941563,29780.5231941563,31461.5990909079,37761.7423422657,23320.1257224263,2177.45390372381,2501.6175723944,2180.93251568249,1198.182289761,1186.09545588777,0,482.766891046887,553.375803025616,6075.71515639742,8676.86477064333,11477.0747778522,12109.8366693614,13346.0571746803,16071.9684647134,21189.1915402302,40246.1645901565,41311.6950392258,46097.6359289416,53833.8029456524,65174.7549322307,62286.2127054446,3205.1150918248,26163.2501232621,27499.4672955552,2039.54573713467
"St7",29052.8097683313,29414.8849366168,29414.8849366168,31095.9608333683,37396.1040847262,22954.4874648868,2543.09216126306,2867.25582993365,2546.57077322174,1563.82054730025,1551.73371342702,482.766891046887,0,312.034596150098,5710.0768988579,8311.22651310381,11111.4365203126,11744.1984118219,12980.4189171407,15706.3302071738,20823.5532826907,39880.526332617,40946.0567816863,45731.9976714021,53468.1646881129,64809.1166746912,61920.5744479051,2839.47683428528,25797.6118657226,27133.8290380157,2405.18399467392
"St8",28865.0722228452,29227.1473911307,29227.1473911307,30908.2232878822,37208.3665392401,22766.7499194007,2730.82970674942,3054.99337542002,2734.30831870811,1751.55809278662,1739.47125891338,553.375803025616,312.034596150098,0,5522.33935337181,8123.48896761772,10923.6989748265,11556.4608663358,12792.6813716547,15518.5926616877,20635.8157372046,39692.7887871309,40758.3192362002,45544.260125916,53280.4271426268,64621.3791292051,61732.836902419,2651.73928879919,25609.8743202365,26946.0914925296,2592.92154016028
"St10",23542.6417261274,23904.7168944129,23904.7168944129,25585.7927911644,31885.9360425223,17444.3194226829,8253.16906012041,8577.33272879101,8256.6476720791,7273.89744615761,7261.81061228437,6075.71515639742,5710.0768988579,5522.33935337181,0,2801.05847089991,5601.26847810872,6234.03036961798,7470.25087493684,10196.1621649699,15313.3852404868,34370.3582904131,35435.8887394824,40221.8296291982,47957.996645909,59298.9486324873,56410.4064057012,2870.60006457263,20287.4438235187,21623.6609958118,8115.26089353128
"St11",20917.2762054891,21279.3513737746,21279.3513737746,22960.4272705261,29260.570521884,14818.9539020446,10854.3186743663,11178.4823430369,10857.797286325,9875.04706040352,9862.96022653029,8676.86477064333,8311.22651310381,8123.48896761772,2801.05847089991,0,2975.90295747041,3608.66484897966,4844.88535429853,7570.79664433161,12688.0197198484,31744.9927697747,32810.5232188441,37596.4641085598,45332.6311252706,56673.583111849,53785.0408850629,5513.13979039145,17662.0783028804,18998.2954751735,10716.4105077772
"St12",17941.3732480187,18303.4484163042,18303.4484163042,19984.5243130557,26284.6675644136,11843.0509445742,13654.5286815751,13978.6923502457,13658.0072935338,12675.2570676123,12663.1702337391,11477.0747778522,11111.4365203126,10923.6989748265,5601.26847810872,2975.90295747041,0,632.761891509263,1868.98239682813,4594.89368686121,9712.11676237803,28769.0898123043,29834.6202613737,34620.5611510894,42356.7281678002,53697.6801543786,50809.1379275925,8313.34979760026,14686.17534541,16022.3925177031,13516.620514986
"St13",17308.6113565094,17670.6865247949,17670.6865247949,19351.7624215464,25651.9056729044,11210.2890530649,14287.2905730844,14611.454241755,14290.7691850431,13308.0189591216,13295.9321252484,12109.8366693614,11744.1984118219,11556.4608663358,6234.03036961798,3608.66484897966,632.761891509263,0,1236.22050531886,3962.13179535195,9079.35487086876,28136.3279207951,29201.8583698644,33987.7992595802,41723.966276291,53064.9182628693,50176.3760360832,8946.11168910952,14053.4134539007,15389.6306261938,14149.3824064953
"St14",16072.3908511905,16434.466019476,16434.466019476,18115.5419162276,24415.6851675855,9974.06854774602,15523.5110784033,15847.6747470739,15526.989690362,14544.2394644405,14532.1526305672,13346.0571746803,12980.4189171407,12792.6813716547,7470.25087493684,4844.88535429853,1868.98239682813,1236.22050531886,0,2725.91129003309,7843.1343655499,26900.1074154762,27965.6378645455,32751.5787542613,40487.7457709721,51828.6977575504,48940.1555307644,10182.3321944284,12817.1929485818,14153.4101208749,15385.6029118141
"St15",13553.430119026,13915.5052873115,13915.5052873115,15596.581184063,21896.724435421,7455.10781558148,18249.4223684364,18573.586037107,18252.9009803951,17270.1507544736,17258.0639206003,16071.9684647134,15706.3302071738,15518.5926616877,10196.1621649699,7570.79664433161,4594.89368686121,3962.13179535195,2725.91129003309,0,5324.17363338536,24381.1466833117,25446.677132381,30232.6180220968,37968.7850388076,49309.7370253859,46421.1947985998,12908.2434844615,10298.2322164173,11634.4493887104,18111.5142018472
"St16",8229.25648564063,8591.33165392612,8591.33165392612,10272.4075506777,16572.5508020356,2130.93418219612,23366.6454439532,23690.8091126238,23370.1240559119,22387.3738299904,22375.2869961171,21189.1915402302,20823.5532826907,20635.8157372046,15313.3852404868,12688.0197198484,9712.11676237803,9079.35487086876,7843.1343655499,5324.17363338536,0,19056.9730499263,20122.5034989956,24908.4443887114,32644.6114054222,43985.5633920005,41097.0211652145,18025.4665599783,4974.05858303193,6310.27575532503,23228.737277364
"St25",10827.7165642856,10465.6413960002,10465.6413960002,8784.56549924861,2484.42224789071,16926.0388677302,42423.6184938795,42747.7821625501,42427.0971058382,41444.3468799167,41432.2600460434,40246.1645901565,39880.526332617,39692.7887871309,34370.3582904131,31744.9927697747,28769.0898123043,28136.3279207951,26900.1074154762,24381.1466833117,19056.9730499263,0,1065.53044906934,5851.47133878511,13587.6383554959,24928.5903420742,22040.0481152881,37082.4396099046,14082.9144668944,12788.0874061742,42285.7103272903
"St26",11893.247013355,11531.1718450695,11531.1718450695,9850.09594831796,3549.95269696005,17991.5693167995,43489.1489429488,43813.3126116194,43492.6275549075,42509.877328986,42497.7904951128,41311.6950392258,40946.0567816863,40758.3192362002,35435.8887394824,32810.5232188441,29834.6202613737,29201.8583698644,27965.6378645455,25446.677132381,20122.5034989956,1065.53044906934,0,4785.94088971577,12522.1079064266,23863.0598930049,20974.5176662188,38147.9700589739,15148.4449159637,13853.6178552435,43351.2407763596
"St27",16679.1879030708,16317.1127347853,16317.1127347853,14636.0368380337,8335.89358667582,22777.5102065153,48275.0898326646,48599.2535013352,48278.5684446233,47295.8182187018,47283.7313848285,46097.6359289416,45731.9976714021,45544.260125916,40221.8296291982,37596.4641085598,34620.5611510894,33987.7992595802,32751.5787542613,30232.6180220968,24908.4443887114,5851.47133878511,4785.94088971577,0,7765.4491750875,19106.4011616658,16217.8589348797,42933.9109486897,19934.3858056795,18639.5587449593,48137.1816660754
"St28",24415.3549197816,24053.2797514961,24053.2797514961,22372.2038547446,16072.0606033866,30513.6772232261,56011.2568493754,56335.420518046,56014.7354613341,55031.9852354126,55019.8984015394,53833.8029456524,53468.1646881129,53280.4271426268,47957.996645909,45332.6311252706,42356.7281678002,41723.966276291,40487.7457709721,37968.7850388076,32644.6114054222,13587.6383554959,12522.1079064266,7765.4491750875,0,11340.9519865783,8452.40975979221,50670.0779654005,27670.5528223903,26375.7257616701,55873.3486827862
"St30",35756.3069063599,35394.2317380744,35394.2317380744,33713.1558413229,27413.012589965,41854.6292098044,67352.2088359537,67676.3725046243,67355.6874479124,66372.9372219909,66360.8503881177,65174.7549322307,64809.1166746912,64621.3791292051,59298.9486324873,56673.583111849,53697.6801543786,53064.9182628693,51828.6977575504,49309.7370253859,43985.5633920005,24928.5903420742,23863.0598930049,19106.4011616658,11340.9519865783,0,14536.6774415099,62011.0299519788,39011.5048089686,37716.6777482484,67214.3006693644
"St29",32867.7646795738,32505.6895112883,32505.6895112883,30824.6136145368,24524.4703631789,38966.0869830183,64463.6666091676,64787.8302778382,64467.1452211263,63484.3949952048,63472.3081613316,62286.2127054446,61920.5744479051,61732.836902419,56410.4064057012,53785.0408850629,50809.1379275925,50176.3760360832,48940.1555307644,46421.1947985998,41097.0211652145,22040.0481152881,20974.5176662188,16217.8589348797,8452.40975979221,14536.6774415099,0,59122.4877251927,36122.9625821825,34828.1355214623,64325.7584425784
"St9",26254.7230456189,26616.7982139044,26616.7982139044,28297.874110656,34598.0173620139,20156.4007421744,5382.56899554779,5706.73266421839,5386.04760750648,4403.29738158499,4391.21054771175,3205.1150918248,2839.47683428528,2651.73928879919,2870.60006457263,5513.13979039145,8313.34979760026,8946.11168910952,10182.3321944284,12908.2434844615,18025.4665599783,37082.4396099046,38147.9700589739,42933.9109486897,50670.0779654005,62011.0299519788,59122.4877251927,0,22999.5251430102,24335.7423153033,5244.66082895865
"St18.1",3255.19790260871,3617.2730708942,3617.2730708942,5298.34896764573,11598.4922190036,2843.1244008358,28340.7040269851,28664.8676956557,28344.1826389438,27361.4324130223,27349.3455791491,26163.2501232621,25797.6118657226,25609.8743202365,20287.4438235187,17662.0783028804,14686.17534541,14053.4134539007,12817.1929485818,10298.2322164173,4974.05858303193,14082.9144668944,15148.4449159637,19934.3858056795,27670.5528223903,39011.5048089686,36122.9625821825,22999.5251430102,0,1336.21717229311,28202.795860396
"St19",1960.37084188852,2322.44601017401,2322.44601017401,4003.52190692555,10303.6651582835,4179.34157312891,29676.9211992782,30001.0848679488,29680.3998112369,28697.6495853154,28685.5627514422,27499.4672955552,27133.8290380157,26946.0914925296,21623.6609958118,18998.2954751735,16022.3925177031,15389.6306261938,14153.4101208749,11634.4493887104,6310.27575532503,12788.0874061742,13853.6178552435,18639.5587449593,26375.7257616701,37716.6777482484,34828.1355214623,24335.7423153033,1336.21717229311,0,29539.0130326891
"St0",31457.9937630047,31820.0689312902,31820.0689312902,33501.1448280417,39801.2880793996,25359.6714595602,532.659627916027,915.387613339794,741.113348512778,1006.92389366799,894.840392819815,2039.54573713467,2405.18399467392,2592.92154016028,8115.26089353128,10716.4105077772,13516.620514986,14149.3824064953,15385.6029118141,18111.5142018472,23228.737277364,42285.7103272903,43351.2407763596,48137.1816660754,55873.3486827862,67214.3006693644,64325.7584425784,5244.66082895865,28202.795860396,29539.0130326891,0
