"","BenMerwede_BHardinx","BergscheMaas_CVeer","DeNoord_Kinderdijk","DKil_s'Gravendeel","GrensMaas_Bharen_vis","GrensMaas_Itteren","GrensMaas_Sweert","Hartelkanaal_Europoort","HV_Stellendam_noord","HV_Stellendam_zuid","Maas_Afferden","Maas_Alphen_wkc","Maas_Alphen_wkc_ben","Maas_Balgoij","Maas_Belfeld_bov","Maas_Belfeld_vistrap","Maas_Buggenum","Maas_Grave_bov","Maas_Grave_vistrap","Maas_Linne_dorp","Maas_Linne_stuw_ben","Maas_Linne_stuw_bov","Maas_Linne_visgeleiding","Maas_Linne_vistrap","Maas_Linne_wkc","Maas_Linne_wkc_ben","Maas_Lith_dorp","Maas_Lith_stuw_ben","Maas_Lith_vistrap","Maas_Maastricht","Maas_Megen","Maas_Roermond_bov","Maas_Roermond_vistra","Maas_Sambeek","Maas_Sambeek_ben_stu","Maas_Steyl","NieuweWaterweg_Europoort","OudeMaas_Spijkenisse","Spui_Zuidland","rel_nedap_meuse"
"Maas_Afferden",106006.201434786,94507.3403861923,119029.51267657,119036.350356928,108309.934336711,74562.2140539103,74562.2140539103,159612.739359522,163063.223493226,163197.422236011,0,54444.3516677241,54544.3248847934,31096.2526621158,45372.3010304625,44665.283809587,58721.9296928071,28716.7115753875,29423.7287962629,68071.1140150157,67726.5243612691,67809.3283507064,67726.5243612691,67809.3283507064,68071.1140150157,67726.5243612691,55985.3801508694,54585.7551118991,54344.3784506547,108827.139044013,44847.6870459769,62311.7914878992,61253.177538597,1631.09363874642,1672.5238658522,42841.0531846726,158186.460517258,133734.041853028,145208.442332985,78241.7175187973
"Maas_Alphen_wkc",51561.849767062,40062.9887184678,64585.1610088452,64591.9986892038,162578.572337382,128830.852054583,128830.852054583,105168.387691799,108618.871825503,108753.070568288,54444.3516677241,0,99.9732170692878,23348.0990056082,99640.9390311351,98933.9218102597,112990.56769348,25727.6400923365,25020.6228714611,122339.752015688,121995.162361942,122077.966351379,121995.162361942,122077.966351379,122339.752015688,121995.162361942,1541.02848314533,141.403444175068,99.9732170694042,163095.777044684,9596.66462174712,116580.429488572,115521.81553927,52813.2580289777,52771.8278018719,97109.6911853452,103742.108849534,79289.6901853037,90764.0906652607,132510.35551947
"Maas_Alphen_wkc_ben",51461.8765499927,39963.0155013985,64485.1877917759,64492.0254721345,162678.545554452,128930.825271652,128930.825271652,105068.414474729,108518.898608433,108653.097351219,54544.3248847934,99.9732170692878,0,23448.0722226774,99740.9122482044,99033.895027329,113090.540910549,25827.6133094058,25120.5960885304,122439.725232758,122095.135579011,122177.939568448,122095.135579011,122177.939568448,122439.725232758,122095.135579011,1441.05526607604,100.001449456438,199.946434138692,163195.750261753,9696.63783881641,116680.402705641,115621.788756339,52913.2312460469,52871.8010189412,97209.6644024145,103642.135632465,79189.7169682345,90664.1174481914,132610.328736539
"Maas_Balgoij",74909.9487726701,63411.087724076,87933.2600144534,87940.097694812,139230.473331775,105482.753048975,105482.753048975,128516.486697407,131966.970831111,132101.169573896,31096.2526621158,23348.0990056082,23448.0722226774,0,76292.8400255266,75585.8228046511,89642.4686878713,2379.54108672835,1672.52386585293,98991.6530100799,98647.0633563334,98729.8673457707,98647.0633563334,98729.8673457707,98991.6530100799,98647.0633563334,24889.1274887534,23489.5024497832,23248.1257885387,139747.678039076,13751.4343838611,93232.3304829634,92173.7165336612,29465.1590233694,29423.7287962636,73761.5921797367,127090.207855143,102637.789190912,114112.189670869,109162.256513862
"Maas_Belfeld_bov",151202.788798197,139703.927749603,164226.10003998,164232.937720339,62937.6333062482,29189.9130234474,29189.9130234474,204809.326722932,208259.810856636,208394.009599421,45372.3010304625,99640.9390311351,99740.9122482044,76292.8400255266,0,707.017220875422,13349.6286623446,73913.2989387982,74620.3161596736,22698.812984553,22354.2233308065,22437.0273202438,22354.2233308065,22437.0273202438,22698.812984553,22354.2233308065,101181.96751428,99782.34247531,99540.9658140656,63454.8380135496,90044.2744093878,16939.4904574367,15880.8765081345,46827.6810021569,46869.1112292627,2531.24784578983,203383.047880667,178930.629216437,190405.029696393,32869.4164883345
"Maas_Belfeld_vistrap",150495.771577322,138996.910528728,163519.082819105,163525.920499463,63644.6505271236,29896.9302443228,29896.9302443228,204102.309502057,207552.79363576,207686.992378546,44665.283809587,98933.9218102597,99033.895027329,75585.8228046511,707.017220875422,0,14056.64588322,73206.2817179228,73913.2989387982,23405.8302054285,23061.240551682,23144.0445411192,23061.240551682,23144.0445411192,23405.8302054285,23061.240551682,100474.950293405,99075.3252544346,98833.9485931902,64161.855234425,89337.2571885124,17646.5076783121,16587.8937290099,46120.6637812815,46162.0940083873,1824.23062491441,202676.030659791,178223.611995562,189698.012475518,33576.4337092099
"Maas_Buggenum",164552.417460542,153053.556411947,177575.728702325,177582.566382683,49588.0046439036,15840.2843611029,15840.2843611029,218158.955385276,221609.43951898,221743.638261766,58721.9296928071,112990.56769348,113090.540910549,89642.4686878713,13349.6286623446,14056.64588322,0,87262.927601143,87969.9448220184,9349.18432220853,9004.59466846203,9087.39865789929,9004.59466846203,9087.39865789929,9349.18432220853,9004.59466846203,114531.596176625,113131.971137655,112890.59447641,50105.209351205,103393.903071733,3589.86179509211,2531.24784578991,60177.3096645016,60218.7398916074,15880.8765081344,216732.676543011,192280.257878781,203754.658358737,19519.78782599
"Maas_Grave_bov",77289.4898593985,65790.6288108044,90312.8011011818,90319.6387815404,136850.932245047,103103.211962246,103103.211962246,130896.027784135,134346.511917839,134480.710660624,28716.7115753875,25727.6400923365,25827.6133094058,2379.54108672835,73913.2989387982,73206.2817179228,87262.927601143,0,707.017220875422,96612.1119233515,96267.522269605,96350.3262590423,96267.522269605,96350.3262590423,96612.1119233515,96267.522269605,27268.6685754818,25869.0435365115,25627.6668752671,137368.136952348,16130.9754705894,90852.789396235,89794.1754469328,27085.6179366411,27044.1877095353,71382.0510930083,129469.748941871,105017.330277641,116491.730757598,106782.715427133
"Maas_Grave_vistrap",76582.4726385231,65083.611589929,89605.7838803064,89612.6215606649,137557.949465922,103810.229183122,103810.229183122,130189.01056326,133639.494696964,133773.693439749,29423.7287962629,25020.6228714611,25120.5960885304,1672.52386585293,74620.3161596736,73913.2989387982,87969.9448220184,707.017220875422,0,97319.129144227,96974.5394904804,97057.3434799177,96974.5394904804,97057.3434799177,97319.129144227,96974.5394904804,26561.6513546064,25162.0263156361,24920.6496543917,138075.154173224,15423.958249714,91559.8066171105,90501.1926678083,27792.6351575165,27751.2049304107,72089.0683138837,128762.731720996,104310.313056765,115784.713536722,107489.732648009
"Maas_Linne_dorp",173901.60178275,162402.740734155,186924.913024533,186931.750704891,42917.3582823966,9169.63799959605,9169.63799959605,227508.139707485,230958.623841189,231092.822583974,68071.1140150157,122339.752015688,122439.725232758,98991.6530100799,22698.812984553,23405.8302054285,9349.18432220853,96612.1119233515,97319.129144227,0,1631.09363874723,1831.0400728858,1631.09363874723,1831.0400728858,0,1631.09363874723,123880.780498834,122481.155459863,122239.778798619,43434.562989698,112743.087393941,5993.60741651926,6935.0789211199,69526.4939867101,69567.924213816,25230.0608303429,226081.860865219,201629.442200989,213103.842680946,12849.1414644831
"Maas_Linne_stuw_ben",173557.012129003,162058.151080409,186580.323370786,186587.161051145,41286.2646436494,7538.54436084882,7538.54436084882,227163.550053738,230614.034187442,230748.232930227,67726.5243612691,121995.162361942,122095.135579011,98647.0633563334,22354.2233308065,23061.240551682,9004.59466846203,96267.522269605,96974.5394904804,1631.09363874723,0,199.946434138576,0,199.946434138576,1631.09363874723,0,123536.190845087,122136.565806117,121895.189144873,41803.4693509508,112398.497740195,5649.01776277276,6590.4892673734,69181.9043329637,69223.3345600695,24885.4711765964,225737.271211472,201284.852547242,212759.253027199,11218.0478257359
"Maas_Linne_stuw_bov",173639.816118441,162140.955069846,186663.127360224,186669.965040582,41086.3182095108,7338.59792671025,7338.59792671025,227246.354043175,230696.838176879,230831.036919665,67809.3283507064,122077.966351379,122177.939568448,98729.8673457707,22437.0273202438,23144.0445411192,9087.39865789929,96350.3262590423,97057.3434799177,1831.0400728858,199.946434138576,0,199.946434138576,0,1831.0400728858,199.946434138576,123618.994834524,122219.369795554,121977.99313431,41603.5229168122,112481.301729632,5731.82175221029,6673.29325681066,69264.7083224009,69306.1385495067,24968.2751660336,225820.075200909,201367.65653668,212842.057016636,11018.1013915973
"Maas_Linne_visgeleiding",173557.012129003,162058.151080409,186580.323370786,186587.161051145,41286.2646436494,7538.54436084882,7538.54436084882,227163.550053738,230614.034187442,230748.232930227,67726.5243612691,121995.162361942,122095.135579011,98647.0633563334,22354.2233308065,23061.240551682,9004.59466846203,96267.522269605,96974.5394904804,1631.09363874723,0,199.946434138576,0,199.946434138576,1631.09363874723,0,123536.190845087,122136.565806117,121895.189144873,41803.4693509508,112398.497740195,5649.01776277276,6590.4892673734,69181.9043329637,69223.3345600695,24885.4711765964,225737.271211472,201284.852547242,212759.253027199,11218.0478257359
"Maas_Linne_vistrap",173639.816118441,162140.955069846,186663.127360224,186669.965040582,41086.3182095108,7338.59792671025,7338.59792671025,227246.354043175,230696.838176879,230831.036919665,67809.3283507064,122077.966351379,122177.939568448,98729.8673457707,22437.0273202438,23144.0445411192,9087.39865789929,96350.3262590423,97057.3434799177,1831.0400728858,199.946434138576,0,199.946434138576,0,1831.0400728858,199.946434138576,123618.994834524,122219.369795554,121977.99313431,41603.5229168122,112481.301729632,5731.82175221029,6673.29325681066,69264.7083224009,69306.1385495067,24968.2751660336,225820.075200909,201367.65653668,212842.057016636,11018.1013915973
"Maas_Linne_wkc",173901.60178275,162402.740734155,186924.913024533,186931.750704891,42917.3582823966,9169.63799959605,9169.63799959605,227508.139707485,230958.623841189,231092.822583974,68071.1140150157,122339.752015688,122439.725232758,98991.6530100799,22698.812984553,23405.8302054285,9349.18432220853,96612.1119233515,97319.129144227,0,1631.09363874723,1831.0400728858,1631.09363874723,1831.0400728858,0,1631.09363874723,123880.780498834,122481.155459863,122239.778798619,43434.562989698,112743.087393941,5993.60741651926,6935.0789211199,69526.4939867101,69567.924213816,25230.0608303429,226081.860865219,201629.442200989,213103.842680946,12849.1414644831
"Maas_Linne_wkc_ben",173557.012129003,162058.151080409,186580.323370786,186587.161051145,41286.2646436494,7538.54436084882,7538.54436084882,227163.550053738,230614.034187442,230748.232930227,67726.5243612691,121995.162361942,122095.135579011,98647.0633563334,22354.2233308065,23061.240551682,9004.59466846203,96267.522269605,96974.5394904804,1631.09363874723,0,199.946434138576,0,199.946434138576,1631.09363874723,0,123536.190845087,122136.565806117,121895.189144873,41803.4693509508,112398.497740195,5649.01776277276,6590.4892673734,69181.9043329637,69223.3345600695,24885.4711765964,225737.271211472,201284.852547242,212759.253027199,11218.0478257359
"Maas_Lith_dorp",50020.8212839166,38521.9602353225,63044.1325256999,63050.9702060584,164119.600820528,130371.880537728,130371.880537728,103627.359208653,107077.843342357,107212.042085143,55985.3801508694,1541.02848314533,1441.05526607604,24889.1274887534,101181.96751428,100474.950293405,114531.596176625,27268.6685754818,26561.6513546064,123880.780498834,123536.190845087,123618.994834524,123536.190845087,123618.994834524,123880.780498834,123536.190845087,0,1399.62503897026,1641.0017002147,164636.805527829,11137.6931048924,118121.457971717,117062.844022415,54354.2865121229,54312.8562850172,98650.7196684905,102201.080366389,77748.6617021584,89223.0621821154,134051.384002615
"Maas_Lith_stuw_ben",51420.4463228869,39921.5852742928,64443.7575646701,64450.5952450287,162719.975781557,128972.255498758,128972.255498758,105026.984247624,108477.468381327,108611.667124113,54585.7551118991,141.403444175068,100.001449456438,23489.5024497832,99782.34247531,99075.3252544346,113131.971137655,25869.0435365115,25162.0263156361,122481.155459863,122136.565806117,122219.369795554,122136.565806117,122219.369795554,122481.155459863,122136.565806117,1399.62503897026,0,241.376661244438,163237.180488859,9738.06806592215,116721.832932747,115663.218983445,52954.6614731527,52913.2312460469,97251.0946295203,103600.705405359,79148.2867411287,90622.6872210857,132651.758963645
"Maas_Lith_vistrap",51661.8229841313,40162.9619355372,64685.1342259146,64691.9719062731,162478.599120313,128730.878837514,128730.878837514,105268.360908868,108718.845042572,108853.043785357,54344.3784506547,99.9732170694042,199.946434138692,23248.1257885387,99540.9658140656,98833.9485931902,112890.59447641,25627.6668752671,24920.6496543917,122239.778798619,121895.189144873,121977.99313431,121895.189144873,121977.99313431,122239.778798619,121895.189144873,1641.0017002147,241.376661244438,0,162995.803827614,9496.69140467772,116480.456271503,115421.8423222,52713.2848119082,52671.8545848025,97009.7179682758,103842.082066604,79389.6634023731,90864.0638823301,132410.382302401
"Maas_Maastricht",214657.626811745,203158.76576315,227680.938053528,227687.775733886,682.812686175889,37199.7483062564,37199.7483062564,268264.16473648,271714.648870184,271848.847612969,108827.139044013,163095.777044684,163195.750261753,139747.678039076,63454.8380135496,64161.855234425,50105.209351205,137368.136952348,138075.154173224,43434.562989698,41803.4693509508,41603.5229168122,41803.4693509508,41603.5229168122,43434.562989698,41803.4693509508,164636.805527829,163237.180488859,162995.803827614,0,153499.112422937,47276.7734466718,47691.1039501166,110282.519015707,110323.949242813,65986.0858593394,266837.885894214,242385.467229983,253859.86770994,36543.7305853085
"Maas_Megen",61158.514388809,49659.6533402149,74181.8256305923,74188.6633109509,152981.907715636,119234.187432836,119234.187432836,114765.052313546,118215.53644725,118349.735190035,44847.6870459769,9596.66462174712,9696.63783881641,13751.4343838611,90044.2744093878,89337.2571885124,103393.903071733,16130.9754705894,15423.958249714,112743.087393941,112398.497740195,112481.301729632,112398.497740195,112481.301729632,112743.087393941,112398.497740195,11137.6931048924,9738.06806592215,9496.69140467772,153499.112422937,0,106983.764866825,105925.150917523,43216.5934072305,43175.1631801247,87513.026563598,113338.773471282,88886.354807051,100360.755287008,122913.690897723
"Maas_Roermond_bov",168142.279255634,156643.418207039,181165.590497417,181172.428177775,46759.5687393705,13011.8484565699,13011.8484565699,221748.817180368,225199.301314072,225333.500056858,62311.7914878992,116580.429488572,116680.402705641,93232.3304829634,16939.4904574367,17646.5076783121,3589.86179509211,90852.789396235,91559.8066171105,5993.60741651926,5649.01776277276,5731.82175221029,5649.01776277276,5731.82175221029,5993.60741651926,5649.01776277276,118121.457971717,116721.832932747,116480.456271503,47276.7734466718,106983.764866825,0,1141.41793873945,63767.1714595937,63808.6016866995,19470.7383032265,220322.538338103,195870.119673873,207344.520153829,16691.3519214569
"Maas_Roermond_vistra",167083.665306332,155584.804257737,180106.976548114,180113.814228473,47173.8992428152,13426.1789600146,13426.1789600146,220690.203231066,224140.68736477,224274.886107556,61253.177538597,115521.81553927,115621.788756339,92173.7165336612,15880.8765081345,16587.8937290099,2531.24784578991,89794.1754469328,90501.1926678083,6935.0789211199,6590.4892673734,6673.29325681066,6590.4892673734,6673.29325681066,6935.0789211199,6590.4892673734,117062.844022415,115663.218983445,115421.8423222,47691.1039501166,105925.150917523,1141.41793873945,0,62708.5575102915,62749.9877373973,18412.1243539243,219263.9243888,194811.505724571,206285.906204527,17105.6824249017
"Maas_Sambeek",104375.10779604,92876.2467474458,117398.419037823,117405.256718182,109765.314308406,76017.5940256047,76017.5940256047,157981.645720775,161432.129854479,161566.328597265,1631.09363874642,52813.2580289777,52913.2312460469,29465.1590233694,46827.6810021569,46120.6637812815,60177.3096645016,27085.6179366411,27792.6351575165,69526.4939867101,69181.9043329637,69264.7083224009,69181.9043329637,69264.7083224009,69526.4939867101,69181.9043329637,54354.2865121229,52954.6614731527,52713.2848119082,110282.519015707,43216.5934072305,63767.1714595937,62708.5575102915,0,100.001449456438,44296.4331563671,156555.366878512,132102.948214282,143577.348694239,79697.0974904918
"Maas_Sambeek_ben_stu",104333.677568934,92834.81652034,117356.988810717,117363.826491076,109806.744535511,76059.0242527105,76059.0242527105,157940.21549367,161390.699627373,161524.898370159,1672.5238658522,52771.8278018719,52871.8010189412,29423.7287962636,46869.1112292627,46162.0940083873,60218.7398916074,27044.1877095353,27751.2049304107,69567.924213816,69223.3345600695,69306.1385495067,69223.3345600695,69306.1385495067,69567.924213816,69223.3345600695,54312.8562850172,52913.2312460469,52671.8545848025,110323.949242813,43175.1631801247,63808.6016866995,62749.9877373973,100.001449456438,0,44337.8633834729,156513.936651406,132061.517987176,143535.918467133,79738.5277175976
"Maas_Steyl",148671.540952407,137172.679903813,161694.85219419,161701.689874549,65468.881152038,31721.1608692372,31721.1608692372,202278.078877142,205728.563010846,205862.761753631,42841.0531846726,97109.6911853452,97209.6644024145,73761.5921797367,2531.24784578983,1824.23062491441,15880.8765081344,71382.0510930083,72089.0683138837,25230.0608303429,24885.4711765964,24968.2751660336,24885.4711765964,24968.2751660336,25230.0608303429,24885.4711765964,98650.7196684905,97251.0946295203,97009.7179682758,65986.0858593394,87513.026563598,19470.7383032265,18412.1243539243,44296.4331563671,44337.8633834729,0,200851.800034877,176399.381370647,187873.781850604,35400.6643341243
"NieuweWaterweg_Europoort",52180.2590824722,75122.118324021,39825.520518407,42520.0117716398,266320.681186912,232572.960904113,232572.960904113,9658.39092236871,27581.0565438427,27715.2552866281,158186.460517258,103742.108849534,103642.135632465,127090.207855143,203383.047880667,202676.030659791,216732.676543011,129469.748941871,128762.731720996,226081.860865219,225737.271211472,225820.075200909,225737.271211472,225820.075200909,226081.860865219,225737.271211472,102201.080366389,103600.705405359,103842.082066604,266837.885894214,113338.773471282,220322.538338103,219263.9243888,156555.366878512,156513.936651406,200851.800034877,0,24452.4186642305,22898.533559595,236252.464369001
"OudeMaas_Spijkenisse",27727.8404182416,50669.6996597903,26292.1334650906,18067.5931074093,241868.262522682,208120.542239883,208120.542239883,25878.6975064946,29436.3313262709,29570.5300690564,133734.041853028,79289.6901853037,79189.7169682345,102637.789190912,178930.629216437,178223.611995562,192280.257878781,105017.330277641,104310.313056765,201629.442200989,201284.852547242,201367.65653668,201284.852547242,201367.65653668,201629.442200989,201284.852547242,77748.6617021584,79148.2867411287,79389.6634023731,242385.467229983,88886.354807051,195870.119673873,194811.505724571,132102.948214282,132061.517987176,176399.381370647,24452.4186642305,0,13795.483273883,211800.045704772
"Spui_Zuidland",39202.2408981985,61565.753120414,37766.5339450476,29541.9935873662,253342.663002639,219594.942719839,219594.942719839,23446.2440665988,18030.4948272935,18164.6935700789,145208.442332985,90764.0906652607,90664.1174481914,114112.189670869,190405.029696393,189698.012475518,203754.658358737,116491.730757598,115784.713536722,213103.842680946,212759.253027199,212842.057016636,212759.253027199,212842.057016636,213103.842680946,212759.253027199,89223.0621821154,90622.6872210857,90864.0638823301,253859.86770994,100360.755287008,207344.520153829,206285.906204527,143577.348694239,143535.918467133,187873.781850604,22898.533559595,13795.483273883,0,223274.446184729
"rel_nedap_meuse",184072.205286531,172573.344237937,197095.516528314,197102.354208672,36026.5258780072,3738.07468723775,3738.07468723775,237678.743211266,241129.22734497,241263.426087755,78241.7175187973,132510.35551947,132610.328736539,109162.256513862,32869.4164883345,33576.4337092099,19519.78782599,106782.715427133,107489.732648009,12849.1414644831,11218.0478257359,11018.1013915973,11218.0478257359,11018.1013915973,12849.1414644831,11218.0478257359,134051.384002615,132651.758963645,132410.382302401,36543.7305853085,122913.690897723,16691.3519214569,17105.6824249017,79697.0974904918,79738.5277175976,35400.6643341243,236252.464369001,211800.045704772,223274.446184729,0
