"","gn-14","gn-13","gn-11","gn-10","gn-9","gn-7","gn-6","gn-5","gn-4","gn-3","gn-2","gn-1","bn-3","bn-2","bn-1","bn-Walem","ru-1","me-7-2b","s-9a","s-10a","ak-41","s-12","ws-53A","ws-borssele","ws-WN2","rel_grotenete1","s-8","s-8a","s-9","s-STD3","ws-42A","ws-HW6","ws-18","ws-16","ws-12A","ws-15","ws-6","s-7","s-6","ws-55","ws-13","s-11","ws-PVTSS","ws-4","gn-8","ws-F42","ws-OGDL","ws-OG10","ws-11","ws-15A","ws-A1","ws-W7","ws-A3","ws-2C","s-4c","s-4b","s-4a","s-5","ws-25A","ws-TRAWL","ws-F53","ws-12","ws-14","ws-A5","ws-STEEN","ws-25B","ws-23","ws-PPC","rel_grotenete3","ws-DL12","rel_grotenete2","ws-DL7","ws-25","ws-53"
"ws-borssele",150210.858381889,147962.323692471,143623.945948121,142516.883896599,139719.936164689,129902.055254621,126605.100243508,119979.711170479,115558.589749694,111371.752630117,109233.342315838,108809.089199415,107043.465505853,104970.742958677,100676.753373546,96082.8078697109,88657.6332444409,85212.1741165641,72703.9246291292,65237.196482574,65095.7787770998,50683.8150915457,25988.1880826241,0,17106.0030175571,151259.367526417,78352.5007423276,78652.5051098496,72945.3437904439,46828.1949217953,26826.6844434122,26865.2337558993,12389.1851591305,11109.3474733755,9139.59021682185,5082.90529130127,4831.39550989958,86104.8827881609,88053.3162124219,26088.1814636618,2782.87180696556,50925.2423276635,3424.29679164376,4089.96906938139,134840.280237956,27175.2237710699,14848.9644143338,15604.6202010525,2241.44827812867,6072.82922962105,7138.50733072205,18434.456411477,8169.84751867552,1972.76954015355,95861.4730509355,98451.3960582976,101789.831917468,93205.8784260774,10995.1893445614,16647.4604368049,25936.7538861301,8125.41898544189,10053.7599923612,9301.18916246957,17965.9039586683,12175.0255744758,10115.3574821689,9652.70039971257,150252.274631523,15731.7601115085,150452.277543205,17880.1802978444,10788.1080963933,26136.7406482055
"ws-WN2",166726.886760869,164478.352071451,160139.974327101,159032.912275578,156235.964543669,146418.0836336,143121.128622487,136495.739549459,132074.618128674,127887.781009096,125749.370694817,125325.117578394,123559.493884832,121486.771337656,117192.781752525,112598.83624869,105173.66162342,101728.202495543,89219.9530081083,81753.2248615531,81611.8071560788,67199.843470525,42504.2164616033,17106.0030175571,0,167775.395905396,94868.5291213069,95168.5334888289,89461.3721694232,63344.2233007745,43342.7128223915,43381.2621348785,28202.2879612602,26512.4103556763,23956.8817850817,18962.9627570954,19355.8014211389,102620.91116714,104569.344591401,42604.209842641,18010.2032950543,67441.2707066427,18358.7426227119,18965.8377690454,151356.308616935,43691.2521500491,5449.62697080308,6566.81194162437,17703.0882918339,19952.8866954151,20725.6791394955,2207.11036498173,21815.5964588531,18254.4893935163,112377.501429915,114967.424437277,118305.860296447,109721.906805057,25636.7495186089,1307.09726241526,42452.7822651094,22708.4020280853,25163.9372176416,22946.9381026471,2924.28951244048,27285.2027997561,24112.5692107711,22595.5237630408,166768.303010502,5318.29988541558,166968.305922184,5131.39987742097,25136.7826134202,42652.7690271848
"rel_grotenete1",1048.50914452691,3438.45346461651,7635.42157829526,8742.48362981734,11598.0084931311,21357.3122717955,24654.2672829083,31338.2334873408,35783.6264255948,39887.614896299,42026.0252105782,42450.2783270017,44215.902020563,46288.624567739,50582.6141528701,55176.5596567057,62601.7342819758,66047.1934098527,78555.4428972876,86022.1710438428,86163.588749317,100575.552434871,125685.422688158,151259.367526417,167775.395905396,0,72906.866784089,72606.8624165671,78314.0237359727,104431.172604621,125923.958762719,126962.441885584,143052.751196807,144162.68826028,145806.881693269,148812.4331483,148419.594484257,75006.6470378515,76955.0804621126,125171.186062754,149765.192610341,100616.976759307,149416.653282684,148809.55813635,16419.0872884603,126072.511328301,165932.600546538,166688.256333257,150072.307613562,148402.449752092,148375.295147871,167446.876321853,147865.318370625,149520.906511879,84763.2373006262,87353.1603079883,90691.5961671582,82107.6426757681,145286.895043966,167731.096569009,126233.94877789,146558.269557027,145014.069505075,147396.765917815,166812.626571298,144135.533656058,146562.529405185,148245.272150661,1007.09289489321,166815.396243713,807.089983211903,168963.816430049,145786.861949155,126033.962015814
"s-8",71858.3576395621,69609.8229501439,65271.4452057938,64164.3831542717,61367.4354223621,51549.5545122935,48252.5995011807,41627.2104281522,37206.0890073672,33019.2518877899,30880.8415735107,30456.5884570872,28690.9647635259,26618.24221635,22324.2526312189,17730.3071273833,10305.1325021133,6859.67337423643,5648.57611319853,13115.3042597538,13256.7219652281,27668.6856507821,52778.5559040692,78352.5007423276,94868.5291213069,72906.866784089,0,300.004367521964,5407.15695188369,31524.3058205325,53017.091978631,54055.5751014953,70145.884412719,71255.8214761913,72900.0149091807,75905.5663642117,75512.7277001681,7752.38204583329,9700.81547009435,52264.319278666,76858.3258262527,27710.1099752186,76509.7864985951,75902.6913522616,56487.7794956288,53165.6445442131,93025.7337624489,93781.3895491677,77165.4408294731,75495.5829680035,75468.4283637821,94540.0095377639,74958.4515865361,76614.0397277907,17508.9723086081,20098.8953159701,23437.3311751401,14853.37768375,72380.028259878,94824.2297849201,53327.0819938015,73651.4027729386,72107.2027209862,74489.8991337268,93905.759787209,71228.6668719692,73655.6626210965,75338.4053665729,71899.7738891959,93908.5294596237,72099.7768008772,96056.9496459595,72879.9951650666,53127.0952317261
"s-8a",71558.3532720402,69309.8185826219,64971.4408382719,63864.3787867498,61067.4310548401,51249.5501447715,47952.5951336587,41327.2060606302,36906.0846398452,32719.2475202679,30580.8372059887,30156.5840895653,28390.960396004,26318.237848828,22024.2482636969,17430.3027598614,10005.1281345913,6559.66900671446,5948.58048072049,13415.3086272758,13556.7263327501,27968.6900183041,53078.5602715911,78652.5051098496,95168.5334888289,72606.8624165671,300.004367521964,0,5707.16131940565,31824.3101880544,53317.0963461529,54355.5794690172,70445.8887802409,71555.8258437132,73200.0192767027,76205.5707317337,75812.7320676901,7452.37767831132,9400.81110257238,52564.323646188,77158.3301937747,28010.1143427406,76809.7908661171,76202.6957197836,56187.7751281068,53465.6489117351,93325.7381299709,94081.3939166896,77465.4451969951,75795.5873355255,75768.4327313041,94840.0139052858,75258.455954058,76914.0440953126,17208.9679410861,19798.8909484482,23137.3268076182,14553.373316228,72680.0326273999,95124.2341524421,53627.0863613235,73951.4071404606,72407.2070885081,74789.9035012487,94205.764154731,71528.6712394912,73955.6669886184,75638.4097340948,71599.7695216739,94208.5338271456,71799.7724333552,96356.9540134815,73179.9995325885,53427.099599248
"s-9",77265.5145914458,75016.9799020275,70678.6021576775,69571.5401061554,66774.5923742458,56956.7114641772,53659.7564530644,47034.3673800359,42613.2459592509,38426.4088396736,36287.9985253944,35863.7454089709,34098.1217154096,32025.3991682336,27731.4095831025,23137.464079267,15712.289453997,12266.8303261201,241.419161314839,7708.14730787013,7849.5650133444,22261.5286988984,47371.3989521854,72945.3437904439,89461.3721694232,78314.0237359727,5407.15695188369,5707.16131940565,0,26117.1488686488,47609.9350267473,48648.4181496116,64738.7274608353,65848.6645243076,67492.857957297,70498.4094123281,70105.5707482845,13159.538997717,15107.972421978,46857.1623267823,71451.168874369,22302.953023335,71102.6295467114,70495.5344003779,61894.9364475125,47758.4875923294,87618.5768105652,88374.232597284,71758.2838775894,70088.4260161198,70061.2714118984,89132.8525858802,69551.2946346524,71206.882775907,22916.1292604917,25506.0522678538,28844.4881270238,20260.5346356336,66972.8713079943,89417.0728330364,47919.9250419178,68244.2458210549,66700.0457691025,69082.7421818431,88498.6028353253,65821.5099200855,68248.5056692128,69931.2484146892,77306.9308410796,88501.37250774,77506.9337527609,90649.7926940759,67472.8382131829,47719.9382798424
"s-STD3",103382.663460094,101134.128770676,96795.751026326,95688.688974804,92891.7412428944,83073.8603328259,79776.9053217132,73151.5162486848,68730.3948278998,64543.5577083226,62405.1473940434,61980.8942776199,60215.2705840586,58142.5480368826,53848.5584517515,49254.6129479159,41829.4383226458,38383.9791947689,25875.729707334,18409.0015607787,18267.5838553044,3855.62016975038,21254.2500835365,46828.1949217953,63344.2233007745,104431.172604621,31524.3058205325,31824.3101880544,26117.1488686488,0,21492.7861580984,22531.2692809627,38621.5785921863,39731.5156556586,41375.7090886481,44381.2605436792,43988.4218796356,39276.6878663658,41225.1212906268,20740.0134581334,45334.0200057202,4097.04740586822,44985.4806780626,44378.3855317291,88012.085316161,21641.3387236806,61501.4279419167,62257.0837286355,45641.1350089406,43971.2771474709,43944.1225432495,63015.7037172317,43434.1457660035,45089.7339072582,49033.2781291406,51623.2011365027,54961.6369956727,46377.6835042825,40855.7224393453,63299.9239643879,21802.776173269,42127.096952406,40582.8969004535,42965.5933131942,62381.4539666768,39704.3610514366,42131.3568005639,43814.0995460403,103424.079709728,62384.2236390915,103624.082621409,64532.6438254274,41355.689344534,21602.7894111935
"ws-42A",124875.449618192,122626.914928774,118288.537184424,117181.475132902,114384.527400992,104566.646490924,101269.691479811,94644.3024067828,90223.1809859979,86036.3438664206,83897.9335521415,83473.680435718,81708.0567421567,79635.3341949808,75341.3446098498,70747.3991060143,63322.2244807443,59876.7653528674,47368.5158654324,39901.7877188771,39760.3700134028,25348.4063278487,1424.26767482934,26826.6844434122,43342.7128223915,125923.958762719,53017.091978631,53317.0963461529,47609.9350267473,21492.7861580984,0,1507.10017409723,18620.0681138033,19730.0051772756,21374.1986102651,24379.7500652962,23986.9114012526,60769.4740244644,62717.9074487254,2382.86598360228,25332.5095273372,25589.8335639666,24983.9701996795,24376.8750533461,109504.871474259,641.424984678198,41499.9174635336,42255.5732502524,25639.6245305576,23969.7666690879,23942.6120648665,43014.1932388486,23432.6352876205,25088.2234288751,70526.064287239,73115.987294601,76454.423153771,67870.4696623809,20854.2119609623,43298.4134860049,948.507688686251,22125.586474023,20581.3864220705,22964.0828348112,42379.9434882937,19702.8505730535,22129.8463221808,23812.5890676573,124916.865867826,42382.7131607084,125116.868779507,44531.1333470443,21354.1788661509,865.675189419029
"ws-HW6",125913.932741057,123665.398051638,119327.020307288,118219.958255766,115423.010523857,105605.129613788,102308.174602675,95682.7855296471,91261.6641088621,87074.8269892849,84936.4166750058,84512.1635585823,82746.539865021,80673.8173178451,76379.8277327141,71785.8822288786,64360.7076036086,60915.2484757317,48406.9989882967,40940.2708417414,40798.8531362671,26386.8894507131,2682.8703511249,26865.2337558993,43381.2621348785,126962.441885584,54055.5751014953,54355.5794690172,48648.4181496116,22531.2692809627,1507.10017409723,0,18658.6174262904,19768.5544897626,21412.7479227521,24418.2993777832,24025.4607137396,61807.9571473287,63756.3905715897,3724.30115916506,25371.0588398242,26628.3166868309,25022.5195121666,24415.4243658331,110543.354597123,948.507688686251,41538.4667760207,42294.1225627395,25678.1738430446,24008.3159815749,23981.1613773536,43052.7425513357,23471.1846001075,25126.7727413622,71564.5474101033,74154.4704174653,77492.9062766353,68908.9527852453,20892.7612734494,43336.9627984919,2041.44536644736,22164.13578651,20619.9357345576,23002.6321472982,42418.4928007808,19741.3998855406,22168.3956346679,23851.1383801443,125955.34899069,42421.2624731955,126155.351902372,44569.6826595314,21392.728178638,2041.44536644736
"ws-18",142004.24205228,139755.707362862,135417.329618512,134310.26756699,131513.31983508,121695.438925012,118398.483913899,111773.094840871,107351.973420086,103165.136300508,101026.725986229,100602.472869806,98836.8491762446,96764.1266290686,92470.1370439376,87876.1915401021,80451.0169148321,77005.5577869553,64497.3082995204,57030.5801529651,56889.1624474908,42477.1987619367,17781.5717530151,12389.1851591305,28202.2879612602,143052.751196807,70145.884412719,70445.8887802409,64738.7274608353,38621.5785921863,18620.0681138033,18658.6174262904,0,1689.87760558383,4245.40617617853,9239.3252041648,8846.48654012126,77898.2664585519,79846.6998828129,17881.5651340529,10192.0846662059,42718.6259980546,9843.54533854826,9236.45019221477,126633.663908347,18968.607441461,26359.4926024022,27115.148389121,10499.1996694263,8249.40126584505,7476.60882176463,27873.7683777172,6386.69150240704,10416.415618977,87654.8567213265,90244.7797286886,93583.2155878587,84999.2620964684,2565.53844265132,28157.9886248734,17730.1375565212,5493.88593317491,3038.35074361856,5255.34985861307,27239.5186271623,1082.78245925022,4089.7187504891,5606.76419821941,142045.658301914,27242.288299577,142245.661213596,29390.7084859129,3065.50534783995,17930.1243185966
"ws-16",143114.179115753,140865.644426334,136527.266681984,135420.204630462,132623.256898553,122805.375988484,119508.420977371,112883.031904343,108461.910483558,104275.073363981,102136.663049702,101712.409933278,99946.7862397169,97874.0636925409,93580.0741074099,88986.1286035744,81560.9539783044,78115.4948504276,65607.2453629927,58140.5172164374,57999.0995109631,43587.135825409,18891.5088164874,11109.3474733755,26512.4103556763,144162.68826028,71255.8214761913,71555.8258437132,65848.6645243076,39731.5156556586,19730.0051772756,19768.5544897626,1689.87760558383,0,2555.5285705947,7549.44759858097,7156.60893453743,79008.2035220242,80956.6369462852,18991.5021975251,8502.20706062216,43828.5630615268,8153.66773296443,7546.57258663094,127743.600971819,20078.5445049332,24669.6149968184,25425.2707835372,8867.8991952468,6559.52366026122,5786.7312161808,26183.8907721334,4696.81389682322,9136.57793322192,88764.7937847989,91354.716792161,94693.152651331,86109.1991599407,1124.20678368673,26468.1110192896,18840.0746199934,3804.00832759108,1348.47313803474,3565.47225302924,25549.6410215785,1065.67810110034,2399.84114490531,4082.58389038174,143155.595365387,25552.4106939932,143355.598277068,27700.8308803291,1624.17368887536,19040.0613820689
"ws-12A",144758.372548742,142509.837859324,138171.460114974,137064.398063452,134267.450331542,124449.569421474,121152.614410361,114527.225337332,110106.103916547,105919.26679697,103780.856482691,103356.603366268,101590.979672706,99518.2571255304,95224.2675403993,90630.3220365639,83205.1474112939,79759.6882834171,67251.4387959822,59784.7106494269,59643.2929439526,45231.3292583985,20535.7022494769,9139.59021682185,23956.8817850817,145806.881693269,72900.0149091807,73200.0192767027,67492.857957297,41375.7090886481,21374.1986102651,21412.7479227521,4245.40617617853,2555.5285705947,0,4993.91902798628,4601.08036394274,80652.3969550138,82600.8303792748,20635.6956305146,6356.7184098563,45472.7564945163,5715.2934251781,5049.62114744046,129387.794404809,21722.7379379227,22114.0864262238,22869.7422129425,6898.14193869318,4003.99508966653,3231.20264558611,23628.3622015387,2141.28532622852,7166.8206766683,90408.9872177884,92998.9102251505,96337.3460843205,87753.3925929303,1855.59912773955,23912.5824486949,20484.2680529829,1248.47975699638,1207.05543255996,1589.8842245461,22994.1124509838,3328.32101467446,1224.26476314869,2438.39045739224,144799.788798376,22996.8821233985,144999.791710057,25145.3023097344,1648.51787957149,20684.2548150584
"ws-15",147763.924003773,145515.389314355,141177.011570005,140069.949518483,137273.001786573,127455.120876505,124158.165865392,117532.776792363,113111.655371578,108924.818252001,106786.407937722,106362.154821299,104596.531127737,102523.808580561,98229.8189954304,93635.8734915949,86210.6988663249,82765.2397384481,70256.9902510132,62790.262104458,62648.8443989837,48236.8807134296,23541.253704508,5082.90529130127,18962.9627570954,148812.4331483,75905.5663642117,76205.5707317337,70498.4094123281,44381.2605436792,24379.7500652962,24418.2993777832,9239.3252041648,7549.44759858097,4993.91902798628,0,807.08190840894,83657.948410045,85606.381834306,23641.2470855457,2300.03348433599,48478.3079495474,1741.44099892474,1407.09871825583,132393.34585984,24728.2893929538,17120.1673982375,17875.8231849563,2841.4570131726,989.923938319781,2055.60203942078,18634.4431735524,3086.94222737425,3689.96324601812,93414.5386728196,96004.4616801817,99342.8975393517,90758.9440479615,6673.78676151348,18918.6634207087,23489.8195080141,3745.4392709899,6200.97446054624,4218.2838711683,18000.1934229976,8322.24004266073,5149.60645367577,4569.7951084113,147805.340253407,18002.9630954123,148005.343165088,20151.3832817482,6173.81985632485,23689.8062700895
"ws-6",147371.08533973,145122.550650311,140784.172905961,139677.110854439,136880.16312253,127062.282212461,123765.327201348,117139.93812832,112718.816707535,108531.979587958,106393.569273678,105969.316157255,104203.692463694,102130.969916518,97836.9803313868,93243.0348275513,85817.8602022813,82372.4010744045,69864.1515869696,62397.4234404144,62256.0057349401,47844.042049386,23148.4150404644,4831.39550989958,19355.8014211389,148419.594484257,75512.7277001681,75812.7320676901,70105.5707482845,43988.4218796356,23986.9114012526,24025.4607137396,8846.48654012126,7156.60893453743,4601.08036394274,807.08190840894,0,83265.1097460014,85213.5431702624,23248.4084215021,2048.52370293403,48085.4692855038,1407.09871825583,741.426440518194,132000.507195796,24335.4507289102,17513.0060622811,18268.6618489998,2589.94723177091,1241.43371972147,2307.11182082246,19027.281837596,3338.45200877594,2941.45846901326,93021.700008776,95611.6230161381,98950.0588753081,90366.1053839179,6280.94809746998,19311.5020847522,23096.9808439705,3352.60060694639,5808.1357965027,4469.79365256998,18393.0320870411,7929.4013786172,5283.96197226929,4821.30488981298,147412.501589363,18395.8017594558,147612.504501045,20544.2219457917,5956.71258649376,23296.9676060459
"s-7",73958.1378933246,71709.6032039064,67371.2254595563,66264.1634080343,63467.2156761246,53649.334766056,50352.3797549432,43726.9906819147,39305.8692611297,35119.0321415524,32980.6218272732,32556.3687108497,30790.7450172884,28718.0224701125,24424.0328849814,19830.0873811458,12404.9127558758,8959.45362799893,13400.9581590318,20867.6863055871,21009.1040110614,35421.0676966154,60530.9379499025,86104.8827881609,102620.91116714,75006.6470378515,7752.38204583329,7452.37767831132,13159.538997717,39276.6878663658,60769.4740244644,61807.9571473287,77898.2664585519,79008.2035220242,80652.3969550138,83657.948410045,83265.1097460014,0,1948.43342426106,60016.7013244993,84610.7078720859,35462.4920210519,84262.1685444283,83655.0733980948,58587.5597493913,60918.0265900465,100778.115808282,101533.771595001,84917.8228753063,83247.9650138367,83220.8104096153,102292.391583597,82710.8336323693,84366.4217736239,9756.59026277476,12346.5132701369,15684.9491293069,7100.99563791665,80132.4103057112,102576.611830753,61079.4640396349,81403.7848187718,79859.5847668194,82242.28117956,101658.141833042,78981.0489178024,81408.0446669297,83090.7874124061,73999.5541429584,101660.911505457,74199.5570546397,103809.331691793,80632.3772108998,60879.4772775594
"s-6",75906.5713175857,73658.0366281674,69319.6588838173,68212.5968322953,65415.6491003857,55597.7681903171,52300.8131792043,45675.4241061758,41254.3026853908,37067.4655658135,34929.0552515343,34504.8021351108,32739.1784415495,30666.4558943735,26372.4663092424,21778.5208054069,14353.3461801368,10907.88705226,15349.3915832929,22816.1197298482,22957.5374353224,37369.5011208764,62479.3713741635,88053.3162124219,104569.344591401,76955.0804621126,9700.81547009435,9400.81110257238,15107.972421978,41225.1212906268,62717.9074487254,63756.3905715897,79846.6998828129,80956.6369462852,82600.8303792748,85606.381834306,85213.5431702624,1948.43342426106,0,61965.1347487604,86559.1412963469,37410.925445313,86210.6019686893,85603.5068223559,60535.9931736523,62866.4600143075,102726.549232543,103482.205019262,86866.2562995674,85196.3984380977,85169.2438338763,104240.825007858,84659.2670566303,86314.8551978849,7808.1568385137,10398.0798458758,13736.5157050458,5152.56221365559,82080.8437299722,104525.045255014,63027.8974638959,83352.2182430328,81808.0181910804,84190.714603821,103606.575257303,80929.4823420634,83356.4780911907,85039.2208366671,75947.9875672194,103609.344929718,76147.9904789007,105757.765116054,82580.8106351608,62827.9107018205
"ws-55",124122.676918227,121874.142228809,117535.764484459,116428.702432937,113631.754701027,103813.873790959,100516.918779846,93891.5297068179,89470.4082860329,85283.5711664557,83145.1608521765,82720.9077357531,80955.2840421918,78882.5614950158,74588.5719098848,69994.6264060493,62569.4517807793,59123.9926529024,46615.7431654675,39149.0150189121,39007.5973134378,24595.6336278838,1041.43080804016,26088.1814636618,42604.209842641,125171.186062754,52264.319278666,52564.323646188,46857.1623267823,20740.0134581334,2382.86598360228,3724.30115916506,17881.5651340529,18991.5021975251,20635.6956305146,23641.2470855457,23248.4084215021,60016.7013244993,61965.1347487604,0,24594.0065475867,24837.0608640016,24245.4672199291,23638.3720735956,108752.098774294,3024.29096828048,40761.4144837831,41517.0702705019,24901.1215508071,23231.2636893375,23204.1090851161,42275.6902590981,22694.13230787,24349.7204491247,69773.291587274,72363.2145946361,75701.6504538061,67117.696962416,20115.7089812119,42559.9105062544,1765.68829198492,21387.0834942725,19842.8834423201,22225.5798550607,41641.4405085432,18964.3475933031,21391.3433424304,23074.0860879068,124164.093167861,41644.2101809579,124364.096079543,43792.6303672938,20615.6758864005,1682.8557927177
"ws-13",148716.683465814,146468.148776396,142129.771032046,141022.708980524,138225.761248614,128407.880338545,125110.925327433,118485.536254404,114064.414833619,109877.577714042,107739.167399763,107314.91428334,105549.290589778,103476.568042602,99182.5784574713,94588.6329536358,87163.4583283659,83717.9992004891,71209.7497130542,63743.021566499,63601.6038610247,49189.6401754706,24494.013166549,2782.87180696556,18010.2032950543,149765.192610341,76858.3258262527,77158.3301937747,71451.168874369,45334.0200057202,25332.5095273372,25371.0588398242,10192.0846662059,8502.20706062216,6356.7184098563,2300.03348433599,2048.52370293403,84610.7078720859,86559.1412963469,24594.0065475867,0,49431.0674115884,641.424984678198,1307.09726241583,133346.105321881,25681.0488549948,16167.4079361964,16923.0637229152,541.423528836885,3289.9574226555,4355.63552375649,17681.6837115115,5386.97571170997,1389.9297616824,94367.2981348605,96957.2211422226,100295.657001393,91711.7035100024,8212.31753759584,17965.9039586676,24442.5789700551,5342.54717847634,7270.88818539568,6518.31735550401,17047.4339609567,9392.15376751025,7332.48567520332,6869.82859274701,148758.099715448,17050.2036333712,148958.102627129,19198.6238197071,8005.23628942779,24642.5657321305
"s-11",99568.4676147806,97319.9329253623,92981.5551810123,91874.4931294902,89077.5453975806,79259.6644875121,75962.7094763994,69337.320403371,64916.1989825861,60729.3618630088,58590.9515487296,58166.6984323061,56401.0747387448,54328.3521915688,50034.3626064377,45440.4171026021,38015.2424773319,34569.7833494551,22061.5338620201,14594.8057154649,14453.3880099906,300.004367521964,25351.2974894048,50925.2423276635,67441.2707066427,100616.976759307,27710.1099752186,28010.1143427406,22302.953023335,4097.04740586822,25589.8335639666,26628.3166868309,42718.6259980546,43828.5630615268,45472.7564945163,48478.3079495474,48085.4692855038,35462.4920210519,37410.925445313,24837.0608640016,49431.0674115884,0,49082.5280839308,48475.4329375973,84197.8894708472,25738.3861295488,65598.4753477849,66354.1311345037,49738.1824148089,48068.3245533392,48041.1699491178,67112.7511230999,47531.1931718718,49186.7813131264,45219.0822838268,47809.0052911889,51147.4411503589,42563.4876589686,44952.7698452136,67396.9713702561,25899.8235791372,46224.1443582743,44679.9443063218,47062.6407190624,66478.501372545,43801.4084573048,46228.4042064321,47911.1469519086,99609.8838644143,66481.2710449597,99809.8867760956,68629.6912312955,45452.7367504022,25699.8368170617
"ws-PVTSS",148368.144138157,146119.609448738,141781.231704388,140674.169652866,137877.221920957,128059.341010888,124762.385999775,118136.996926747,113715.875505962,109529.038386385,107390.628072105,106966.374955682,105200.751262121,103128.028714945,98834.0391298137,94240.0936259782,86814.9190007083,83369.4598728315,70861.2103853966,63394.4822388414,63253.0645333671,48841.100847813,24145.4738388914,3424.29679164376,18358.7426227119,149416.653282684,76509.7864985951,76809.7908661171,71102.6295467114,44985.4806780626,24983.9701996795,25022.5195121666,9843.54533854826,8153.66773296443,5715.2934251781,1741.44099892474,1407.09871825583,84262.1685444283,86210.6019686893,24245.4672199291,641.424984678198,49082.5280839308,0,665.672277737637,132997.565994223,25332.5095273372,16515.9472638541,17271.6030505728,1182.84851351508,2648.5324379773,3714.21053907829,18030.223039169,4745.55072703177,1948.52224709337,94018.7588072029,96608.681814565,99947.1176737351,91363.1641823448,7570.89255291765,18314.4432863252,24094.0396423974,4701.12219379814,6805.19459492973,5876.89237082581,17395.9732886141,8926.4601770443,6691.06069052512,6228.40360806881,148409.56038779,17398.7429610288,148609.563299472,19547.1631473647,7363.81130474959,24294.0264044729
"ws-4",147761.048991823,145512.514302405,141174.136558055,140067.074506533,137270.126774623,127452.245864554,124155.290853442,117529.901780413,113108.780359628,108921.943240051,106783.532925772,106359.279809349,104593.656115787,102520.933568611,98226.9439834803,93632.9984796448,86207.8238543748,82762.364726498,70254.1152390631,62787.3870925079,62645.9693870336,48234.0057014795,23538.3786925579,4089.96906938139,18965.8377690454,148809.55813635,75902.6913522616,76202.6957197836,70495.5344003779,44378.3855317291,24376.8750533461,24415.4243658331,9236.45019221477,7546.57258663094,5049.62114744046,1407.09871825583,741.426440518194,83655.0733980948,85603.5068223559,23638.3720735956,1307.09726241583,48475.4329375973,665.672277737637,0,132390.47084789,24725.4143810037,17123.0424101876,17878.6981969063,1848.52079125272,1982.86016023966,3048.53826134066,18637.3181855025,4079.87844929413,2282.86452776228,93411.6636608695,96001.5866682316,99340.0225274016,90756.0690360114,6905.22027518001,18921.5384326587,23486.944496064,4035.4499160605,6198.09944859621,5211.22009308818,18003.0684349476,8319.36503071074,6025.38841278749,5562.73133033118,147802.465241457,18005.8381073623,148002.468153138,20154.2582936982,6698.13902701195,23686.9312581394
"gn-8",15370.5781439334,13122.0434545151,8783.665710165,7676.60365864291,4879.6559267333,4938.22498333526,8235.17999444803,14919.1461988806,19364.5391371346,23468.5276078388,25606.9379221179,26031.1910385414,27796.8147321027,29869.5372792787,34163.5268644097,38757.4723682453,46182.6469935155,49628.1061213924,62136.3556088273,69603.0837553826,69744.5014608568,84156.4651464107,109266.335399697,134840.280237956,151356.308616935,16419.0872884603,56487.7794956288,56187.7751281068,61894.9364475125,88012.085316161,109504.871474259,110543.354597123,126633.663908347,127743.600971819,129387.794404809,132393.34585984,132000.507195796,58587.5597493913,60535.9931736523,108752.098774294,133346.105321881,84197.8894708472,132997.565994223,132390.47084789,0,109653.424039841,149513.513258077,150269.169044796,133653.220325101,131983.362463632,131956.20785941,151027.789033393,131446.231082164,133101.819223419,68344.1500121661,70934.0730195282,74272.5088786981,65688.555387308,128867.807755506,151312.009280549,109814.86148943,130139.182268567,128594.982216614,130977.678629355,150393.539282838,127716.446367597,130143.442116724,131826.184862201,15411.9943935671,150396.308955252,15611.9973052484,152544.729141588,129367.774660695,109614.874727354
"ws-F42",125024.002183775,122775.467494356,118437.089750006,117330.027698484,114533.079966575,104715.199056506,101418.244045393,94792.854972365,90371.73355158,86184.8964320028,84046.4861177237,83622.2330013002,81856.6093077389,79783.8867605629,75489.8971754319,70895.9516715964,63470.7770463264,60025.3179184496,47517.0684310146,40050.3402844592,39908.922578985,25496.9588934309,2065.69265950754,27175.2237710699,43691.2521500491,126072.511328301,53165.6445442131,53465.6489117351,47758.4875923294,21641.3387236806,641.424984678198,948.507688686251,18968.607441461,20078.5445049332,21722.7379379227,24728.2893929538,24335.4507289102,60918.0265900465,62866.4600143075,3024.29096828048,25681.0488549948,25738.3861295488,25332.5095273372,24725.4143810037,109653.424039841,0,41848.4567911913,42604.1125779101,25988.1638582152,24318.3059967455,24291.1513925241,43362.7325665063,23781.1746152781,25436.7627565328,70674.6168528212,73264.5398601831,76602.9757193532,68019.0222279631,21202.7512886199,43646.9528136625,1589.93267336445,22474.1258016806,20929.9257497281,23312.6221624688,42728.4828159514,20051.3899007112,22478.3856498385,24161.1283953149,125065.418433408,42731.2524883661,125265.42134509,44879.672674702,21702.7181938086,1507.10017409723
