"","HH5","HH6","HH7","HH8","HH9","S13","S09","S12","S02","S08","ak-29","S18","S17","S16","ak-28","ak-32","ak-33","HH4","S15","ak-31","HH3","HH2","HH1","ak-30","ak-34","HH10","ak-35","S07","S14","S10","HH11","ak-36","ak-39","ak-40","ak-42","ak-2","ak-3","ak-1","ak-5","ak-4","ak-8","ak-9","ak-10","ak-11","ak-6","ak-7","ma-1","ma-5","ma-2","ma-6","ma-8","ma-9","ak-17","ak-19","ak-21","ak-22","ma-7","ak-23","ak-24","ak-25","ak-26","ak-27","ak-x","ak-14","ak-13","ak-44","ak-47","s-9","s-8","s-7","s-6","ak-46","ak-48","ws-42A","ws-11","ma-3","ws-53A","ws-53","ws-TRAWL","s-11","s-5","s-4c","s-4b","s-4a","s-4","s-3","s-8a","s-9a","ak-45","ws-55","ws-16","ws-14","ws-12A","ws-2C","s-12","ws-18","ws-25B","ws-6","ws-STEEN","ws-A1","ws-A3","ws-HW6","ws-25","ws-PPB","ws-23","ws-A5","ws-PVTSS","bpns-D1","bpns-WK12","S09-2","ws-25A","ws-PPC","ak-41","ws-SP3","ws-WN2","ws-GVWSP","zandvlietsluis haven B","ak-12","bpns-A1BIS","ws-4","s-10a","bpns-S4","ws-F42","ws-OGDL","ws-DL7","ws-DL9","s-Vlassenbroek","me-7-2","bpns-Whitley","rel_albertkanaal2","rel_albertkanaal1","rel_albertkanaal3","rel_albertkanaal4"
"ak-1",72446.2188782224,75760.2878905807,77550.1486297027,81302.5508744638,84347.8963320127,86413.3648325404,86471.9298845325,86413.364832541,86471.9298845325,86513.3530372576,86271.9534750982,86471.9298845325,86513.3530372576,86613.3412419747,86571.9180892497,86613.3412419747,87054.7172135686,69573.5541871911,86613.3412419747,86613.3412419747,66411.0313761031,64879.7876976955,60527.4562246306,86471.9298845325,88496.2870793962,91520.4601720554,106379.547922294,86471.9298845325,86513.3530372576,86471.9298845325,96127.4254897657,107103.746608773,131835.079726418,132800.677975057,143059.452880626,1548.42337731799,941.39259446801,0,1748.44703630792,2665.59617696033,4862.48293976648,5486.69342152779,6593.70302760856,6876.52574249318,2224.19185563403,3006.97449392618,32022.4256484929,34388.0288615691,32181.0072549359,141417.647207819,141459.051460723,141500.474613448,25929.6419209903,33147.6404795592,40858.3178586794,48921.6851232451,141500.474613448,49521.6143515484,53162.6128740924,53862.5303071127,57603.517034374,58303.4344673943,86571.9180892497,14618.78437775,13584.4578835587,150218.669039251,160733.500211802,151832.881871952,157281.242129501,165033.257612149,167023.019161417,159892.171421339,162233.559530333,180335.389454003,204382.534065469,45327.1508059122,180096.853082726,180445.380203794,222140.424324828,154971.000580739,172216.773924054,174930.828658911,177579.216787229,180917.51035358,191297.880524659,195418.843330373,157481.237438758,151632.886562696,151101.477681904,179582.633350757,198573.215646796,199424.546982334,200175.890113155,203931.1555488,155070.988785456,197463.342849832,198546.071202455,202871.295477211,221180.552457957,202744.162828152,202275.642412216,181415.254615741,200197.30817573,202614.166988209,200931.509407284,201807.12199628,203826.891180774,286485.604136137,248373.03073169,86471.9298845325,199655.943999418,202614.166988209,143583.67515767,223034.591785516,222184.710668437,222596.079004805,159267.970389488,8376.3677130733,257864.770825632,203219.822598279,144166.49083644,250442.812641561,180683.916575071,220342.049612343,223373.116361509,222124.695397986,182307.342674545,167478.834489881,289013.8294248,48921.6851232451,2572.58667794864,53162.6128740924,57603.517034374
"ak-5",70946.2540588002,74260.3230711585,76050.1838102805,79802.5860550416,82847.9315125906,84913.4000131182,84971.9650651103,84913.4000131189,84971.9650651103,85013.3882178354,84771.988655676,84971.9650651103,85013.3882178354,85113.3764225526,85071.9532698275,85113.3764225526,85554.7523941464,68073.5893677689,85113.3764225526,85113.3764225526,64911.0665566809,63379.8228782733,59027.4914052084,84971.9650651103,86996.322259974,90020.4953526332,104879.583102872,84971.9650651103,85013.3882178354,84971.9650651103,94627.4606703435,105603.78178935,130335.114906996,131300.713155635,141559.488061204,1755.50134130087,807.054441840179,1748.44703630792,0,1165.63135753814,3362.51812034429,3986.7286021056,5093.73820818637,5376.56092307099,724.227036211848,1507.009674504,30522.4608290707,32888.064042147,30681.0424355137,139917.682388397,139959.0866413,140000.509794026,24429.6771015681,31647.675660137,39358.3530392572,47421.7203038229,140000.509794026,48021.6495321262,51662.6480546702,52362.5654876905,56103.5522149518,56803.4696479721,85071.9532698275,13118.8195583278,12084.4930641366,148718.704219829,159233.535392379,150332.917052529,155781.277310079,163533.292792727,165523.054341995,158392.206601917,160733.594710911,178835.42463458,202882.569246046,43827.18598649,178596.888263304,178945.415384372,220640.459505406,153471.035761317,170716.809104632,173430.863839489,176079.251967806,179417.545534157,189797.915705237,193918.87851095,155981.272619336,150132.921743273,149601.512862482,178082.668531335,197073.250827374,197924.582162912,198675.925293733,202431.190729377,153571.023966034,195963.37803041,197046.106383033,201371.330657789,219680.587638535,201244.19800873,200775.677592794,179915.289796319,198697.343356308,201114.202168787,199431.544587862,200307.157176858,202326.926361352,284985.639316715,246873.065912268,84971.9650651103,198155.979179996,201114.202168787,142083.710338248,221534.626966094,220684.745849014,221096.114185383,157768.005570066,6876.40289365111,256364.80600621,201719.857778857,142666.526017017,248942.847822139,179183.951755649,218842.084792921,221873.151542087,220624.730578564,180807.377855123,165978.869670459,287513.864605378,47421.7203038229,2779.66464193152,51662.6480546702,56103.5522149518
"ak-4",69839.197203165,73153.2662155233,74943.1269546453,78695.5291994064,81740.8746569553,83806.343157483,83864.9082094751,83806.3431574836,83864.9082094751,83906.3313622002,83664.9318000408,83864.9082094751,83906.3313622002,84006.3195669173,83964.8964141923,84006.3195669173,84447.6955385112,66966.5325121337,84006.3195669173,84006.3195669173,63804.0097010457,62272.7660226381,57920.4345495732,83864.9082094751,85889.2654043388,88913.438496998,103772.526247237,83864.9082094751,83906.3313622002,83864.9082094751,93520.4038147083,104496.724933715,129228.058051361,130193.656299999,140452.431205569,2672.65048195328,1724.20358249259,2665.59617696033,1165.63135753814,0,2255.46126470906,2879.67174647037,3986.68135255114,4269.50406743576,441.404321326295,399.952818868798,29415.4039734355,31781.0071865117,29573.9855798785,138810.625532762,138852.029785665,138893.45293839,23322.6202459329,30540.6188045018,38251.296183622,46314.6634481877,138893.45293839,46914.592676491,50555.591199035,51255.5086320553,54996.4953593166,55696.4127923369,83964.8964141923,12011.7627026925,10977.4362085013,147611.647364193,158126.478536744,149225.860196894,154674.220454443,162426.235937092,164415.99748636,157285.149746281,159626.537855275,177728.367778945,201775.512390411,42720.1291308548,177489.831407668,177838.358528737,219533.40264977,152363.978905682,169609.752248997,172323.806983854,174972.195112171,178310.488678522,188690.858849602,192811.821655315,154874.2157637,149025.864887638,148494.456006847,176975.6116757,195966.193971739,196817.525307277,197568.868438097,201324.133873742,152463.967110398,194856.321174775,195939.049527397,200264.273802153,218573.530782899,200137.141153094,199668.620737158,178808.232940684,197590.286500673,200007.145313152,198324.487732226,199200.100321222,201219.869505717,283878.58246108,245766.009056633,83864.9082094751,197048.922324361,200007.145313152,140976.653482613,220427.570110458,219577.688993379,219989.057329748,156660.94871443,5769.34603801588,255257.749150575,200612.800923222,141559.469161382,247835.790966504,178076.894900014,217735.027937286,220766.094686451,219517.673722928,179700.320999488,164871.812814824,286406.807749743,46314.6634481877,3696.81378258394,50555.591199035,54996.4953593166
"ak-8",67583.7359384559,70897.8049508142,72687.6656899362,76440.0679346973,79485.4133922463,81550.8818927739,81609.446944766,81550.8818927746,81609.446944766,81650.8700974911,81409.4705353317,81609.446944766,81650.8700974911,81750.8583022083,81709.4351494832,81750.8583022083,82192.2342738021,64711.0712474246,81750.8583022083,81750.8583022083,61548.5484363366,60017.304757929,55664.9732848641,81609.446944766,83633.8041396297,86657.977232289,101517.064982528,81609.446944766,81650.8700974911,81609.446944766,91264.9425499993,102241.263669006,126972.596786652,127938.19503529,138196.96994086,4869.53724475943,3921.09034529874,4862.48293976648,3362.51812034429,2255.46126470906,0,624.210481761314,1731.22008784208,2014.0428027267,2638.29108413244,1914.0829477432,27159.9427087264,29525.5459218027,27318.5243151694,136555.164268053,136596.568520956,136637.991673681,21067.1589812239,28285.1575397927,35995.8349189129,44059.2021834787,136637.991673681,44659.1314117819,48300.129934326,49000.0473673463,52741.0340946076,53440.9515276279,81709.4351494833,9756.30143798348,8721.97494379226,145356.186099484,155871.017272035,146970.398932185,152418.759189734,160170.774672382,162160.536221651,155029.688481572,157371.076590566,175472.906514236,199520.051125702,40464.6678661457,175234.370142959,175582.897264028,217277.941385061,150108.517640973,167354.290984288,170068.345719145,172716.733847462,176055.027413813,186435.397584893,190556.360390606,152618.754498991,146770.403622929,146238.994742138,174720.150410991,193710.73270703,194562.064042568,195313.407173388,199068.672609033,150208.505845689,192600.859910066,193683.588262688,198008.812537444,216318.06951819,197881.679888385,197413.159472449,176552.771675975,195334.825235964,197751.684048443,196069.026467517,196944.639056513,198964.408241008,281623.121196371,243510.547791924,81609.4469447661,194793.461059652,197751.684048443,138721.192217904,218172.108845749,217322.22772867,217733.596065039,154405.487449721,3513.88477330683,253002.287885866,198357.339658513,139304.007896673,245580.329701795,175821.433635305,215479.566672577,218510.633421742,217262.212458219,177444.859734779,162616.351550115,284151.346485034,44059.2021834787,5893.70054539008,48300.129934326,52741.0340946076
"ak-9",66959.5254566946,70273.5944690529,72063.4552081749,75815.857452936,78861.202910485,80926.6714110126,80985.2364630047,80926.6714110133,80985.2364630047,81026.6596157298,80785.2600535704,80985.2364630047,81026.6596157298,81126.647820447,81085.2246677219,81126.647820447,81568.0237920408,64086.8607656633,81126.647820447,81126.647820447,60924.3379545753,59393.0942761677,55040.7628031028,80985.2364630047,83009.5936578684,86033.7667505276,100892.854500766,80985.2364630047,81026.6596157298,80985.2364630047,90640.7320682379,101617.053187245,126348.386304891,127313.984553529,137572.759459099,5493.74772652074,4545.30082706005,5486.69342152779,3986.7286021056,2879.67174647037,624.210481761314,0,1107.00960608077,1389.83232096539,3262.50156589376,2538.29342950452,26535.7322269651,28901.3354400414,26694.3138334081,135930.953786291,135972.358039195,136013.78119192,20442.9484994625,27660.9470580314,35371.6244371516,43434.9917017174,136013.78119192,44034.9209300206,47675.9194525646,48375.8368855849,52116.8236128462,52816.7410458665,81085.2246677219,9132.09095622217,8097.76446203095,144731.975617723,155246.806790274,146346.188450424,151794.548707973,159546.564190621,161536.32573989,154405.477999811,156746.866108805,174848.696032475,198895.840643941,39840.4573843844,174610.159661198,174958.686782267,216653.7309033,149484.307159212,166730.080502526,169444.135237383,172092.523365701,175430.816932052,185811.187103132,189932.149908845,151994.54401723,146146.193141168,145614.784260376,174095.939929229,193086.522225269,193937.853560806,194689.196691627,198444.462127272,149584.295363928,191976.649428304,193059.377780927,197384.602055683,215693.859036429,197257.469406624,196788.948990688,175928.561194213,194710.614754202,197127.473566681,195444.815985756,196320.428574752,198340.197759246,280998.91071461,242886.337310162,80985.2364630048,194169.250577891,197127.473566681,138096.981736142,217547.898363988,216698.017246909,217109.385583277,153781.27696796,2889.67429154552,252378.077404104,197733.129176751,138679.797414912,244956.119220033,175197.223153543,214855.356190816,217886.422939981,216638.001976458,176820.649253017,161992.141068353,283527.136003273,43434.9917017174,6517.91102715139,47675.9194525646,52116.8236128462
"ak-10",65852.5158506139,69166.5848629721,70956.4456020941,74708.8478468552,77754.1933044042,79819.6618049318,79878.226856924,79819.6618049325,79878.226856924,79919.650009649,79678.2504474896,79878.226856924,79919.650009649,80019.6382143662,79978.2150616411,80019.6382143662,80461.0141859601,62979.8511595825,80019.6382143662,80019.6382143662,59817.3283484945,58286.0846700869,53933.753197022,79878.226856924,81902.5840517877,84926.7571444469,99785.8448946856,79878.226856924,79919.650009649,79878.226856924,89533.7224621572,100510.043581164,125241.37669881,126206.974947448,136465.749853018,6600.75733260151,5652.31043314082,6593.70302760856,5093.73820818637,3986.68135255114,1731.22008784208,1107.00960608077,0,282.822714884621,4369.51117197452,3645.30303558529,25428.7226208844,27794.3258339606,25587.3042273273,134823.944180211,134865.348433114,134906.771585839,19335.9388933818,26553.9374519506,34264.6148310708,42327.9820956366,134906.771585839,42927.9113239398,46568.9098464839,47268.8272795042,51009.8140067655,51709.7314397858,79978.2150616412,8025.0813501414,6990.75485595018,143624.966011642,154139.797184193,145239.178844343,150687.539101892,158439.55458454,160429.316133809,153298.46839373,155639.856502724,173741.686426394,197788.83103786,38733.4477783036,173503.150055117,173851.677176186,215546.721297219,148377.297553131,165623.070896446,168337.125631303,170985.51375962,174323.807325971,184704.177497051,188825.140302764,150887.534411149,145039.183535087,144507.774654296,172988.930323148,191979.512619188,192830.843954726,193582.187085546,197337.452521191,148477.285757847,190869.639822224,191952.368174846,196277.592449602,214586.849430348,196150.459800543,195681.939384607,174821.551588133,193603.605148122,196020.4639606,194337.806379675,195213.418968671,197233.188153165,279891.901108529,241779.327704081,79878.226856924,193062.24097181,196020.4639606,136989.972130062,216440.888757907,215591.007640828,216002.375977197,152674.267361879,1948.35729636507,251271.067798024,196626.119570671,137572.787808831,243849.109613953,174090.213547462,213748.346584735,216779.4133339,215530.992370377,175713.639646937,160885.131462273,282420.126397192,42327.9820956366,7624.92063323216,46568.9098464839,51009.8140067655
"ak-11",65569.6931357292,68883.7621480875,70673.6228872095,74426.0251319706,77471.3705895196,79536.8390900472,79595.4041420393,79536.8390900479,79595.4041420393,79636.8272947644,79395.427732605,79595.4041420393,79636.8272947644,79736.8154994816,79695.3923467565,79736.8154994816,80178.1914710754,62697.0284446979,79736.8154994816,79736.8154994816,59534.5056336099,58003.2619552023,53650.9304821374,79595.4041420393,81619.761336903,84643.9344295623,99503.022179801,79595.4041420393,79636.8272947644,79595.4041420393,89250.8997472725,100227.220866279,124958.553983925,125924.152232564,136182.927138133,6883.58004748613,5935.13314802544,6876.52574249318,5376.56092307099,4269.50406743576,2014.0428027267,1389.83232096539,282.822714884621,0,4652.33388685915,3928.12575046991,25145.8999059997,27511.503119076,25304.4815124427,134541.121465326,134582.52571823,134623.948870955,19053.1161784972,26271.114737066,33981.7921161862,42045.159380752,134623.948870955,42645.0886090552,46286.0871315993,46986.0045646196,50726.9912918809,51426.9087249012,79695.3923467566,7742.25863525678,6707.93214106556,143342.143296758,153856.974469308,144956.356129458,150404.716387008,158156.731869656,160146.493418924,153015.645678846,155357.03378784,173458.863711509,197506.008322975,38450.625063419,173220.327340233,173568.854461301,215263.898582335,148094.474838246,165340.248181561,168054.302916418,170702.691044735,174040.984611086,184421.354782166,188542.317587879,150604.711696265,144756.360820202,144224.951939411,172706.107608264,191696.689904303,192548.021239841,193299.364370662,197054.629806306,148194.463042963,190586.817107339,191669.545459962,195994.769734718,214304.026715464,195867.637085659,195399.116669723,174538.728873248,193320.782433237,195737.641245716,194054.983664791,194930.596253787,196950.365438281,279609.078393645,241496.504989197,79595.4041420394,192779.418256925,195737.641245716,136707.149415177,216158.066043023,215308.184925943,215719.553262312,152391.444646995,1748.38088693065,250988.245083139,196343.296855786,137289.965093946,243566.286899068,173807.390832578,213465.52386985,216496.590619016,215248.169655493,175430.816932052,160602.308747388,282137.303682307,42045.159380752,7907.74334811678,46286.0871315993,50726.9912918809
"ak-6",70222.0270225884,73536.0960349466,75325.9567740686,79078.3590188298,82123.7044763787,84189.1729769064,84247.7380288985,84189.172976907,84247.7380288985,84289.1611816235,84047.7616194641,84247.7380288985,84289.1611816235,84389.1493863407,84347.7262336156,84389.1493863407,84830.5253579346,67349.362331557,84389.1493863407,84389.1493863407,64186.8395204691,62655.5958420614,58303.2643689965,84247.7380288985,86272.0952237622,89296.2683164214,104155.35606666,84247.7380288985,84289.1611816235,84247.7380288985,93903.2336341317,104879.554753139,129610.887870784,130576.486119423,140835.261024992,2231.24616062699,1282.7992611663,2224.19185563403,724.227036211848,441.404321326295,2638.29108413244,3262.50156589376,4369.51117197452,4652.33388685915,0,782.78263829215,29798.2337928589,32163.8370059351,29956.8153993018,139193.455352185,139234.859605089,139276.282757814,23705.4500653563,30923.4486239252,38634.1260030453,46697.4932676111,139276.282757814,47297.4224959143,50938.4210184584,51638.3384514787,55379.32517874,56079.2426117603,84347.7262336157,12394.5925221159,11360.2660279247,147994.477183617,158509.308356167,149608.690016318,155057.050273867,162809.065756515,164798.827305783,157667.979565705,160009.367674699,178111.197598369,202158.342209835,43102.9589502781,177872.661227092,178221.18834816,219916.232469194,152746.808725105,169992.58206842,172706.636803277,175355.024931595,178693.318497946,189073.688669025,193194.651474739,155257.045583124,149408.694707062,148877.28582627,177358.441495123,196349.023791162,197200.3551267,197951.698257521,201706.963693166,152846.796929822,195239.150994198,196321.879346821,200647.103621577,218956.360602323,200519.970972518,200051.450556582,179191.062760107,197973.116320096,200389.975132575,198707.31755165,199582.930140646,201602.69932514,284261.412280503,246148.838876056,84247.7380288985,197431.752143784,200389.975132575,141359.483302036,220810.399929882,219960.518812802,220371.887149171,157043.778533854,6152.17585743927,255640.578969998,200995.630742645,141942.298980805,248218.620785927,178459.724719437,218117.857756709,221148.924505875,219900.503542352,180083.150818911,165254.642634247,286789.637569166,46697.4932676111,3255.40946125764,50938.4210184584,55379.32517874
"ak-7",69497.8188861991,72811.8878985574,74601.7486376794,78354.1508824405,81399.4963399895,83464.9648405171,83523.5298925092,83464.9648405178,83523.5298925092,83564.9530452343,83323.5534830749,83523.5298925092,83564.9530452343,83664.9412499515,83623.5180972264,83664.9412499515,84106.3172215453,66625.1541951678,83664.9412499515,83664.9412499515,63462.6313840798,61931.3877056722,57579.0562326073,83523.5298925092,85547.8870873729,88572.0601800322,103431.147930271,83523.5298925092,83564.9530452343,83523.5298925092,93179.0254977424,104155.346616749,128886.679734395,129852.277983034,140111.052888603,3014.02879891914,2065.58189945845,3006.97449392618,1507.009674504,399.952818868798,1914.0829477432,2538.29342950452,3645.30303558529,3928.12575046991,782.78263829215,0,29074.0256564696,31439.6288695459,29232.6072629126,138469.247215796,138510.651468699,138552.074621425,22981.2419289671,30199.2404875359,37909.9178666561,45973.2851312219,138552.074621425,46573.2143595251,50214.2128820692,50914.1303150895,54655.1170423507,55355.034475371,83623.5180972264,11670.3843857267,10636.0578915355,147270.269047228,157785.100219778,148884.481879928,154332.842137478,162084.857620126,164074.619169394,156943.771429316,159285.15953831,177386.989461979,201434.134073445,42378.7508138889,177148.453090703,177496.980211771,219192.024332805,152022.600588716,169268.373932031,171982.428666888,174630.816795205,177969.110361556,188349.480532636,192470.443338349,154532.837446735,148684.486570672,148153.077689881,176634.233358734,195624.815654773,196476.146990311,197227.490121132,200982.755556776,152122.588793433,194514.942857809,195597.671210432,199922.895485188,218232.152465934,199795.762836129,199327.242420193,178466.854623718,197248.908183707,199665.766996186,197983.109415261,198858.722004257,200878.491188751,283537.204144114,245424.630739667,83523.5298925093,196707.544007395,199665.766996186,140635.275165647,220086.191793492,219236.310676413,219647.679012782,156319.570397464,5427.96772105003,254916.370833609,200271.422606256,141218.090844416,247494.412649538,177735.516583048,217393.64962032,220424.716369486,219176.295405963,179358.942682522,164530.434497858,286065.429432777,45973.2851312219,4038.19209954979,50214.2128820692,54655.1170423507
"ma-1",55920.4058577234,59234.4748700817,61024.3356092037,64776.7378539649,67822.0833115138,69887.5518120415,69946.1168640336,69887.5518120421,69946.1168640336,69987.5400167586,69746.1404545992,69946.1168640336,69987.5400167586,70087.5282214758,70046.1050687508,70087.5282214758,70528.9041930697,53047.7411666921,70087.5282214758,70087.5282214758,49885.2183556041,48353.9746771965,44001.6432041316,69946.1168640336,71970.4740588973,74994.6471515565,89853.7349017953,69946.1168640336,69987.5400167586,69946.1168640336,79601.6124692668,90577.9335882736,115309.266705919,116274.864954558,126533.639860127,32029.4799534859,31081.0330540252,32022.4256484929,30522.4608290707,29415.4039734355,27159.9427087264,26535.7322269651,25428.7226208844,25145.8999059997,29798.2337928589,29074.0256564696,0,2365.60321307622,241.409012070937,109395.221559326,109436.62581223,109478.048964955,9403.82890049122,16621.8274590601,24332.5048381803,32395.8721027461,109478.048964955,32995.8013310493,36636.7998535934,37336.7172866137,41077.704013875,41777.6214468953,70046.1050687508,17403.641270743,19241.988917493,133692.856018752,144207.687191302,135307.068851452,140755.429109002,148507.44459165,150497.206140918,143366.35840084,145707.746509834,163809.576433503,187856.721044969,13304.7251574193,163571.040062227,163919.567183295,205614.611304329,138445.18756024,155690.960903555,158405.015638412,161053.403766729,164391.69733308,174772.06750416,178893.030309873,140955.424418259,135107.073542196,134575.664661405,163056.820330258,182047.402626297,182898.733961835,183650.077092656,187405.3425283,138545.175764957,180937.529829333,182020.258181956,186345.482456712,204654.739437458,186218.349807653,185749.829391717,164889.441595242,183671.495155231,186088.35396771,184405.696386785,185281.308975781,187301.078160275,269959.791115639,231847.217711191,69946.1168640336,183130.130978919,186088.35396771,127057.862137171,206508.778765016,205658.897647937,206070.265984306,142742.157368989,24573.1812714145,241338.957805133,186694.00957778,127640.67781594,233916.999621062,164158.103554572,203816.236591844,206847.30334101,205598.882377487,165781.529654046,150953.021469382,272488.016404302,32395.8721027461,33053.6432541165,36636.7998535934,41077.704013875
"ma-5",58286.0090707996,61600.0780831579,63389.9388222799,67142.3410670411,70187.68652459,72253.1550251177,72311.7200771098,72253.1550251183,72311.7200771098,72353.1432298349,72111.7436676754,72311.7200771098,72353.1432298349,72453.131434552,72411.708281827,72453.131434552,72894.5074061459,55413.3443797683,72453.131434552,72453.131434552,52250.8215686803,50719.5778902727,46367.2464172078,72311.7200771098,74336.0772719735,77360.2503646327,92219.3381148715,72311.7200771098,72353.1432298349,72311.7200771098,81967.215682343,92943.5368013499,117674.869918996,118640.468167634,128899.243073204,34395.0831665621,33446.6362671014,34388.0288615691,32888.064042147,31781.0071865117,29525.5459218027,28901.3354400414,27794.3258339606,27511.503119076,32163.8370059351,31439.6288695459,2365.60321307622,0,2207.02160663353,107029.61834625,107071.022599154,107112.445751879,11769.4321135674,18987.4306721363,26698.1080512565,34761.4753158223,107112.445751879,35361.4045441255,39002.4030666696,39702.3204996899,43443.3072269512,44143.2246599715,72411.708281827,19769.2444838192,21607.5921305692,136058.459231828,146573.290404379,137672.672064529,143121.032322078,150873.047804726,152862.809353994,145731.961613916,148073.34972291,166175.17964658,190222.324258046,10939.1219443431,165936.643275303,166285.170396371,207980.214517405,140810.790773316,158056.564116631,160770.618851488,163419.006979806,166757.300546157,177137.670717236,181258.63352295,143321.027631335,137472.676755273,136941.267874481,165422.423543334,184413.005839373,185264.337174911,186015.680305732,189770.945741377,140910.778978033,183303.133042409,184385.861395032,188711.085669788,207020.342650534,188583.953020729,188115.432604793,167255.044808318,186037.098368307,188453.957180786,186771.299599861,187646.912188857,189666.681373351,272325.394328715,234212.820924267,72311.7200771098,185495.734191995,188453.957180786,129423.465350247,208874.381978093,208024.500861014,208435.869197382,145107.760582065,26938.7844844908,243704.561018209,189059.612790856,130006.281029017,236282.602834138,166523.706767648,206181.83980492,209212.906554086,207964.485590563,168147.132867122,153318.624682458,274853.619617378,34761.4753158223,35419.2464671927,39002.4030666696,43443.3072269512
"ma-2",56078.9874641664,59393.0564765247,61182.9172156467,64935.3194604078,67980.6649179568,70046.1334184844,70104.6984704765,70046.1334184851,70104.6984704765,70146.1216232016,69904.7220610422,70104.6984704765,70146.1216232016,70246.1098279188,70204.6866751937,70246.1098279188,70687.4857995127,53206.322773135,70246.1098279188,70246.1098279188,50043.7999620471,48512.5562836394,44160.2248105745,70104.6984704765,72129.0556653403,75153.2287579995,90012.3165082382,70104.6984704765,70146.1216232016,70104.6984704765,79760.1940757098,90736.5151947166,115467.848312362,116433.446561001,126692.22146657,32188.0615599288,31239.6146604681,32181.0072549359,30681.0424355137,29573.9855798785,27318.5243151694,26694.3138334081,25587.3042273273,25304.4815124427,29956.8153993018,29232.6072629126,241.409012070937,2207.02160663353,0,109236.639952884,109278.044205787,109319.467358512,9562.41050693418,16780.409065503,24491.0864446233,32554.4537091891,109319.467358512,33154.3829374923,36795.3814600363,37495.2988930566,41236.2856203179,41936.2030533382,70204.6866751937,17562.2228771859,19400.570523936,133851.437625195,144366.268797745,135465.650457895,140914.010715445,148666.026198093,150655.787747361,143524.940007283,145866.328116277,163968.158039946,188015.302651412,13146.1435509766,163729.62166867,164078.148789738,205773.192910772,138603.769166683,155849.542509998,158563.597244855,161211.985373172,164550.278939523,174930.649110603,179051.611916316,141114.006024702,135265.655148639,134734.246267848,163215.401936701,182205.98423274,183057.315568278,183808.658699099,187563.924134743,138703.7573714,181096.111435776,182178.839788399,186504.064063155,204813.321043901,186376.931414096,185908.41099816,165048.023201685,183830.076761674,186246.935574153,184564.277993228,185439.890582224,187459.659766718,270118.372722082,232005.799317634,70104.6984704766,183288.712585362,186246.935574153,127216.443743614,206667.360371459,205817.47925438,206228.847590749,142900.738975431,24731.7628778575,241497.539411576,186852.591184223,127799.259422383,234075.581227505,164316.685161015,203974.818198287,207005.884947453,205757.46398393,165940.111260489,151111.603075825,272646.598010745,32554.4537091891,33212.2248605595,36795.3814600363,41236.2856203179
"ma-6",165315.62741705,168629.696429408,170419.55716853,174171.959413291,177217.30487084,179282.773371368,179341.33842336,179282.773371369,179341.33842336,179382.761576085,179141.362013926,179341.33842336,179382.761576085,179482.749780802,179441.326628077,179482.749780802,179924.125752396,162442.962726019,179482.749780802,179482.749780802,159280.43991493,157749.196236523,153396.864763458,179341.33842336,181365.695618224,184389.868710883,199248.956461122,179341.33842336,179382.761576085,179341.33842336,188996.834028594,199973.1551476,224704.488265246,225670.086513885,235928.861419454,141424.701512812,140476.254613352,141417.647207819,139917.682388397,138810.625532762,136555.164268053,135930.953786291,134823.944180211,134541.121465326,139193.455352185,138469.247215796,109395.221559326,107029.61834625,109236.639952884,0,241.39956215944,199.976409434341,118799.050459818,126017.049018386,133727.726397507,141791.093662072,199.976409434341,142391.022890376,146032.02141292,146731.93884594,150472.925573201,151172.843006222,179441.326628078,126798.862830069,128637.210476819,243088.07757808,253602.90875063,244702.29041078,250150.65066833,257902.666150978,259892.427700246,252761.579960168,255102.968069162,273204.797992831,252098.342378187,97138.9031563522,272966.261621554,273314.788742623,238323.518248226,247840.409119568,265086.182462883,267800.23719774,270448.625326057,273786.918892408,284167.289063487,288288.2518692,250350.645977587,244502.295101524,243970.886220733,272452.041889585,260807.281487624,259458.872319383,258210.45135586,252549.720894856,247940.397324285,262497.078422741,261580.04268102,253609.580966445,242040.601718467,254979.40819726,256110.699056799,274284.663154569,259431.727875042,256849.176451661,258366.141421686,257241.989916338,252653.985262881,293408.597273366,250490.938152795,179341.33842336,259890.245745902,256849.176451661,236453.083696499,235964.988239965,239216.423935064,237223.544047317,252137.378928317,133968.402830741,264787.763962861,253261.053845376,237035.899375268,256620.189029735,273553.325113899,236665.997348439,234747.846135429,235761.96909134,275176.751213373,260348.24302871,295936.822562029,141791.093662072,142448.864813443,146032.02141292,150472.925573201
