"","Releasesite1","Releasesite2","Releasesite3","Releasesite4","Releasesite5","Johnring","Sound1","Sound2","Sound2.5","Sound3","Sound4","Sound5","Sound6","Sound7","Sound8","Sound10","Sound12","S0","S1","S2","S3","S4","S5","S6","S7","Lillebfyn","Lilleb2","LB2","Lilleb3","LB1","Lillebjylland","UpLB1","UpLB2","VB1","VB2","VB3","VB4","VB5","VB6","VB7","VB8","VB9","VB10","VB11","VB12","VB13","VB14","VB15","VB16","OB1","GOB1","NOB1","OB2","GOB2","NOB2","OB3","GOB3","NOB3","OB4","GOB4","NOB4","OB5","GOB6","NOB5","GOB7","STSUB1","GOB8","NOB6","STSUB2","NOB7","UpOB1","UpOB2","UpOB3","OB6","GOB10","NOB8","GOB11","NOB9","OB8","GOB12","GOB13","OB9","NOB10","NOB11","NOB12","NOB13","NOB14","GOB14","GOB15","GOB16","GOB17","GOB18"
"Lillebjylland",259602.097118281,259484.882612018,259084.80688387,258760.533983079,258560.496119004,259019.179100284,214714.487447012,214731.683021237,215131.758749386,214866.093101726,214934.87539863,215127.89273225,216159.318687755,216055.433738583,216993.861292504,217511.151526916,215524.81394708,215421.640501726,215780.304550969,216197.575853343,216756.27776666,217214.96074794,217632.232050314,218049.503352689,218225.325112084,624.280141945302,241.424765501583,241.424765501583,482.849531002235,482.849531002235,0,2248.8487141778,2807.55062749482,107017.290071412,106983.047587834,106948.805104256,106914.562620678,106838.883680714,106804.641197136,106770.398713558,106694.719773596,106660.477290017,106484.804195497,106450.56171192,106374.882771959,106240.646133824,106064.973039305,105989.294099343,105813.621004823,105315.377612497,105315.377612497,105315.377612497,105381.129283478,105381.129283478,105364.008041689,105446.880954459,105446.880954459,105429.759712671,105412.638470882,105412.638470882,105519.826598249,105502.70535646,105502.70535646,105502.70535646,105502.70535646,105744.229231878,105744.229231878,105744.229231878,106261.519466288,106261.519466288,105178.506788106,105654.385343612,106171.675578023,106996.043139,106620.183515532,106578.771836626,106578.771836626,106878.828632737,106996.043139,106996.043139,107296.099935112,107296.099935112,107354.707188243,107713.371237485,108230.661471897,108647.932774272,108806.55895944,107613.352305448,107871.997422654,108230.661471897,108489.306589103,108806.55895944
"UpLB1",257411.830879756,257294.616373493,256894.540645345,256570.267744554,256370.229880479,256828.912861759,212524.221208487,212541.416782712,212941.492510861,212675.826863201,212744.609160105,212937.626493725,213969.05244923,213865.167500058,214803.595053979,215320.885288391,213334.547708555,213231.374263201,213590.038312443,214007.309614818,214566.011528135,215024.694509415,215441.965811789,215859.237114164,216035.058873558,2590.31718919455,2266.04428840318,2266.04428840318,2448.88657825148,2448.88657825148,2248.8487141778,0,641.525271128809,104827.023832887,104792.781349308,104758.53886573,104724.296382152,104648.617442189,104614.374958611,104580.132475033,104504.453535071,104470.211051492,104294.537956972,104260.295473395,104184.616533434,104050.379895299,103874.706800779,103799.027860818,103623.354766298,103125.111373972,103125.111373972,103125.111373972,103190.863044953,103190.863044953,103173.741803164,103256.614715934,103256.614715934,103239.493474146,103222.372232357,103222.372232357,103329.560359724,103312.439117935,103312.439117935,103312.439117935,103312.439117935,103553.962993352,103553.962993352,103553.962993352,104071.253227763,104071.253227763,102988.240549581,103464.119105086,103981.409339498,104805.776900475,104429.917277006,104388.505598101,104388.505598101,104688.562394212,104805.776900475,104805.776900475,105105.833696586,105105.833696586,105164.440949718,105523.10499896,106040.395233372,106457.666535746,106616.292720915,105423.086066923,105681.731184129,106040.395233372,106299.040350578,106616.292720915
"UpLB2",257346.079208776,257228.864702514,256828.788974365,256504.516073574,256304.478209499,256763.161190779,212458.469537507,212475.665111733,212875.740839881,212610.075192222,212678.857489125,212871.874822745,213903.30077825,213799.415829078,214737.843383,215255.133617411,213268.796037576,213165.622592221,213524.286641464,213941.557943838,214500.259857155,214958.942838435,215376.21414081,215793.485443184,215969.307202579,3149.01910251157,2824.7462017202,2824.7462017202,3007.5884915685,3007.5884915685,2807.55062749482,641.525271128809,0,104761.272161908,104727.029678329,104692.787194751,104658.544711173,104582.865771209,104548.623287632,104514.380804054,104438.701864091,104404.459380512,104228.786285992,104194.543802416,104118.864862454,103984.628224319,103808.9551298,103733.276189838,103557.603095319,103059.359702992,103059.359702992,103059.359702992,103125.111373973,103125.111373973,103107.990132184,103190.863044954,103190.863044954,103173.741803166,103156.620561377,103156.620561377,103263.808688744,103246.687446955,103246.687446955,103246.687446955,103246.687446955,103488.211322373,103488.211322373,103488.211322373,104005.501556784,104005.501556784,102922.488878601,103398.367434107,103915.657668518,104740.025229495,104364.165606027,104322.753927121,104322.753927121,104622.810723232,104740.025229495,104740.025229495,105040.082025607,105040.082025607,105098.689278738,105457.353327981,105974.643562392,106391.914864767,106550.541049935,105357.334395943,105615.97951315,105974.643562392,106233.288679598,106550.541049935
"VB1",162016.58562691,161899.371120647,161499.295392499,161175.022491708,160974.984627633,161433.667608913,188856.944011394,188874.13958562,189274.215313768,189008.549666109,189077.331963012,189270.349296632,190301.775252137,190197.890302965,191136.317856886,191653.608091298,189667.270511462,189564.097066108,189922.761115351,190340.032417725,190898.734331042,191357.417312322,191774.688614697,192191.959917071,192367.781676466,107358.758546429,107034.485645638,107034.485645638,107217.327935486,107217.327935486,107017.290071412,104827.023832887,104761.272161908,0,482.89908596036,965.798171920062,1448.69725787988,1831.57741180307,2314.47649776289,2797.37558372259,3180.25573764523,3663.15482360559,4087.44665643413,4570.34574239384,4953.22589631648,5477.53666118208,5901.82849401062,6284.70864793315,6709.00048076169,10313.5480512355,10313.5480512355,10313.5480512355,10755.03545829,10755.03545829,10996.4850012702,11196.5228653445,11196.5228653445,11437.9724083241,11679.4219513042,11679.4219513042,12220.9282903953,12462.3778333754,12462.3778333754,12462.3778333754,12462.3778333754,13045.2958513724,13045.2958513724,13045.2958513724,13728.2328014071,13728.2328014071,12810.8668388467,13535.2154677866,14218.1524178208,14794.0499053638,14169.7202084609,14211.1318873668,14211.1318873668,14511.1886834783,14794.0499053638,14794.0499053638,15094.1067014752,15094.1067014752,15235.5373124183,15677.0247194729,16359.9616695069,16942.8796875038,17184.329230484,15577.0057874357,15918.4742624523,16359.9616695069,16701.4301445236,17184.329230484
"VB2",161699.333256573,161582.118750311,161182.043022162,160857.770121371,160657.732257296,161116.415238576,188822.701527815,188839.897102041,189239.972830189,188974.30718253,189043.089479433,189236.106813053,190267.532768558,190163.647819386,191102.075373308,191619.36560772,189633.028027884,189529.854582529,189888.518631772,190305.789934146,190864.491847463,191323.174828744,191740.446131118,192157.717433492,192333.539192887,107324.51606285,107000.243162059,107000.243162059,107183.085451907,107183.085451907,106983.047587834,104792.781349308,104727.029678329,482.89908596036,0,482.899085959702,965.79817191952,1348.67832584271,1831.57741180253,2314.47649776223,2697.35665168487,3180.25573764523,3604.54757047377,4087.44665643348,4470.32681035612,4994.63757522172,5418.92940805026,5801.80956197279,6226.10139480133,9830.6489652751,9830.6489652751,9830.6489652751,10272.1363723297,10272.1363723297,10513.5859153098,10713.6237793842,10713.6237793842,10955.0733223637,11196.5228653439,11196.5228653439,11738.0292044349,11979.4787474151,11979.4787474151,11979.4787474151,11979.4787474151,12562.3967654121,12562.3967654121,12562.3967654121,13245.3337154468,13245.3337154468,12327.9677528863,13052.3163818262,13735.2533318604,14311.1508194035,13686.8211225006,13728.2328014065,13728.2328014065,14028.289597518,14311.1508194035,14311.1508194035,14611.2076155149,14611.2076155149,14752.6382264579,15194.1256335125,15877.0625835466,16459.9806015434,16701.4301445237,15094.1067014753,15435.575176492,15877.0625835466,16218.5310585632,16701.4301445237
"VB3",161382.080886236,161264.866379973,160864.790651824,160540.517751033,160340.479886958,160799.162868239,188788.459044237,188805.654618463,189205.730346611,188940.064698952,189008.846995855,189201.864329475,190233.29028498,190129.405335808,191067.83288973,191585.123124142,189598.785544306,189495.612098951,189854.276148194,190271.547450568,190830.249363885,191288.932345165,191706.20364754,192123.474949914,192299.296709309,107290.273579272,106966.000678481,106966.000678481,107148.842968329,107148.842968329,106948.805104256,104758.53886573,104692.787194751,965.798171920062,482.899085959702,0,482.899085959818,865.779239883006,1348.67832584282,1831.57741180253,2214.45756572517,2697.35665168553,3121.64848451407,3604.54757047377,3987.42772439642,4511.73848926202,4936.03032209056,5318.91047601309,5743.20230884163,9347.7498793154,9347.7498793154,9347.7498793154,9789.23728636998,9789.23728636998,10030.6868293501,10230.7246934244,10230.7246934244,10472.174236404,10713.6237793842,10713.6237793842,11255.1301184752,11496.5796614554,11496.5796614554,11496.5796614554,11496.5796614554,12079.4976794524,12079.4976794524,12079.4976794524,12762.4346294871,12762.4346294871,11845.0686669266,12569.4172958665,13252.3542459007,13828.2517334438,13203.9220365409,13245.3337154468,13245.3337154468,13545.3905115583,13828.2517334438,13828.2517334438,14128.3085295552,14128.3085295552,14269.7391404982,14711.2265475528,15394.1634975869,15977.0815155837,16218.531058564,14611.2076155156,14952.6760905323,15394.1634975869,15735.6319726035,16218.531058564
"VB4",161064.828515898,160947.614009636,160547.538281487,160223.265380696,160023.227516621,160481.910497901,188754.216560659,188771.412134885,189171.487863033,188905.822215374,188974.604512277,189167.621845897,190199.047801402,190095.16285223,191033.590406152,191550.880640564,189564.543060728,189461.369615373,189820.033664616,190237.30496699,190796.006880307,191254.689861588,191671.961163962,192089.232466336,192265.054225731,107256.031095694,106931.758194903,106931.758194903,107114.600484751,107114.600484751,106914.562620678,104724.296382152,104658.544711173,1448.69725787988,965.79817191952,482.899085959818,0,382.880153923188,865.779239883006,1348.67832584271,1731.55847976535,2214.45756572571,2638.74939855425,3121.64848451396,3504.5286384366,4028.8394033022,4453.13123613074,4836.01139005327,5260.30322288181,8864.85079335558,8864.85079335558,8864.85079335558,9306.33820041016,9306.33820041016,9547.78774339029,9747.82560746463,9747.82560746463,9989.27515044421,10230.7246934243,10230.7246934243,10772.2310325154,11013.6805754955,11013.6805754955,11013.6805754955,11013.6805754955,11596.5985934925,11596.5985934925,11596.5985934925,12279.5355435272,12279.5355435272,11362.1695809668,12086.5182099067,12769.4551599409,13345.3526474839,12721.0229505811,12762.434629487,12762.434629487,13062.4914255985,13345.3526474839,13345.3526474839,13645.4094435953,13645.4094435953,13786.8400545384,14228.327461593,14911.264411627,15494.1824296239,15735.6319726042,14128.3085295558,14469.7770045725,14911.264411627,15252.7328866437,15735.6319726042
"VB5",160847.595077599,160730.380571336,160330.304843187,160006.031942396,159805.994078321,160264.677059602,188678.537620696,188695.733194921,189095.80892307,188830.14327541,188898.925572314,189091.942905934,190123.368861439,190019.483912267,190957.911466188,191475.2017006,189488.864120764,189385.69067541,189744.354724653,190161.626027027,190720.327940344,191179.010921624,191596.282223998,192013.553526373,192189.375285768,107180.352155731,106856.07925494,106856.07925494,107038.921544788,107038.921544788,106838.883680714,104648.617442189,104582.865771209,1831.57741180307,1348.67832584271,865.779239883006,382.880153923188,0,482.899085959818,965.79817191952,1348.67832584217,1831.57741180253,2255.86924463107,2738.76833059077,3121.64848451341,3645.95924937901,4070.25108220755,4453.13123613008,4877.42306895862,8481.97063943239,8481.97063943239,8481.97063943239,8923.45804648698,8923.45804648698,9164.9075894671,9364.94545354144,9364.94545354144,9606.39499652102,9847.84453950114,9847.84453950114,10389.3508785922,10630.8004215724,10630.8004215724,10630.8004215724,10630.8004215724,11213.7184395694,11213.7184395694,11213.7184395694,11896.6553896041,11896.6553896041,10979.2894270436,11703.6380559835,12386.5750060177,12962.4724935608,12338.1427966579,12379.5544755638,12379.5544755638,12679.6112716753,12962.4724935608,12962.4724935608,13262.5292896722,13262.5292896722,13403.9599006152,13845.4473076698,14528.3842577038,15111.3022757007,15352.751818681,13745.4283756326,14086.8968506493,14528.3842577038,14869.8527327205,15352.751818681
"VB6",160530.342707261,160413.128200998,160013.05247285,159688.779572059,159488.741707984,159947.424689264,188644.295137118,188661.490711343,189061.566439492,188795.900791832,188864.683088736,189057.700422356,190089.126377861,189985.241428689,190923.66898261,191440.959217022,189454.621637186,189351.448191832,189710.112241075,190127.383543449,190686.085456766,191144.768438046,191562.03974042,191979.311042795,192155.13280219,107146.109672153,106821.836771362,106821.836771362,107004.67906121,107004.67906121,106804.641197136,104614.374958611,104548.623287632,2314.47649776289,1831.57741180253,1348.67832584282,865.779239883006,482.899085959818,0,482.899085959702,865.779239882348,1348.67832584271,1772.97015867125,2255.86924463095,2638.7493985536,3163.06016341919,3587.35199624773,3970.23215017026,4394.5239829988,7999.07155347258,7999.07155347258,7999.07155347258,8440.55896052716,8440.55896052716,8682.00850350728,8882.04636758162,8882.04636758162,9123.4959105612,9364.94545354132,9364.94545354132,9906.45179263242,10147.9013356125,10147.9013356125,10147.9013356125,10147.9013356125,10730.8193536095,10730.8193536095,10730.8193536095,11413.7563036442,11413.7563036442,10496.3903410838,11220.7389700237,11903.6759200579,12479.5734076009,11855.243710698,11896.6553896039,11896.6553896039,12196.7121857155,12479.5734076009,12479.5734076009,12779.6302037123,12779.6302037123,12921.0608146554,13362.54822171,14045.485171744,14628.4031897409,14869.8527327211,13262.5292896728,13603.9977646894,14045.485171744,14386.9536467607,14869.8527327211
"VB7",160213.090336924,160095.875830661,159695.800102512,159371.527201721,159171.489337646,159630.172318927,188610.05265354,188627.248227765,189027.323955914,188761.658308254,188830.440605158,189023.457938778,190054.883894283,189950.998945111,190889.426499032,191406.716733444,189420.379153608,189317.205708254,189675.869757497,190093.141059871,190651.842973188,191110.525954468,191527.797256842,191945.068559217,192120.890318612,107111.867188575,106787.594287784,106787.594287784,106970.436577632,106970.436577632,106770.398713558,104580.132475033,104514.380804054,2797.37558372259,2314.47649776223,1831.57741180253,1348.67832584271,965.79817191952,482.899085959702,0,382.880153922646,865.779239883006,1290.07107271155,1772.97015867125,2155.85031259389,2680.16107745949,3104.45291028803,3487.33306421056,3911.6248970391,7516.17246751287,7516.17246751287,7516.17246751287,7957.65987456746,7957.65987456746,8199.10941754758,8399.14728162192,8399.14728162192,8640.5968246015,8882.04636758162,8882.04636758162,9423.55270667272,9665.00224965284,9665.00224965284,9665.00224965284,9665.00224965284,10247.9202676498,10247.9202676498,10247.9202676498,10930.8572176845,10930.8572176845,10013.4912551241,10737.839884064,11420.7768340982,11996.6743216412,11372.3446247383,11413.7563036442,11413.7563036442,11713.8130997558,11996.6743216412,11996.6743216412,12296.7311177526,12296.7311177526,12438.1617286957,12879.6491357503,13562.5860857843,14145.5041037812,14386.9536467614,12779.6302037131,13121.0986787297,13562.5860857843,13904.054560801,14386.9536467614
"VB8",159995.856898623,159878.642392361,159478.566664212,159154.293763421,158954.255899346,159412.938880627,188534.373713578,188551.569287803,188951.645015951,188685.979368292,188754.761665195,188947.778998815,189979.20495432,189875.320005148,190813.74755907,191331.037793482,189344.700213646,189241.526768292,189600.190817534,190017.462119909,190576.164033225,191034.847014506,191452.11831688,191869.389619255,192045.211378649,107036.188248613,106711.915347821,106711.915347821,106894.75763767,106894.75763767,106694.719773596,104504.453535071,104438.701864091,3180.25573764523,2697.35665168487,2214.45756572517,1731.55847976535,1348.67832584217,865.779239882348,382.880153922646,0,482.89908596036,907.190918788901,1390.0900047486,1772.97015867125,2297.28092353684,2721.57275636538,3104.45291028791,3528.74474311646,7133.29231359023,7133.29231359023,7133.29231359023,7574.77972064481,7574.77972064481,7816.22926362493,8016.26712769928,8016.26712769928,8257.71667067886,8499.16621365898,8499.16621365898,9040.67255275007,9282.1220957302,9282.1220957302,9282.1220957302,9282.1220957302,9865.04011372719,9865.04011372719,9865.04011372719,10547.9770637619,10547.9770637619,9630.61110120142,10354.9597301414,11037.8966801755,11613.7941677186,10989.4644708157,11030.8761497216,11030.8761497216,11330.9329458331,11613.7941677186,11613.7941677186,11913.85096383,11913.85096383,12055.281574773,12496.7689818276,13179.7059318617,13762.6239498586,14004.0734928388,12396.7500497905,12738.2185248071,13179.7059318617,13521.1744068783,14004.0734928388
"VB9",159678.604528287,159561.390022024,159161.314293875,158837.041393084,158637.003529009,159095.68651029,188500.131229999,188517.326804224,188917.402532373,188651.736884713,188720.519181617,188913.536515237,189944.962470742,189841.077521569,190779.505075491,191296.795309903,189310.457730067,189207.284284713,189565.948333955,189983.21963633,190541.921549646,191000.604530927,191417.875833301,191835.147135676,192010.96889507,107001.945765034,106677.672864242,106677.672864242,106860.515154091,106860.515154091,106660.477290017,104470.211051492,104404.459380512,3663.15482360559,3180.25573764523,2697.35665168553,2214.45756572571,1831.57741180253,1348.67832584271,865.779239883006,482.89908596036,0,424.291832828541,907.190918788242,1290.07107271089,1814.38183757648,2238.67367040502,2621.55382432755,3045.8456571561,6650.39322762987,6650.39322762987,6650.39322762987,7091.88063468445,7091.88063468445,7333.33017766457,7533.36804173892,7533.36804173892,7774.8175847185,8016.26712769862,8016.26712769862,8557.77346678971,8799.22300976983,8799.22300976983,8799.22300976983,8799.22300976983,9382.14102776683,9382.14102776683,9382.14102776683,10065.0779778015,10065.0779778015,9147.71201524106,9872.060644181,10554.9975942152,11130.8950817582,10506.5653848553,10547.9770637612,10547.9770637612,10848.0338598727,11130.8950817582,11130.8950817582,11430.9518778696,11430.9518778696,11572.3824888127,12013.8698958673,12696.8068459013,13279.7248638982,13521.1744068784,11913.8509638301,12255.3194388467,12696.8068459013,13038.275320918,13521.1744068784
"VB10",159502.782768892,159385.568262629,158985.492534481,158661.21963369,158461.181769615,158919.864750895,188324.458135478,188341.653709703,188741.729437852,188476.063790192,188544.846087096,188737.863420716,189769.289376221,189665.404427048,190603.83198097,191121.122215382,189134.784635546,189031.611190192,189390.275239434,189807.546541809,190366.248455126,190824.931436406,191242.20273878,191659.474041155,191835.295800549,106826.272670514,106501.999769722,106501.999769722,106684.842059571,106684.842059571,106484.804195497,104294.537956972,104228.786285992,4087.44665643413,3604.54757047377,3121.64848451407,2638.74939855425,2255.86924463107,1772.97015867125,1290.07107271155,907.190918788901,424.291832828541,0,482.899085959702,865.779239882348,1390.09000474794,1814.38183757648,2197.26199149901,2621.55382432755,6226.10139480133,6226.10139480133,6226.10139480133,6667.58880185591,6667.58880185591,6909.03834483603,7109.07620891038,7109.07620891038,7350.52575188996,7591.97529487008,7591.97529487008,8133.48163396117,8374.93117694129,8374.93117694129,8374.93117694129,8374.93117694129,8957.84919493828,8957.84919493828,8957.84919493828,9640.78614497299,9640.78614497299,8723.42018241252,9447.76881135246,10130.7057613866,10706.6032489297,10082.2735520268,10123.6852309327,10123.6852309327,10423.7420270442,10706.6032489297,10706.6032489297,11006.6600450411,11006.6600450411,11148.0906559841,11589.5780630387,12272.5150130728,12855.4330310696,13096.8825740499,11489.5591310016,11831.0276060182,12272.5150130728,12613.9834880894,13096.8825740499
"VB11",159185.530398555,159068.315892292,158668.240164143,158343.967263352,158143.929399277,158602.612380558,188290.2156519,188307.411226125,188707.486954274,188441.821306614,188510.603603518,188703.620937138,189735.046892643,189631.16194347,190569.589497392,191086.879731804,189100.542151968,188997.368706614,189356.032755856,189773.304058231,190332.005971548,190790.688952828,191207.960255202,191625.231557577,191801.053316971,106792.030186937,106467.757286146,106467.757286146,106650.599575994,106650.599575994,106450.56171192,104260.295473395,104194.543802416,4570.34574239384,4087.44665643348,3604.54757047377,3121.64848451396,2738.76833059077,2255.86924463095,1772.97015867125,1390.0900047486,907.190918788242,482.899085959702,0,382.880153922646,907.190918788242,1331.48275161678,1714.36290553931,2138.65473836785,5743.20230884163,5743.20230884163,5743.20230884163,6184.68971589621,6184.68971589621,6426.13925887633,6626.17712295067,6626.17712295067,6867.62666593025,7109.07620891038,7109.07620891038,7650.58254800147,7892.03209098159,7892.03209098159,7892.03209098159,7892.03209098159,8474.95010897858,8474.95010897858,8474.95010897858,9157.88705901329,9157.88705901329,8240.52109645281,8964.86972539275,9647.80667542692,10223.70416297,9599.37446606709,9640.78614497299,9640.78614497299,9940.8429410845,10223.70416297,10223.70416297,10523.7609590814,10523.7609590814,10665.1915700244,11106.678977079,11789.6159271131,12372.5339451099,12613.9834880902,11006.6600450419,11348.1285200585,11789.6159271131,12131.0844021297,12613.9834880902
"VB12",158968.296960254,158851.082453992,158451.006725843,158126.733825052,157926.695960977,158385.378942257,188214.536711937,188231.732286163,188631.808014311,188366.142366652,188434.924663555,188627.941997175,189659.36795268,189555.483003508,190493.91055743,191011.200791841,189024.863212006,188921.689766651,189280.353815894,189697.625118268,190256.327031585,190715.010012865,191132.28131524,191549.552617614,191725.374377009,106716.351246976,106392.078346184,106392.078346184,106574.920636033,106574.920636033,106374.882771959,104184.616533434,104118.864862454,4953.22589631648,4470.32681035612,3987.42772439642,3504.5286384366,3121.64848451341,2638.7493985536,2155.85031259389,1772.97015867125,1290.07107271089,865.779239882348,382.880153922646,0,524.310764865596,948.602597694137,1331.48275161667,1755.77458444521,5360.32215491898,5360.32215491898,5360.32215491898,5801.80956197356,5801.80956197356,6043.25910495368,6243.29696902803,6243.29696902803,6484.74651200761,6726.19605498773,6726.19605498773,7267.70239407882,7509.15193705895,7509.15193705895,7509.15193705895,7509.15193705895,8092.06995505594,8092.06995505594,8092.06995505594,8775.00690509064,8775.00690509064,7857.64094253017,8581.98957147011,9264.92652150427,9840.82400904733,9216.49431214445,9257.90599105034,9257.90599105034,9557.96278716186,9840.82400904733,9840.82400904733,10140.8808051587,10140.8808051587,10282.3114161018,10723.7988231564,11406.7357731904,11989.6537911873,12231.1033341675,10623.7798911192,10965.2483661358,11406.7357731904,11748.2042482071,12231.1033341675
"VB13",158692.456268823,158575.24176256,158175.166034411,157850.89313362,157650.855269545,158109.538250826,188080.300073801,188097.495648026,188497.571376175,188231.905728515,188300.688025419,188493.705359039,189525.131314544,189421.246365371,190359.673919293,190876.964153705,188890.626573869,188787.453128515,189146.117177757,189563.388480132,190122.090393449,190580.773374729,190998.044677103,191415.315979478,191591.137738872,106582.114608841,106257.84170805,106257.84170805,106440.683997898,106440.683997898,106240.646133824,104050.379895299,103984.628224319,5477.53666118208,4994.63757522172,4511.73848926202,4028.8394033022,3645.95924937901,3163.06016341919,2680.16107745949,2297.28092353684,1814.38183757648,1390.09000474794,907.190918788242,524.310764865596,0,424.291832828541,807.171986751071,1231.46381957961,4836.01139005338,4836.01139005338,4836.01139005338,5277.49879710797,5277.49879710797,5518.94834008809,5718.98620416243,5718.98620416243,5960.43574714201,6201.88529012213,6201.88529012213,6743.39162921323,6984.84117219335,6984.84117219335,6984.84117219335,6984.84117219335,7567.75919019034,7567.75919019034,7567.75919019034,8250.69614022505,8250.69614022505,7333.33017766457,8057.67880660451,8740.61575663867,9316.51324418174,8692.18354727885,8733.59522618475,8733.59522618475,9033.65202229626,9316.51324418174,9316.51324418174,9616.57004029314,9616.57004029314,9758.0006512362,10199.4880582908,10882.4250083248,11465.3430263217,11706.7925693019,10099.4691262536,10440.9376012702,10882.4250083248,11223.8934833415,11706.7925693019
"VB14",158516.634509428,158399.420003166,157999.344275017,157675.071374226,157475.033510151,157933.716491431,187904.62697928,187921.822553505,188321.898281654,188056.232633994,188125.014930898,188318.032264518,189349.458220023,189245.573270851,190184.000824772,190701.291059184,188714.953479348,188611.780033994,188970.444083236,189387.715385611,189946.417298928,190405.100280208,190822.371582582,191239.642884957,191415.464644351,106406.441514321,106082.16861353,106082.16861353,106265.010903378,106265.010903378,106064.973039305,103874.706800779,103808.9551298,5901.82849401062,5418.92940805026,4936.03032209056,4453.13123613074,4070.25108220755,3587.35199624773,3104.45291028803,2721.57275636538,2238.67367040502,1814.38183757648,1331.48275161678,948.602597694137,424.291832828541,0,382.88015392253,807.171986751071,4411.71955722484,4411.71955722484,4411.71955722484,4853.20696427943,4853.20696427943,5094.65650725955,5294.69437133389,5294.69437133389,5536.14391431347,5777.59345729359,5777.59345729359,6319.09979638469,6560.54933936481,6560.54933936481,6560.54933936481,6560.54933936481,7143.4673573618,7143.4673573618,7143.4673573618,7826.4043073965,7826.4043073965,6909.03834483603,7633.38697377597,8316.32392381013,8892.2214113532,8267.89171445031,8309.30339335621,8309.30339335621,8609.36018946772,8892.2214113532,8892.2214113532,9192.27820746459,9192.27820746459,9333.70881840766,9775.19622546224,10458.1331754963,11041.0511934932,11282.5007364734,9675.17729342507,10016.6457684417,10458.1331754963,10799.6016505129,11282.5007364734
"VB15",158299.401071128,158182.186564865,157782.110836717,157457.837935926,157257.800071851,157716.483053131,187828.948039317,187846.143613543,188246.219341691,187980.553694032,188049.335990935,188242.353324555,189273.77928006,189169.894330888,190108.321884809,190625.612119221,188639.274539386,188536.101094031,188894.765143274,189312.036445648,189870.738358965,190329.421340245,190746.69264262,191163.963944994,191339.785704389,106330.76257436,106006.489673568,106006.489673568,106189.331963417,106189.331963417,105989.294099343,103799.027860818,103733.276189838,6284.70864793315,5801.80956197279,5318.91047601309,4836.01139005327,4453.13123613008,3970.23215017026,3487.33306421056,3104.45291028791,2621.55382432755,2197.26199149901,1714.36290553931,1331.48275161667,807.171986751071,382.88015392253,0,424.291832828541,4028.83940330231,4028.83940330231,4028.83940330231,4470.3268103569,4470.3268103569,4711.77635333702,4911.81421741136,4911.81421741136,5153.26376039094,5394.71330337106,5394.71330337106,5936.21964246216,6177.66918544228,6177.66918544228,6177.66918544228,6177.66918544228,6760.58720343927,6760.58720343927,6760.58720343927,7443.52415347397,7443.52415347397,6526.1581909135,7250.50681985344,7933.4437698876,8509.34125743067,7885.01156052778,7926.42323943368,7926.42323943368,8226.48003554519,8509.34125743067,8509.34125743067,8809.39805354207,8809.39805354207,8950.82866448513,9392.31607153971,10075.2530215738,10658.1710395706,10899.6205825509,9292.29713950254,9633.76561451918,10075.2530215738,10416.7214965904,10899.6205825509
"VB16",158123.579311733,158006.364805471,157606.289077322,157282.016176531,157081.978312456,157540.661293737,187653.274944796,187670.470519022,188070.54624717,187804.880599511,187873.662896414,188066.680230034,189098.106185539,188994.221236367,189932.648790289,190449.939024701,188463.601444865,188360.42799951,188719.092048753,189136.363351127,189695.065264444,190153.748245724,190571.019548099,190988.290850473,191164.112609868,106155.08947984,105830.816579049,105830.816579049,106013.658868897,106013.658868897,105813.621004823,103623.354766298,103557.603095319,6709.00048076169,6226.10139480133,5743.20230884163,5260.30322288181,4877.42306895862,4394.5239829988,3911.6248970391,3528.74474311646,3045.8456571561,2621.55382432755,2138.65473836785,1755.77458444521,1231.46381957961,807.171986751071,424.291832828541,0,3604.54757047377,3604.54757047377,3604.54757047377,4046.03497752836,4046.03497752836,4287.48452050848,4487.52238458282,4487.52238458282,4728.9719275624,4970.42147054252,4970.42147054252,5511.92780963362,5753.37735261374,5753.37735261374,5753.37735261374,5753.37735261374,6336.29537061073,6336.29537061073,6336.29537061073,7019.23232064543,7019.23232064543,6101.86635808496,6826.2149870249,7509.15193705906,8085.04942460213,7460.71972769924,7502.13140660514,7502.13140660514,7802.18820271665,8085.04942460213,8085.04942460213,8385.10622071353,8385.10622071353,8526.53683165659,8968.02423871117,9650.96118874522,10233.8792067421,10475.3287497223,8868.005306674,9209.47378169064,9650.96118874522,9992.42966376185,10475.3287497223
