"","amp_2017_8","mon_2017_10","and_2017_3","gm_2017","amp_2017_9","and_2017_5","ir_2017_2","gm_2017_15","gm_2017_13","gm_2017_5","gm_2017_3","gm_2017_16","mon_2017_9","gm_2017_11","mon_2017_3","and_2017_7","gm_2017_12","gm_2017_7","gm_2017_8","amp_2017_6","amp_2017_2","and_2017_1","and_2017_2","mon_2017_7","lix_2017_6","amp_2017_1","gm_2017_1","amp_2017_4","lix_2017_2","lix_2017_4","lix_2017_3","lix_2017_5","lix_2017_7","gm_2017_14","gm_2017_2","gm_2017_4","gm_2017_9","mon_2017","mon_2017_8","ir_2017_6","lix_2017_8","ir_2017_3","mon_2017_6","ir_2017_5","ir_2017_8","and_2017_8","and_2017_4","ir_2017_1","ir_2017_21","mon_2017_5","amp_2017_5","mon_2017_2","lix_2017_9","ir_2017_7","amp_2017_3","mon_2017_4","mon_2017_1","gm_2017_6","and_2017_6","and_2017","ir_2017_16","ir_2017_18","ir_2017_15","ir_2017_12","ir_2017_19","ir_2017_13","ir_2017_17","ir_2017_11","ir_2017_20","ir_2017_10","ir_2017_14","ir_2017_9","ir_2017_4","lix_2017_1","rel_life4fish1","rel_life4fish2","rel_life4fish3","rel_life4fish5","rel_life4fish4","rel_life4fish6"
"gm_2017_3",34917.864435,67787.9429553816,15123.1185787209,99.9844049345702,37589.995542734,15164.5369889422,49858.2217661207,99.9844049345702,99.9844049345702,0,0,3644.73125600537,67288.0809084811,99.9844049345702,67288.0809084811,15164.5369889422,99.9844049345702,0,0,34876.4460247787,34835.0276145573,15181.6725778797,15123.1185787209,67246.6624982597,79656.8913145658,34835.0276145573,99.9844049355015,34835.0276145573,79698.2977292317,79698.2977292317,79698.2977292317,79656.8913145658,79656.8913145658,99.9844049345702,0,0,0,67246.6624982597,67288.0809084811,49858.2217661208,79756.8757195013,49858.2217661208,67246.6624982597,49858.2217661208,49816.8033558994,17064.0127671643,15164.5369889422,49858.2217661208,51423.5211338824,67246.6624982597,34835.0276145573,67288.0809084811,80422.4234028426,49816.8033558994,34835.0276145573,67288.0809084811,67288.0809084811,99.9724093801342,15164.5369889422,15523.0082162413,49758.2493567407,49758.2493567407,49758.2493567407,49858.2217661208,49758.2493567407,49858.2217661208,49758.2493567407,49858.2217661208,49758.2493567407,49858.2217661208,49758.2493567407,49975.3297644383,49858.2217661208,79698.2977292317,2854.94033755605,69533.2584109413,2048.01383016877,50416.6378121801,15822.9254443817,35776.1977091998
"gm_2017_16",31273.1331789947,64143.2116993763,11478.3873227155,3603.31284578469,33945.2642867286,11519.8057329369,46213.4905101154,3603.31284578469,3603.31284578469,3644.73125600537,3644.73125600537,0,63643.3496524758,3603.31284578469,63643.3496524758,11519.8057329369,3603.31284578469,3644.73125600537,3644.73125600537,31231.7147687733,31190.296358552,11536.9413218743,11478.3873227155,63601.9312422544,76012.1600585605,31190.296358552,3686.1496662267,31190.296358552,76053.5664732264,76053.5664732264,76053.5664732264,76012.1600585605,76012.1600585605,3603.31284578469,3644.73125600537,3644.73125600537,3644.73125600537,63601.9312422544,63643.3496524758,46213.4905101155,76112.144463496,46213.4905101155,63601.9312422544,46213.4905101155,46172.0720998941,13419.2815111589,11519.8057329369,46213.4905101155,47778.7898778771,63601.9312422544,31190.296358552,63643.3496524758,76777.6921468373,46172.0720998941,31190.296358552,63643.3496524758,63643.3496524758,3744.7036653855,11519.8057329369,11878.2769602359,46113.5181007354,46113.5181007354,46113.5181007354,46213.4905101155,46113.5181007354,46213.4905101155,46113.5181007354,46213.4905101155,46113.5181007354,46213.4905101155,46113.5181007354,46330.5985084331,46213.4905101155,76053.5664732264,6416.83477312006,65888.527154936,1655.2834205505,46771.9065561748,12178.1941883763,32131.4664531944
"mon_2017_9",32453.0532939241,582.698867343227,52164.9623297603,67246.6624982604,29756.6513604615,52206.3807399817,17429.8591423605,67246.6624982604,67246.6624982604,67288.0809084811,67288.0809084811,63643.3496524758,0,67246.6624982604,199.968809871003,52206.3807399817,67246.6624982604,67288.080908481,67288.080908481,32411.6348837027,32453.0532939241,52106.4083306015,52164.9623297603,99.9844049355015,13285.7456616647,32453.0532939241,67329.4993187024,32453.0532939241,13327.1520763306,13327.1520763306,13327.1520763306,13285.7456616647,13285.7456616647,67246.6624982604,67288.080908481,67288.080908481,67288.080908481,99.9844049355015,0,17429.8591423605,13385.7300666002,17429.8591423605,99.9844049355015,17429.8591423605,17471.2775525818,50224.0681413169,52206.3807399817,17429.8591423605,15864.5597745988,99.9844049355015,32453.0532939241,199.968809871003,14051.2777499416,17471.2775525818,32453.0532939241,199.968809871003,199.968809871003,67388.0533178612,52206.3807399817,51765.0726922399,17529.8315517405,17529.8315517405,17529.8315517405,17429.8591423605,17529.8315517405,17429.8591423605,17529.8315517405,17429.8591423605,17529.8315517405,17429.8591423605,17529.8315517405,17312.7511440429,17429.8591423605,13327.1520763306,70060.1844255957,3162.11275804008,65240.0670783123,16871.4430963011,51465.1554640995,31511.8831992816
"gm_2017_11",34876.4460247793,67746.5245451609,15081.7001685002,0,37548.5771325133,15123.1185787215,49816.8033559001,0,0,99.9844049345702,99.9844049345702,3603.31284578469,67246.6624982604,0,67246.6624982604,15123.1185787215,0,99.9844049345702,99.9844049345702,34835.027614558,34793.6092043367,15140.254167659,15081.7001685002,67205.244088039,79615.4729043451,34793.6092043367,199.968809870072,34793.6092043367,79656.8793190111,79656.8793190111,79656.8793190111,79615.4729043451,79615.4729043451,0,99.9844049345702,99.9844049345702,99.9844049345702,67205.244088039,67246.6624982604,49816.8033559001,79715.4573092806,49816.8033559001,67205.244088039,49816.8033559001,49775.3849456787,17022.5943569436,15123.1185787215,49816.8033559001,51382.1027236618,67205.244088039,34793.6092043367,67246.6624982604,80381.004992622,49775.3849456787,34793.6092043367,67246.6624982604,67246.6624982604,141.390819600812,15123.1185787215,15481.5898060206,49716.8309465201,49716.8309465201,49716.8309465201,49816.8033559001,49716.8309465201,49816.8033559001,49716.8309465201,49816.8033559001,49716.8309465201,49816.8033559001,49716.8309465201,49933.9113542177,49816.8033559001,79656.8793190111,2813.52192733537,69491.8400007206,2006.59541994809,50375.2194019594,15781.507034161,35734.7792989791
"mon_2017_3",32453.0532939241,499.862046900555,52164.9623297603,67246.6624982604,29756.6513604615,52206.3807399817,17429.8591423605,67246.6624982604,67246.6624982604,67288.0809084811,67288.0809084811,63643.3496524758,199.968809871003,67246.6624982604,0,52206.3807399817,67246.6624982604,67288.080908481,67288.080908481,32411.6348837027,32453.0532939241,52106.4083306015,52164.9623297603,99.9844049355015,13202.908841222,32453.0532939241,67329.4993187024,32453.0532939241,13244.315255888,13244.315255888,13244.315255888,13202.908841222,13202.908841222,67246.6624982604,67288.080908481,67288.080908481,67288.080908481,99.9844049355015,199.968809871003,17429.8591423605,13302.8932461575,17429.8591423605,99.9844049355015,17429.8591423605,17471.2775525818,50224.0681413169,52206.3807399817,17429.8591423605,15864.5597745988,99.9844049355015,32453.0532939241,0,13968.4409294989,17471.2775525818,32453.0532939241,0,0,67388.0533178612,52206.3807399817,51765.0726922399,17529.8315517405,17529.8315517405,17529.8315517405,17429.8591423605,17529.8315517405,17429.8591423605,17529.8315517405,17429.8591423605,17529.8315517405,17429.8591423605,17529.8315517405,17312.7511440429,17429.8591423605,13244.315255888,70060.1844255957,3079.2759375974,65240.0670783123,16871.4430963011,51465.1554640995,31511.8831992816
"and_2017_7",19836.1642665005,52706.2427868822,99.9844049355015,15123.1185787215,22508.2953742345,0,34776.5215976214,15123.1185787215,15123.1185787215,15164.5369889422,15164.5369889422,11519.8057329369,52206.3807399817,15123.1185787215,52206.3807399817,0,15123.1185787215,15164.5369889422,15164.5369889422,19794.7458562791,19753.3274460578,241.375224536972,99.9844049355015,52164.9623297603,64575.1911460664,19753.3274460578,15205.9553991635,19753.3274460578,64616.5975607323,64616.5975607323,64616.5975607323,64575.1911460664,64575.1911460664,15123.1185787215,15164.5369889422,15164.5369889422,15164.5369889422,52164.9623297603,52206.3807399817,34776.5215976214,64675.1755510019,34776.5215976214,52164.9623297603,34776.5215976214,34735.1031874,1982.31259866476,0,34776.5215976214,36341.8209653831,52164.9623297603,19753.3274460578,52206.3807399817,65340.7232343433,34735.1031874,19753.3274460578,52206.3807399817,52206.3807399817,15264.5093983223,0,441.308047741756,34676.5491882414,34676.5491882414,34676.5491882414,34776.5215976214,34676.5491882414,34776.5215976214,34676.5491882414,34776.5215976214,34676.5491882414,34776.5215976214,34676.5491882414,34893.629595939,34776.5215976214,64616.5975607323,17936.6405060569,54451.5582424419,13116.5231587735,35334.9376436807,741.225275882159,20694.4975407002
"gm_2017_12",34876.4460247793,67746.5245451609,15081.7001685002,0,37548.5771325133,15123.1185787215,49816.8033559001,0,0,99.9844049345702,99.9844049345702,3603.31284578469,67246.6624982604,0,67246.6624982604,15123.1185787215,0,99.9844049345702,99.9844049345702,34835.027614558,34793.6092043367,15140.254167659,15081.7001685002,67205.244088039,79615.4729043451,34793.6092043367,199.968809870072,34793.6092043367,79656.8793190111,79656.8793190111,79656.8793190111,79615.4729043451,79615.4729043451,0,99.9844049345702,99.9844049345702,99.9844049345702,67205.244088039,67246.6624982604,49816.8033559001,79715.4573092806,49816.8033559001,67205.244088039,49816.8033559001,49775.3849456787,17022.5943569436,15123.1185787215,49816.8033559001,51382.1027236618,67205.244088039,34793.6092043367,67246.6624982604,80381.004992622,49775.3849456787,34793.6092043367,67246.6624982604,67246.6624982604,141.390819600812,15123.1185787215,15481.5898060206,49716.8309465201,49716.8309465201,49716.8309465201,49816.8033559001,49716.8309465201,49816.8033559001,49716.8309465201,49816.8033559001,49716.8309465201,49816.8033559001,49716.8309465201,49933.9113542177,49816.8033559001,79656.8793190111,2813.52192733537,69491.8400007206,2006.59541994809,50375.2194019594,15781.507034161,35734.7792989791
"gm_2017_7",34917.864435,67787.9429553816,15123.1185787209,99.9844049345702,37589.995542734,15164.5369889422,49858.2217661207,99.9844049345702,99.9844049345702,0,0,3644.73125600537,67288.080908481,99.9844049345702,67288.080908481,15164.5369889422,99.9844049345702,0,0,34876.4460247787,34835.0276145573,15181.6725778797,15123.1185787209,67246.6624982597,79656.8913145658,34835.0276145573,99.9844049355015,34835.0276145573,79698.2977292317,79698.2977292317,79698.2977292317,79656.8913145658,79656.8913145658,99.9844049345702,0,0,0,67246.6624982597,67288.0809084811,49858.2217661208,79756.8757195013,49858.2217661208,67246.6624982597,49858.2217661208,49816.8033558994,17064.0127671643,15164.5369889422,49858.2217661208,51423.5211338824,67246.6624982597,34835.0276145573,67288.0809084811,80422.4234028426,49816.8033558994,34835.0276145573,67288.0809084811,67288.0809084811,99.9724093801342,15164.5369889422,15523.0082162413,49758.2493567407,49758.2493567407,49758.2493567407,49858.2217661208,49758.2493567407,49858.2217661208,49758.2493567407,49858.2217661208,49758.2493567407,49858.2217661208,49758.2493567407,49975.3297644383,49858.2217661208,79698.2977292317,2854.94033755605,69533.2584109413,2048.01383016877,50416.6378121801,15822.9254443817,35776.1977091998
"gm_2017_8",34917.864435,67787.9429553816,15123.1185787209,99.9844049345702,37589.995542734,15164.5369889422,49858.2217661207,99.9844049345702,99.9844049345702,0,0,3644.73125600537,67288.080908481,99.9844049345702,67288.080908481,15164.5369889422,99.9844049345702,0,0,34876.4460247787,34835.0276145573,15181.6725778797,15123.1185787209,67246.6624982597,79656.8913145658,34835.0276145573,99.9844049355015,34835.0276145573,79698.2977292317,79698.2977292317,79698.2977292317,79656.8913145658,79656.8913145658,99.9844049345702,0,0,0,67246.6624982597,67288.0809084811,49858.2217661208,79756.8757195013,49858.2217661208,67246.6624982597,49858.2217661208,49816.8033558994,17064.0127671643,15164.5369889422,49858.2217661208,51423.5211338824,67246.6624982597,34835.0276145573,67288.0809084811,80422.4234028426,49816.8033558994,34835.0276145573,67288.0809084811,67288.0809084811,99.9724093801342,15164.5369889422,15523.0082162413,49758.2493567407,49758.2493567407,49758.2493567407,49858.2217661208,49758.2493567407,49858.2217661208,49758.2493567407,49858.2217661208,49758.2493567407,49858.2217661208,49758.2493567407,49975.3297644383,49858.2217661208,79698.2977292317,2854.94033755605,69533.2584109413,2048.01383016877,50416.6378121801,15822.9254443817,35776.1977091998
"amp_2017_6",99.9844049355015,32911.4969306033,19753.3274460578,34835.027614558,2713.54951795532,19794.7458562791,14981.7757413422,34835.027614558,34835.027614558,34876.4460247787,34876.4460247787,31231.7147687733,32411.6348837027,34835.027614558,32411.6348837027,19794.7458562791,34835.027614558,34876.4460247787,34876.4460247787,0,99.9844049355015,19694.773446899,19753.3274460578,32370.2164734814,44780.4452897874,99.9844049355015,34917.864435,99.9844049355015,44821.8517044534,44821.8517044534,44821.8517044534,44780.4452897874,44780.4452897874,34835.027614558,34876.4460247787,34876.4460247787,34876.4460247787,32370.2164734814,32411.6348837027,14981.7757413422,44880.4296947229,14981.7757413422,32370.2164734814,14981.7757413422,14940.3573311209,17812.4332576144,19794.7458562791,14981.7757413422,16547.0751091039,32370.2164734814,99.9844049355015,32411.6348837027,45545.9773780643,14940.3573311209,99.9844049355015,32411.6348837027,32411.6348837027,34976.4184341588,19794.7458562791,19353.4378085374,14881.8033319622,14881.8033319622,14881.8033319622,14981.7757413422,14881.8033319622,14981.7757413422,14881.8033319622,14981.7757413422,14881.8033319622,14981.7757413422,14881.8033319622,15098.8837396598,14981.7757413422,44821.8517044534,37648.5495418933,34656.812386163,32828.43219461,15540.1917874016,19053.520580397,899.751684421091
