"","LE-STELO-SLUIS SA","LE-STELO-SLUIS SO","LE-OLSENE","LE-DEINZE","LE-AST","LE-STELO-VISTRAP-SA","LE-STELO-VISTRAP-SA1ETURN","LE-STELO-STUW -SA","LE-OOIGEM","LE-HARELB-SLUIS-SA","LE-HARELB-STUW-SA","LE-HARELB-VISTRAP-MID","AKL-NEVELE","KGO-MERENDREE","KGO-AALTER","RV-EVERG-WESTERVAK","RV-EVERG-SLUIS-SA","LE-MANDEL","LE-STMARTLATEM","LE-BAARLE","LE-DRONGEN","BRUGSEV-MARIAKERKE","ZS-MERELB-STUWGEUL","ZS-MERELB-TIJARM-SA","ZS-MERELB-STUWGEUL-SASTUW","RV-MERELB-STUWGEUL-SOSTUW","RV-MERELB-SLUIS-SO","BS-ZWIJNA-KANZWIJNA","BS-SEM","s-Wetteren","s-2a","s-Schoonaarde","s-wichelen","s-3","BS-ASP-NSTUW-SA","BS-ASP-SLUIS-SA","BS-ASP-SLUIS-SO","s-Dendermonde2","s-4a","s-4b","s-4c","s-5","s-6","s-8","s-9a","s-9","s-8a","ZS-MERELB-TIJARM-SO","BS-ASP-OSTUW-SA","s-7","s-10a","s-12","ws-53A","me-7-2b","ru-1","bn-Walem","bn-1","bn-2","gn-1","gn-2","BS-ZINGEM","BS-HEURNE","BS-OUD-NSTUW-SA","BS-OUD-VISTRAP-SA","BS-OUD-VISTRAP-MID","BS-OUD-NSTUW-SO","BS-OUD-SLUIS-SO","BS-MELDEN","BS-WORTEGEM","BS-KERKH-SLUIS-SA","BS-KERKH-OSTUW-SA","BS-KERKH-VISTRAP-SA","BS-KERKH-VISTRAP-MID","BS-KERKH-VISTRAP-SO","BS-KERKH-NSTUW-SO","BS-KERKH-SLUIS-SO","BS-AVELG","BS-ASP-NSTUW-SO","BS-OUD-VISTRAP-SO","BS-OUD-SLUIS-SA","RV-ZWIJNA","ZS-MELLE","S-MERELB-SOJACHTH","BS-RONNEBEEK","3D4","BS-KERKH-NSTUW-SA","BS-ASP-OSTUW-SO","RV-GENT-MONDTOERLEIE","RV-GENT-MONDOUDELEIE","LE-SNEPKAAI","BS-KERKH-OSTUW-SO","rt-mer-300m","rt-mer-600m","rt-mer-900m","rt-mer-1200m","bs-as-rt-300m","bs-as-rt-600m","bs-as-rt-900m","bs-as-rt-1200m","ws-VH8","bpns-O6","BS-OUD-OSTUW-SA","LE-HARELB-VISTRAP-SA","LE-HARELB-STUW-SO","LE-KORTRIJK","LE-WEVELG","LE-MENEN-STUW-SA","LE-MENEN-STUW-SO","LE-WERVIK","BS-ZWALM","3D5","3D2","3D3","BS-OUD-OSTUW-SO","3D1","du-Hamveer","KGO-BEERNEM-SLUIS","KGO-BRUGGE-TEN BRIELE","bpns-W1","rel_merelbeke","rel_spiere","rel_rone","rel_asper","rel_harbour_kerkhove","rel_fish_pass_leie","rel_oudenaarde","rel_weir1_kerkhove","rel_mandel","rel_zwalm","rel_weir2_kerkhove","rel_oude_mandel","rel_rijtgracht","rel_mouth_rijtgracht","rel_harelbeke","rel_sb5","rel_weir_sb5","rel_ronne","rel_douvebeek"
"s-3",67566.9700137193,68544.7205076149,63393.8610089638,57327.3769116978,52482.1229787431,68261.8964595885,68303.3152680984,68282.6058638435,73489.9691458843,78745.8436187898,79190.787605272,79290.7803241711,55934.818280938,48803.3488352047,57738.2795964702,41789.6038919311,43429.4422226788,67596.2579621228,48843.8975608545,43512.2867921561,39611.9510343972,40746.7829889956,28809.3947179755,29862.8745552081,29100.7963169408,29392.1979159068,29533.6094433157,31095.635392023,35635.8726905271,20146.6310568562,9899.05728080466,5481.59388780056,14622.1312055464,0,44431.4514571646,44572.8629845735,44714.274511983,5681.59058195465,14534.2769613472,17868.9652851924,20188.0389400785,22772.7802168336,27528.6924195227,37208.5426754117,42532.4204836957,42346.0358454011,36884.3008120847,32011.2546935286,44572.8629845735,29364.964865316,49710.9553489602,62705.3883538077,86959.4634469517,37909.9662820721,41288.1604259625,48697.4545081498,53411.9538615764,57685.0592269945,61748.9931393376,62202.5153388978,50304.4456220768,54421.9232437905,55504.6880498008,55646.0995772104,55554.6844092506,55858.2168683237,55808.2205088739,60405.566082273,62645.3637060393,67768.4131413479,67789.1222145332,67847.6974491997,67776.991685495,67918.4032129044,68030.5271229804,67930.5337419427,71632.9664384671,44843.5555103536,55746.0922961091,55616.8126220155,31199.1827443672,24657.5919943854,30066.4149575202,71782.9555168154,55646.0995772104,67726.9949949761,44714.274511983,35423.7636761468,37463.5679164511,35382.3445365676,67930.5337419427,32161.243771877,31861.26561518,31581.996862738,31378.4584468407,43745.1032243733,43333.0004954616,43041.5998897046,42700.2029244967,117192.98436925,104929.633271202,55616.8126220155,79190.7876052718,79382.1954921302,84500.2190303204,90264.6462360881,98128.9327883011,98270.3443157107,105853.888865393,Inf,55596.1032177606,55696.0959366602,55666.8089814653,55808.2205088739,55666.8089814653,27195.2632166399,70289.257425182,78383.4139094379,137565.473370459,29050.7996264219,80277.0941330244,72036.4916164398,44248.6211212446,67294.1818686013,79290.7803241709,55687.5183857203,67839.1189050521,67354.8530536751,49130.2606820668,67818.4098318668,60298.4935616551,67776.991685495,67606.2925407525,79190.7876052718,66985.6377483922,68382.5992448813,71703.6722021719,110980.492272009
"BS-ASP-NSTUW-SA",52072.678314868,53050.4288087636,47899.5693101125,41833.0852128465,36987.8312798918,52767.6047607372,52809.0235692471,52788.3141649922,57995.6774470333,63251.5519199384,63696.4959064206,63796.4886253197,40440.5265820867,33309.0571363534,42243.9878976189,26295.3121930798,27935.1505238275,52101.9662632715,33349.6058620032,28017.9950933048,24117.6593355459,25747.4339535613,15622.0567391892,14668.569620856,15442.7787192298,15346.3369920127,15204.9254646039,13552.9579290964,8854.15333916534,24284.8204003085,34590.9687488875,38949.8575693641,29809.3202516183,44431.4514571646,0,141.411527408866,282.823054818391,50083.7547528553,58936.4411322479,62271.1294560931,64590.2031109793,67174.9443877343,71930.8565904235,81610.7068463124,86934.5846545962,86748.2000163017,81286.4649829854,12461.6155721461,141.411527408866,73767.1290362167,94113.1195198605,107107.552524708,131361.627617852,82312.1304529727,85690.3245968631,93099.6186790502,97814.1180324766,102087.223397895,106151.157310238,106604.679509798,5872.99416491219,9990.47178662582,11073.2365926362,11214.6481200458,11123.232952086,11426.7654111591,11376.7690517093,15974.1146251083,18213.9122488747,23336.9616841833,23357.6707573685,23416.2459920351,23345.5402283304,23486.9517557398,23599.0756658158,23499.0822847781,27201.5149813026,412.104053188972,11314.6408389445,11185.3611648509,15704.8910455159,19773.8594627793,15067.0659220862,27351.5040596508,11214.6481200458,23295.5435378114,282.823054818391,19929.4719772956,21969.2762175999,19888.0528377163,23499.0822847781,12270.2076852877,12570.1858419847,12890.8734029367,13170.1421553796,686.348232791315,1098.45096170303,1389.85156746004,1731.24853266788,145038.628216538,89435.3415723516,11185.3611648509,63696.4959064206,63887.9037932791,69005.9273314694,74770.3545372373,82634.6410894504,82776.05261686,90359.5971665421,Inf,11164.651760596,11264.6444794956,11235.3575243007,11376.7690517093,11235.3575243007,71597.4273875407,54794.9657263306,62889.1222105866,122071.181671608,15463.488123485,35845.64267586,27605.0401592752,241.404908447217,22862.7304114366,63796.4886253197,11256.0669285556,23407.6674478874,51860.5613548236,4698.80922490218,23386.9583747022,44804.2018628037,23345.5402283304,23174.8410835878,63696.4959064206,51491.3460495407,52888.3075460299,27272.2207450074,95486.2005731579
"BS-ASP-SLUIS-SA",52214.0898422768,53191.8403361725,48040.9808375214,41974.4967402553,37129.2428073007,52909.0162881461,52950.435096656,52929.7256924011,58137.0889744421,63392.9634473473,63837.9074338295,63937.9001527286,40581.9381094956,33450.4686637623,42385.3994250278,26436.7237204887,28076.5620512364,52243.3777906804,33491.0173894121,28159.4066207136,24259.0708629548,25888.8454809702,15763.4682665981,14809.9811482648,15584.1902466386,15487.7485194216,15346.3369920127,13694.3694565053,8995.5648665742,24426.2319277174,34732.3802762964,39091.269096773,29950.7317790272,44572.8629845735,141.411527408866,0,141.411527409525,50225.1662802642,59077.8526596568,62412.540983502,64731.6146383881,67316.3559151432,72072.2681178323,81752.1183737212,87075.9961820051,86889.6115437106,81427.8765103942,12603.0270995549,0,73908.5405636255,94254.5310472694,107248.964052117,131503.039145261,82453.5419803816,85831.736124272,93241.030206459,97955.5295598855,102228.634925303,106292.568837646,106746.091037207,5731.58263750332,9849.06025921695,10931.8250652273,11073.2365926369,10981.8214246771,11285.3538837502,11235.3575243004,15832.7030976994,18072.5007214658,23195.5501567744,23216.2592299597,23274.8344646262,23204.1287009215,23345.5402283309,23457.6641384069,23357.6707573692,27060.1034538937,270.692525780139,11173.2293115356,11043.949637442,15846.3025729248,19915.2709901882,15208.477449495,27210.0925322419,11073.2365926369,23154.1320104026,141.411527409525,20070.8835047044,22110.6877450087,20029.4643651252,23357.6707573692,12411.6192126965,12711.5973693935,13032.2849303455,13311.5536827885,827.759760200182,1239.86248911189,1531.26309486891,1872.66006007674,145180.039743947,89576.7530997604,11043.949637442,63837.9074338295,64029.3153206879,69147.3388588783,74911.7660646461,82776.0526168593,82917.4641442688,90501.008693951,Inf,11023.2402331871,11123.2329520867,11093.9459968918,11235.3575243004,11093.9459968918,71738.8389149495,54936.3772537394,63030.5337379955,122212.593199017,15604.8996508939,35704.2311484511,27463.6286318663,382.816435856083,22721.3188840277,63937.9001527286,11114.6554011467,23266.2559204786,52001.9728822325,4557.39769749331,23245.5468472933,44945.6133902126,23204.1287009215,23033.429556179,63837.9074338295,51632.7575769496,53029.7190734387,27130.8092175985,95627.6121005667
"BS-ASP-SLUIS-SO",52355.5013696864,53333.251863582,48182.3923649309,42115.9082676649,37270.6543347102,53050.4278155556,53091.8466240655,53071.1372198106,58278.5005018516,63534.3749747568,63979.318961239,64079.3116801381,40723.3496369051,33591.8801911718,42526.8109524373,26578.1352478982,28217.9735786459,52384.7893180899,33632.4289168216,28300.8181481231,24400.4823903643,26030.2570083797,15904.8797940076,14951.3926756744,15725.6017740482,15629.1600468311,15487.7485194223,13835.7809839148,9136.97639398373,24567.6434551269,34873.7918037059,39232.6806241825,30092.1433064367,44714.274511983,282.823054818391,141.411527409525,0,50366.5778076737,59219.2641870663,62553.9525109115,64873.0261657977,67457.7674425527,72213.6796452418,81893.5299011308,87217.4077094146,87031.0230711201,81569.2880378038,12744.4386269645,141.411527409525,74049.9520910351,94395.9425746789,107390.375579526,131644.45067267,82594.9535077911,85973.1476516815,93382.4417338685,98096.941087295,102370.046452713,106433.980365056,106887.502564616,5590.1711100938,9707.64873180742,10790.4135378178,10931.8250652274,10840.4098972676,11143.9423563407,11093.9459968909,15691.2915702899,17931.0891940563,23054.1386293649,23074.8477025502,23133.4229372167,23062.717173512,23204.1287009214,23316.2526109974,23216.2592299597,26918.6919264842,170.699144742413,11031.8177841261,10902.5381100325,15987.7141003343,20056.6825175977,15349.8889769046,27068.6810048324,10931.8250652274,23012.7204829931,0,20212.2950321139,22252.0992724183,20170.8758925347,23216.2592299597,12553.0307401061,12853.0088968031,13173.6964577551,13452.965210198,969.171287609706,1381.27401652142,1672.67462227843,2014.07158748627,145321.451271356,89718.16462717,10902.5381100325,63979.318961239,64170.7268480974,69288.7503862878,75053.1775920557,82917.4641442688,83058.8756716784,90642.4202213605,Inf,10881.8287057776,10981.8214246772,10952.5344694823,11093.9459968909,10952.5344694823,71880.2504423591,55077.7887811489,63171.945265405,122354.004726427,15746.3111783034,35562.8196210416,27322.2171044568,524.227963265608,22579.9073566182,64079.3116801381,10973.2438737372,23124.844393069,52143.384409642,4415.98617008379,23104.1353198838,45087.0249176221,23062.717173512,22892.0180287695,63979.318961239,51774.1691043591,53171.1306008482,26989.397690189,95769.0236279762
"s-Dendermonde2",73219.27330941,74197.0238033056,69046.1643046545,62979.6802073885,58134.4262744339,73914.1997552793,73955.6185637892,73934.9091595342,79142.2724415751,84398.1469144805,84843.0909009627,84943.0836198618,61587.1215766288,54455.6521308955,63390.582892161,47441.9071876218,49081.7455183696,73248.5612578135,54496.2008565453,49164.5900878468,45264.254330088,46399.0862846863,34461.6980136662,35515.1778508988,34753.0996126316,35044.5012115976,35185.9127390064,36747.9386877137,41288.1759862178,25798.9343525469,15551.3605764954,11133.8971834913,20274.4345012372,5681.59058195465,50083.7547528553,50225.1662802642,50366.5778076737,0,8852.68637939258,12187.3747032377,14506.4483581239,17091.189634879,21847.1018375681,31526.9520934571,36850.829901741,36664.4452634465,31202.7102301301,37663.5579892194,50225.1662802642,23683.3742833614,44029.3647670056,57023.7977718531,81277.8728649972,32228.3757001174,35606.5698440079,43015.8639261952,47730.3632796218,52003.4686450399,56067.402557383,56520.9247569431,55956.7489177676,60074.2265394812,61156.9913454916,61298.4028729012,61206.9877049414,61510.5201640145,61460.5238045647,66057.8693779637,68297.66700173,73420.7164370386,73441.4255102239,73500.0007448904,73429.2949811857,73570.7065085951,73682.8304186711,73582.8370376334,77285.2697341578,50495.8588060443,61398.3955917999,61269.1159177063,36851.4860400579,30309.8952900761,35718.7182532109,77435.258812506,61298.4028729012,73379.2982906668,50366.5778076737,41076.0669718376,43115.8712121419,41034.6478322583,73582.8370376334,37813.5470675678,37513.5689108708,37234.3001584288,37030.7617425314,49397.406520064,48985.3037911523,48693.9031853953,48352.5062201875,111511.393787295,110581.936566893,61269.1159177063,84843.0909009625,85034.4987878209,90152.5223260111,95916.9495317788,103781.236083992,103922.647611401,111506.192161084,Inf,61248.4065134514,61348.399232351,61319.1122771561,61460.5238045647,61319.1122771561,21513.6726346853,75941.5607208726,84035.7172051285,134354.58589311,34703.1029221127,85929.397428715,77688.7949121304,49900.9244169354,72946.4851642919,84943.0836198616,61339.821681411,73491.4222007427,73007.1563493658,54782.5639777575,73470.7131275575,65950.7968573458,73429.2949811857,73258.5958364432,84843.0909009625,72637.9410440829,74034.902540572,77355.9754978626,116632.795567699
"s-4a",82071.9596888024,83049.710182698,77898.8506840469,71832.366586781,66987.1126538264,82766.8861346716,82808.3049431815,82787.5955389266,87994.9588209674,93250.8332938728,93695.7772803551,93795.7699992542,70439.8079560214,63308.3385102881,72243.2692715534,56294.5935670144,57934.4318977622,82101.2476372059,63348.8872359379,58017.2764672394,54116.9407094806,55251.7726640789,43314.3843930588,44367.8642302914,43605.7859920241,43897.1875909902,44038.599118399,45600.6250671063,50140.8623656104,34651.6207319395,24404.046955888,19986.5835628839,29127.1208806297,14534.2769613472,58936.4411322479,59077.8526596568,59219.2641870663,8852.68637939258,0,3376.10647021559,5695.18012510175,8279.92140185683,13035.833604546,22715.683860435,28039.5616687189,27853.1770304244,22391.441997108,46516.2443686119,59077.8526596568,14872.1060503393,35218.0965339835,48212.529538831,72466.6046319751,23417.1074670954,26795.3016109858,34204.5956931731,38919.0950465997,43192.2004120177,47256.1343243609,47709.656523921,64809.4352971601,68926.9129188738,70009.6777248841,70151.0892522937,70059.6740843339,70363.206543407,70313.2101839572,74910.5557573561,77150.3533811225,82273.4028164311,82294.1118896163,82352.6871242828,82281.9813605782,82423.3928879876,82535.5167980635,82435.5234170258,86137.9561135502,59348.5451854369,70251.0819711924,70121.8022970988,45704.1724194505,39162.5816694687,44571.4046326035,86287.9451918985,70151.0892522937,82231.9846700592,59219.2641870663,49928.7533512301,51968.5575915344,49887.3342116509,82435.5234170258,46666.2334469603,46366.2552902633,46086.9865378213,45883.4481219239,58250.0928994566,57837.9901705449,57546.5895647879,57205.19259958,102700.125554273,119434.622946285,70121.8022970988,93695.777280355,93887.1851672134,99005.2087054036,104769.635911171,112633.922463384,112775.333990794,120358.878540476,Inf,70101.0928928439,70201.0856117435,70171.7986565486,70313.2101839572,70171.7986565486,12702.4044016632,84794.2471002651,92888.403584521,125543.317660088,43555.7893015052,94782.0838081075,86541.4812915229,58753.6107963279,81799.1715436844,93795.769999254,70192.5080608035,82344.1085801352,81859.8427287582,63635.2503571501,82323.39950695,74803.4832367383,82281.9813605782,82111.2822158356,93695.777280355,81490.6274234753,82887.5889199644,86208.6618772551,125485.481947092
"s-4b",85406.6480126475,86384.3985065431,81233.539007892,75167.0549106261,70321.8009776716,86101.5744585168,86142.9932670267,86122.2838627717,91329.6471448126,96585.521617718,97030.4656042002,97130.4583230993,73774.4962798666,66643.0268341332,75577.9575953985,59629.2818908596,61269.1202216074,85435.935961051,66683.575559783,61351.9647910846,57451.6290333257,58586.4609879241,46649.072716904,47702.5525541366,46940.4743158693,47231.8759148353,47373.2874422442,48935.3133909515,53475.5506894556,37986.3090557846,27738.7352797331,23321.271886729,32461.8092044748,17868.9652851924,62271.1294560931,62412.540983502,62553.9525109115,12187.3747032377,3376.10647021559,0,2589.76651173526,5174.50778849034,9930.41999117949,19610.2702470685,24934.1480553524,24747.7634170579,19286.0283837415,49850.932692457,62412.5409835019,11766.6924369728,32112.682920617,45107.1159254645,69361.1910186087,20311.6938537289,23689.8879976193,31099.1820798066,35813.6814332332,40086.7867986513,44150.7207109944,44604.2429105546,68144.1236210052,72261.6012427189,73344.3660487293,73485.7775761388,73394.3624081791,73697.8948672522,73647.8985078024,78245.2440812013,80485.0417049676,85608.0911402762,85628.8002134615,85687.375448128,85616.6696844233,85758.0812118327,85870.2051219087,85770.211740871,89472.6444373954,62683.233509282,73585.7702950375,73456.490620944,49038.8607432956,42497.2699933138,47906.0929564486,89622.6335157436,73485.7775761388,85566.6729939044,62553.9525109114,53263.4416750752,55303.2459153795,53222.022535496,85770.211740871,50000.9217708054,49700.9436141084,49421.6748616664,49218.1364457691,61584.7812233017,61172.67849439,60881.277888633,60539.8809234251,99594.7119409067,122769.311270131,73456.490620944,97030.4656042001,97221.8734910585,102339.897029249,108104.324235016,115968.610787229,116110.022314639,123693.566864321,Inf,73435.781216689,73535.7739355887,73506.4869803937,73647.8985078024,73506.4869803937,9596.99078829671,88128.9354241102,96223.0919083661,122437.904046722,46890.4776253503,98116.7721319526,89876.169615368,62088.299120173,85133.8598675295,97130.4583230992,73527.1963846487,85678.7969039803,85194.5310526034,66969.9386809952,85658.0878307951,78138.1715605834,85616.6696844233,85445.9705396808,97030.4656042001,84825.3157473204,86222.2772438096,89543.3502011002,128820.170270937
"s-4c",87725.7216675336,88703.4721614292,83552.6126627781,77486.1285655123,72640.8746325577,88420.6481134029,88462.0669219128,88441.3575176579,93648.7207996987,98904.5952726041,99349.5392590863,99449.5319779854,76093.5699347527,68962.1004890194,77897.0312502846,61948.3555457457,63588.1938764935,87755.0096159372,69002.6492146691,63671.0384459707,59770.7026882119,60905.5346428102,48968.1463717901,50021.6262090227,49259.5479707555,49550.9495697215,49692.3610971303,51254.3870458376,55794.6243443418,40305.3827106708,30057.8089346192,25640.3455416152,34780.882859361,20188.0389400785,64590.2031109793,64731.6146383881,64873.0261657977,14506.4483581239,5695.18012510175,2589.76651173526,0,2708.99770228471,7464.90990497385,17144.7601608629,22468.6379691468,22282.2533308523,16820.5182975359,52170.0063473432,64731.614638388,9301.18235076712,29647.1728344114,42641.6058392589,66895.6809324031,17846.1837675233,21224.3779114137,28633.671993601,33348.1713470276,37621.2767124456,41685.2106247888,42138.7328243489,70463.1972758914,74580.674897605,75663.4397036154,75804.851231025,75713.4360630652,76016.9685221383,75966.9721626885,80564.3177360874,82804.1153598537,87927.1647951623,87947.8738683476,88006.4491030141,87935.7433393094,88077.1548667188,88189.2787767948,88089.2853957571,91791.7180922815,65002.3071641681,75904.8439499237,75775.5642758301,51357.9343981818,44816.3436481999,50225.1666113348,91941.7071706298,75804.851231025,87885.7466487905,64873.0261657976,55582.5153299614,57622.3195702657,55541.0961903821,88089.2853957571,52319.9954256916,52020.0172689946,51740.7485165526,51537.2101006552,63903.8548781878,63491.7521492761,63200.3515435191,62858.9545783113,97129.2018547011,125088.384925017,75775.5642758301,99349.5392590862,99540.9471459446,104658.970684135,110423.397889903,118287.684442116,118429.095969525,126012.640519207,Inf,75754.8548715752,75854.8475904748,75825.5606352799,75966.9721626885,75825.5606352799,7131.48070209108,90448.0090789964,98542.1655632523,119972.393960516,49209.5512802365,100435.845786839,92195.2432702542,64407.3727750592,87452.9335224157,99449.5319779853,75846.2700395348,87997.8705588665,87513.6047074895,69289.0123358813,87977.1614856812,80457.2452154695,87935.7433393094,87765.0441945669,99349.5392590862,87144.3894022066,88541.3508986957,91862.4238559863,131139.243925823
"s-5",90310.4629442886,91288.2134381842,86137.3539395332,80070.8698422673,75225.6159093127,91005.3893901579,91046.8081986678,91026.0987944129,96233.4620764537,101489.336549359,101934.280535841,102034.27325474,78678.3112115077,71546.8417657744,80481.7725270397,64533.0968225008,66172.9351532485,90339.7508926922,71587.3904914241,66255.7797227258,62355.443964967,63490.2759195653,51552.8876485452,52606.3674857778,51844.2892475105,52135.6908464766,52277.1023738854,53839.1283225927,58379.3656210968,42890.1239874258,32642.5502113743,28225.0868183702,37365.624136116,22772.7802168336,67174.9443877343,67316.3559151432,67457.7674425527,17091.189634879,8279.92140185683,5174.50778849034,2708.99770228471,0,4921.58743672902,14601.437692618,19925.315500902,19738.9308626075,14277.195829291,54754.7476240982,67316.3559151431,6757.85988252229,27103.8503661666,40098.2833710141,64352.3584641583,15302.8612992784,18681.0554431688,26090.3495253562,30804.8488787828,35077.9542442008,39141.888156544,39595.4103561041,73047.9385526464,77165.4161743601,78248.1809803705,78389.59250778,78298.1773398203,78601.7097988934,78551.7134394436,83149.0590128425,85388.8566366088,90511.9060719174,90532.6151451027,90591.1903797692,90520.4846160645,90661.8961434739,90774.0200535499,90674.0266725122,94376.4593690366,67587.0484409232,78489.5852266787,78360.3055525852,53942.6756749368,47401.084924955,52809.9078880898,94526.4484473848,78389.59250778,90470.4879255456,67457.7674425526,58167.2566067164,60207.0608470207,58125.8374671372,90674.0266725122,54904.7367024467,54604.7585457497,54325.4897933076,54121.9513774103,66488.5961549429,66076.4934260312,65785.0928202742,65443.6958550663,94585.8793864563,127673.126201772,78360.3055525852,101934.280535841,102125.6884227,107243.71196089,113008.139166658,120872.425718871,121013.83724628,128597.381795962,Inf,78339.5961483302,78439.5888672299,78410.3019120349,78551.7134394436,78410.3019120349,4588.15823384625,93032.7503557514,101126.906840007,117429.071492271,51794.2925569915,103020.587063594,94779.9845470092,66992.1140518143,90037.6747991707,102034.27325474,78431.0113162899,90582.6118356215,90098.3459842446,71873.7536126364,90561.9027624363,83041.9864922246,90520.4846160645,90349.785471322,101934.280535841,89729.1306789617,91126.0921754508,94447.1651327414,133723.985202578
"s-6",95066.3751469778,96044.1256408734,90893.2661422223,84826.7820449564,79981.5281120018,95761.301592847,95802.7204013569,95782.010997102,100989.374279143,106245.248752048,106690.19273853,106790.18545743,83434.2234141969,76302.7539684635,85237.6847297288,69289.00902519,70928.8473559377,95095.6630953813,76343.3026941133,71011.6919254149,67111.3561676561,68246.1881222544,56308.7998512343,57362.279688467,56600.2014501997,56891.6030491657,57033.0145765746,58595.0405252819,63135.277823786,47646.036190115,37398.4624140634,32980.9990210593,42121.5363388052,27528.6924195227,71930.8565904235,72072.2681178323,72213.6796452418,21847.1018375681,13035.833604546,9930.41999117949,7464.90990497385,4921.58743672902,0,9886.94098774654,15210.8187960305,15024.434157736,9562.69912441953,59510.6598267874,72072.2681178321,2043.36317765091,22389.3536612951,35383.7866661426,59637.8617592868,10588.3645944069,13966.5587382974,21375.8528204847,26090.3521739113,30363.4575393294,34427.3914516725,34880.9136512327,77803.8507553354,81921.3283770491,83004.0931830594,83145.504710469,83054.0895425092,83357.6220015823,83307.6256421325,87904.9712155314,90144.7688392978,95267.8182746064,95288.5273477916,95347.1025824582,95276.3968187535,95417.8083461629,95529.9322562389,95429.9388752012,99132.3715717256,72342.9606436122,83245.4974293677,83116.2177552741,58698.5878776259,52156.9971276441,57565.8200907789,99282.3606500738,83145.504710469,95226.4001282346,72213.6796452416,62923.1688094056,64962.9730497099,62881.7496698263,95429.9388752012,59660.6489051358,59360.6707484388,59081.4019959968,58877.8635800994,71244.5083576319,70832.4056287202,70541.0050229632,70199.6080577553,89871.3826815849,132429.038404461,83116.2177552741,106690.19273853,106881.600625389,111999.624163579,117764.051369347,125628.33792156,125769.749448969,133353.293998651,Inf,83095.5083510192,83195.5010699188,83166.2141147239,83307.6256421325,83166.2141147239,7278.53552982825,97788.6625584404,105882.819042696,112714.5747874,56550.2047596807,107776.499266283,99535.8967496982,71748.0262545032,94793.5870018597,106790.185457429,83186.9235189788,95338.5240383105,94854.2581869335,76629.6658153254,95317.8149651253,87797.8986949136,95276.3968187535,95105.697674011,106690.19273853,94485.0428816506,95882.0043781398,99203.0773354304,138479.897405268
"s-8",104746.225402867,105723.975896762,100573.116398111,94506.6323008452,89661.3783678906,105441.151848736,105482.570657246,105461.861252991,110669.224535032,115925.099007937,116370.042994419,116470.035713318,93114.0736700857,85982.6042243524,94917.5349856176,78968.8592810788,80608.6976118265,104775.51335127,86023.152950002,80691.5421813037,76791.2064235449,77926.0383781433,65988.6501071233,67042.1299443559,66280.0517060886,66571.4533050547,66712.8648324635,68274.8907811708,72815.1280796749,57325.886446004,47078.3126699524,42660.8492769483,51801.3865946941,37208.5426754117,81610.7068463124,81752.1183737212,81893.5299011308,31526.9520934571,22715.683860435,19610.2702470685,17144.7601608629,14601.437692618,9886.94098774654,0,5406.71542530364,5261.74959551911,382.816435855342,69190.5100826763,81752.1183737209,8009.2503955815,12585.2502905683,25579.6832954158,49833.7583885599,6531.52074693277,9909.71489082321,17319.0089730106,22033.5083264372,26306.6136918553,30370.5476041984,30824.0698037585,87483.7010112242,91601.1786329379,92683.9434389483,92825.3549663579,92733.9397983981,93037.4722574712,92987.4758980214,97584.8214714203,99824.6190951866,104947.668530495,104968.37760368,105026.952838347,104956.247074642,105097.658602052,105209.782512128,105109.78913109,108812.221827614,82022.810899501,92925.3476852565,92796.068011163,68378.4381335149,61836.8473835332,67245.670346668,108962.210905963,92825.3549663579,104906.250384123,81893.5299011304,72603.0190652944,74642.8233055987,72561.5999257152,105109.78913109,69340.4991610247,69040.5210043277,68761.2522518857,68557.7138359884,80924.3586135207,80512.255884609,80220.855278852,79879.4583136442,80067.2793108583,136592.688376587,92796.068011163,116370.042994419,116561.450881278,121679.474419468,127443.901625235,135308.188177449,135449.599704858,143033.144254541,Inf,92775.358606908,92875.3513258077,92846.0643706128,92987.4758980214,92846.0643706128,16958.3857857173,107468.512814329,115562.669298585,102910.471416673,66230.0550155697,117456.349522172,109215.747005587,81427.8765103921,104473.437257749,116470.035713318,92866.7737748677,105018.374294199,104534.108442822,86309.5160712142,104997.665221014,97477.7489508024,104956.247074642,104785.5479299,116370.042994419,104164.893137539,105561.854634029,108882.927591319,148159.747661157
